"miRNAPair","CancerTypes","Count"
"miR-362-3p/miR-133a-3p","UCS - SARC",2
"miR-7-5p/miR-143-3p","LIHC - STAD",2
"miR-224-3p/miR-96-5p","UCEC - ESCA",2
"miR-873-5p/miR-494-3p","TGCT - PCPG",2
"miR-454-3p/miR-18a-5p","HNSC - SKCM",2
"miR-301b-3p/miR-501-5p","UCEC - ESCA",2
"miR-135a-5p/miR-940","KICH - TGCT",2
"miR-141-3p/miR-1224-5p","UCS - PAAD",2
"miR-145-5p/miR-181c-5p","MESO - SKCM",2
"miR-145-5p/miR-181d-5p","MESO - UCEC",2
"miR-146a-5p/miR-196b-5p","PAAD - READ",2
"let-7f-5p/miR-19a-3p","ESCA - LUAD",2
"miR-103a-2-5p/miR-106a-5p","SKCM - ESCA",2
"miR-192-5p/miR-214-3p","KIRC - SARC",2
"miR-195-5p/miR-629-3p","UVM - TGCT",2
"miR-10a-5p/miR-106a-5p","OV - BLCA",2
"miR-203a-3p/miR-205-5p","PAAD - ESCA",2
"miR-20a-5p/miR-760","OV - UCS",2
"miR-126-3p/miR-33a-5p","BLCA - STAD",2
"miR-34c-5p/miR-138-5p","SKCM - UCS",2
"miR-497-5p/miR-20b-5p","THYM - PCPG",2
"miR-542-3p/miR-181c-5p","SKCM - PCPG",2
"miR-577/miR-215-5p","ESCA - READ",2
"miR-708-5p/let-7c-5p","LUSC - PCPG",2
"miR-708-5p/miR-497-5p","SKCM - SARC",2
"miR-93-5p/miR-17-5p","SKCM - THYM",2
"miR-95-3p/miR-182-5p","SKCM - SARC",2
"miR-17-5p/miR-7-5p","SKCM - UCS",2
"miR-181a-2-3p/miR-183-5p","DLBC - SKCM",2
"miR-18a-5p/miR-335-5p","SARC - KICH",2
"miR-195-5p/let-7b-5p","UCS - THYM",2
"miR-29c-3p/miR-182-5p","LUSC - SKCM",2
"miR-204-5p/miR-485-5p","ACC - TGCT",2
"miR-326/miR-455-3p","SKCM - CESC",2
"miR-2355-5p/miR-19b-3p","SKCM - HNSC",2
"miR-378a-3p/miR-139-5p","SKCM - UCS",2
"miR-378c/miR-188-3p","CHOL - TGCT",2
"miR-491-5p/miR-320b","UVM - UCEC",2
"miR-125b-5p/miR-20b-5p","KICH - UCEC",2
"miR-130b-3p/miR-130a-3p","UCS - BLCA",2
"miR-145-5p/miR-362-3p","BLCA - UVM",2
"miR-149-5p/miR-1180-3p","MESO - ACC",2
"miR-642a-5p/miR-615-3p","MESO - SKCM",2
"let-7b-5p/miR-34c-5p","THYM - UVM",2
"miR-182-5p/miR-1271-5p","TGCT - DLBC",2
"miR-182-5p/miR-141-3p","BLCA - UCS",2
"miR-182-5p/miR-149-5p","ACC - HNSC",2
"miR-188-3p/miR-424-5p","SARC - UCS",2
"miR-106a-5p/miR-2355-3p","CESC - ACC",2
"miR-106a-5p/miR-92b-3p","THYM - TGCT",2
"miR-503-5p/miR-424-5p","STAD - UCS",2
"miR-125b-5p/miR-192-3p","SARC - STAD",2
"miR-125b-5p/miR-497-5p","THYM - SARC",2
"miR-532-5p/miR-502-5p","SARC - UCS",2
"miR-30c-2-3p/miR-106a-5p","UCS - ESCA",2
"miR-542-3p/miR-218-5p","SARC - ACC",2
"miR-548b-3p/miR-7-5p","TGCT - UCS",2
"miR-135b-5p/miR-30a-3p","UCS - THYM",2
"miR-136-3p/miR-141-3p","SARC - ACC",2
"miR-582-5p/miR-141-5p","SKCM - BLCA",2
