miRNA1,miRNA2,hgnc_symbol_tf,hgnc_symbol_target,CommonSynergyModules,CancerTypes,Count
miR-196b-5p,miR-20a-3p,POU2F2,HLA-DOB,miR-196b-5p/miR-20a-3p/POU2F2/HLA-DOB,COAD,1
miR-196b-5p,miR-20a-3p,STAT3,IL6,miR-196b-5p/miR-20a-3p/STAT3/IL6,COAD,1
miR-196b-5p,miR-21-5p,RBPJ,ANKRD44,miR-196b-5p/miR-21-5p/RBPJ/ANKRD44,LGG,1
miR-196b-5p,miR-210-3p,NFIC,CYP1A1,miR-196b-5p/miR-210-3p/NFIC/CYP1A1,BLCA,1
miR-196b-5p,miR-301b-3p,SMAD4,RUNX1T1,miR-196b-5p/miR-301b-3p/SMAD4/RUNX1T1,THYM,1
miR-196b-5p,miR-301b-3p,STAT3,MMP3,miR-196b-5p/miR-301b-3p/STAT3/MMP3,THYM,1
miR-196b-5p,miR-342-5p,NFIC,GUCY1B1,miR-196b-5p/miR-342-5p/NFIC/GUCY1B1,BLCA,1
miR-196b-5p,miR-362-3p,STAT3,STAT1,miR-196b-5p/miR-362-3p/STAT3/STAT1,SARC,1
miR-196b-5p,miR-424-5p,GATA6,SVIL,miR-196b-5p/miR-424-5p/GATA6/SVIL,BLCA,1
miR-196b-5p,miR-429,GATA6,PDE4D,miR-196b-5p/miR-429/GATA6/PDE4D,BLCA,1
miR-196b-5p,miR-484,MEIS1,UBR3,miR-196b-5p/miR-484/MEIS1/UBR3,STAD,1
miR-196b-5p,miR-7-5p,GATA6,TBC1D1,miR-196b-5p/miR-7-5p/GATA6/TBC1D1,BLCA,1
miR-196b-5p,miR-769-3p,GATA6,SH3KBP1,miR-196b-5p/miR-769-3p/GATA6/SH3KBP1,BLCA,1
miR-196b-5p,miR-93-3p,STAT3,KLF11,miR-196b-5p/miR-93-3p/STAT3/KLF11,SARC,1
miR-196b-5p,miR-93-5p,GATA6,PLCB4,miR-196b-5p/miR-93-5p/GATA6/PLCB4,BLCA,1
miR-196b-5p,miR-93-5p,NFIC,GFAP,miR-196b-5p/miR-93-5p/NFIC/GFAP,BLCA,1
miR-196b-5p,miR-93-5p,SP1,TFPI2,miR-196b-5p/miR-93-5p/SP1/TFPI2,THYM,1
miR-197-3p,miR-1976,MAZ,ST3GAL2,miR-197-3p/miR-1976/MAZ/ST3GAL2,LGG,1
miR-197-3p,miR-19a-3p,HBP1,GABARAPL2,miR-197-3p/miR-19a-3p/HBP1/GABARAPL2,SARC,1
miR-197-3p,miR-19b-3p,HBP1,GABARAPL2,miR-197-3p/miR-19b-3p/HBP1/GABARAPL2,SARC,1
miR-197-3p,miR-212-3p,NCOA3,VPS13B,miR-197-3p/miR-212-3p/NCOA3/VPS13B,LGG,1
miR-197-3p,miR-212-3p,SOX11,MAP4K4,miR-197-3p/miR-212-3p/SOX11/MAP4K4,LGG,1
miR-197-3p,miR-29c-3p,NCOA3,BPTF,miR-197-3p/miR-29c-3p/NCOA3/BPTF,LGG,1
miR-197-3p,miR-3065-3p,MAZ,BCAR1,miR-197-3p/miR-3065-3p/MAZ/BCAR1,LGG,1
miR-197-3p,miR-3065-3p,MAZ,CRTC1,miR-197-3p/miR-3065-3p/MAZ/CRTC1,LGG,1
miR-197-3p,miR-330-5p,MAZ,ARAP1,miR-197-3p/miR-330-5p/MAZ/ARAP1,LGG,1
miR-197-3p,miR-491-5p,NCOA3,BPTF,miR-197-3p/miR-491-5p/NCOA3/BPTF,LGG,1
miR-197-3p,miR-491-5p,SOX11,ZBTB20,miR-197-3p/miR-491-5p/SOX11/ZBTB20,LGG,1
miR-197-3p,miR-539-5p,POU2F1,IL5,miR-197-3p/miR-539-5p/POU2F1/IL5,LGG,1
miR-197-3p,miR-744-3p,TFAP2A,F2R,miR-197-3p/miR-744-3p/TFAP2A/F2R,LGG,1
miR-197-3p,miR-760,MAZ,CSK,miR-197-3p/miR-760/MAZ/CSK,LGG,1
miR-197-3p,miR-874-3p,E2F1,NDUFAF6,miR-197-3p/miR-874-3p/E2F1/NDUFAF6,SARC,1
miR-197-3p,miR-877-5p,NCOA3,UBR5,miR-197-3p/miR-877-5p/NCOA3/UBR5,LGG,1
miR-1976,miR-3065-3p,MAZ,IRF2BP1,miR-1976/miR-3065-3p/MAZ/IRF2BP1,LGG,1
miR-1976,miR-326,MAZ,HNRNPF,miR-1976/miR-326/MAZ/HNRNPF,LGG,1
miR-1976,miR-3913-5p,MAZ,GSE1,miR-1976/miR-3913-5p/MAZ/GSE1,SARC,1
miR-1976,miR-484,YY1,CPSF2,miR-1976/miR-484/YY1/CPSF2,SARC,1
miR-1976,miR-642a-5p,MAZ,STK10,miR-1976/miR-642a-5p/MAZ/STK10,LGG,1
miR-1976,miR-744-3p,MAZ,FAAP20,miR-1976/miR-744-3p/MAZ/FAAP20,LGG,1
miR-1976,miR-937-3p,MAZ,IRF2BP1,miR-1976/miR-937-3p/MAZ/IRF2BP1,LGG,1
miR-199a-3p,miR-199b-3p,ZKSCAN1,ARHGEF19,miR-199a-3p/miR-199b-3p/ZKSCAN1/ARHGEF19,BLCA,1
miR-199a-3p,miR-199b-3p,ZKSCAN1,BAZ2A,miR-199a-3p/miR-199b-3p/ZKSCAN1/BAZ2A,PCPG,1
miR-199a-3p,miR-21-3p,MEF2A,ARHGAP42,miR-199a-3p/miR-21-3p/MEF2A/ARHGAP42,SARC,1
miR-199a-3p,miR-27b-3p,MEF2A,RIPOR2,miR-199a-3p/miR-27b-3p/MEF2A/RIPOR2,SARC,1
miR-199a-3p,miR-3065-3p,MEF2A,CAB39,miR-199a-3p/miR-3065-3p/MEF2A/CAB39,SARC,1
miR-199a-3p,miR-3065-3p,MEF2A,EEA1,miR-199a-3p/miR-3065-3p/MEF2A/EEA1,SARC,1
miR-199a-3p,miR-3065-3p,MEF2A,TRIO,miR-199a-3p/miR-3065-3p/MEF2A/TRIO,SARC,1
miR-199a-3p,miR-3065-3p,MEF2A,UVRAG,miR-199a-3p/miR-3065-3p/MEF2A/UVRAG,SARC,1
miR-199a-3p,miR-3065-3p,MEF2A,XYLT1,miR-199a-3p/miR-3065-3p/MEF2A/XYLT1,SARC,1
miR-199a-3p,miR-3170,ZNF24,SNX8,miR-199a-3p/miR-3170/ZNF24/SNX8,LGG,1
miR-199a-3p,miR-338-3p,AHR,CTNNA1,miR-199a-3p/miR-338-3p/AHR/CTNNA1,BLCA,1
miR-199a-3p,miR-3913-5p,MEF2A,ARHGAP42,miR-199a-3p/miR-3913-5p/MEF2A/ARHGAP42,SARC,1
miR-199a-3p,miR-766-3p,ZNF24,SULT2B1,miR-199a-3p/miR-766-3p/ZNF24/SULT2B1,BLCA,1
miR-199a-5p,miR-199b-5p,HIF1A,BNIP3L,miR-199a-5p/miR-199b-5p/HIF1A/BNIP3L,SARC,1
miR-199b-5p,miR-24-3p,MYC,ID2,miR-199b-5p/miR-24-3p/MYC/ID2,LGG,1
miR-199b-5p,miR-24-3p,MYC,RPL26,miR-199b-5p/miR-24-3p/MYC/RPL26,LGG,1
miR-199b-5p,miR-330-5p,MYC,ID2,miR-199b-5p/miR-330-5p/MYC/ID2,LGG,1
miR-199b-5p,miR-33b-5p,MYC,ID2,miR-199b-5p/miR-33b-5p/MYC/ID2,LGG,1
miR-199b-5p,miR-494-3p,HIF1A,BNIP3L,miR-199b-5p/miR-494-3p/HIF1A/BNIP3L,LGG,1
miR-199b-5p,miR-494-3p,MYC,POLE3,miR-199b-5p/miR-494-3p/MYC/POLE3,LGG,1
miR-199b-5p,miR-494-3p,MYC,RPL26,miR-199b-5p/miR-494-3p/MYC/RPL26,LGG,1
miR-199b-5p,miR-494-3p,MYC,UXT,miR-199b-5p/miR-494-3p/MYC/UXT,LGG,1
miR-199b-5p,miR-539-5p,POU2F1,IL5,miR-199b-5p/miR-539-5p/POU2F1/IL5,LGG,1
miR-199b-5p,miR-93-3p,HIF1A,CCL2,miR-199b-5p/miR-93-3p/HIF1A/CCL2,SARC,1
miR-199b-5p,miR-935,POU2F1,IL5,miR-199b-5p/miR-935/POU2F1/IL5,LGG,1
miR-19a-3p,miR-19b-1-5p,MEF2A,ARHGEF3,miR-19a-3p/miR-19b-1-5p/MEF2A/ARHGEF3,BLCA,1
miR-19a-3p,miR-19b-1-5p,MEF2A,ERC1,miR-19a-3p/miR-19b-1-5p/MEF2A/ERC1,BLCA,1
miR-19a-3p,miR-19b-1-5p,MEF2A,JUN,miR-19a-3p/miR-19b-1-5p/MEF2A/JUN,STAD,1
miR-19a-3p,miR-19b-1-5p,MEF2A,NCOA7,miR-19a-3p/miR-19b-1-5p/MEF2A/NCOA7,BLCA,1
miR-19a-3p,miR-19b-3p,CLOCK,NR1D2,miR-19a-3p/miR-19b-3p/CLOCK/NR1D2,STAD,1
miR-19a-3p,miR-19b-3p,CLOCK,RGS6,miR-19a-3p/miR-19b-3p/CLOCK/RGS6,STAD,1
miR-19a-3p,miR-19b-3p,ELF1,MYO9B,miR-19a-3p/miR-19b-3p/ELF1/MYO9B,LUSC,1
miR-19a-3p,miR-19b-3p,ESR1,CRYZ,miR-19a-3p/miR-19b-3p/ESR1/CRYZ,BRCA,1
miR-19a-3p,miR-19b-3p,ESR1,EGF,miR-19a-3p/miR-19b-3p/ESR1/EGF,SARC,1
miR-19a-3p,miR-19b-3p,ESR1,GADD45G,miR-19a-3p/miR-19b-3p/ESR1/GADD45G,STAD,1
miR-19a-3p,miR-19b-3p,ESR1,HSPB1,miR-19a-3p/miR-19b-3p/ESR1/HSPB1,SARC,1
miR-19a-3p,miR-19b-3p,ESR1,POFUT1,miR-19a-3p/miR-19b-3p/ESR1/POFUT1,BRCA,1
miR-19a-3p,miR-19b-3p,ESR1,STAT5A,miR-19a-3p/miR-19b-3p/ESR1/STAT5A,HNSC,1
miR-19a-3p,miR-19b-3p,ESR1,TSC22D3,miR-19a-3p/miR-19b-3p/ESR1/TSC22D3,LUSC,1
miR-19a-3p,miR-19b-3p,FOXP1,LNX1,miR-19a-3p/miR-19b-3p/FOXP1/LNX1,STAD,1
miR-19a-3p,miR-19b-3p,FOXP1,MAD1L1,miR-19a-3p/miR-19b-3p/FOXP1/MAD1L1,STAD,1
miR-19a-3p,miR-19b-3p,FOXP1,SEPTIN9,miR-19a-3p/miR-19b-3p/FOXP1/SEPTIN9,BRCA,1
miR-19a-3p,miR-19b-3p,HBP1,ERCC1,miR-19a-3p/miR-19b-3p/HBP1/ERCC1,SARC,1
miR-19a-3p,miR-19b-3p,HBP1,VPS26A,miR-19a-3p/miR-19b-3p/HBP1/VPS26A,STAD,1
miR-19a-3p,miR-19b-3p,HIF1A,NR3C1,miR-19a-3p/miR-19b-3p/HIF1A/NR3C1,LUSC,1
miR-19a-3p,miR-19b-3p,IKZF1,SMAP2,miR-19a-3p/miR-19b-3p/IKZF1/SMAP2,STAD,1
miR-19a-3p,miR-19b-3p,IKZF1,TNFAIP8,miR-19a-3p/miR-19b-3p/IKZF1/TNFAIP8,STAD,1
miR-19a-3p,miR-19b-3p,IKZF1,WNT5B,miR-19a-3p/miR-19b-3p/IKZF1/WNT5B,HNSC,1
miR-19a-3p,miR-19b-3p,MEF2A,CDYL,miR-19a-3p/miR-19b-3p/MEF2A/CDYL,STAD,1
miR-19a-3p,miR-19b-3p,MEF2A,HDAC9,miR-19a-3p/miR-19b-3p/MEF2A/HDAC9,SARC,1
miR-19a-3p,miR-19b-3p,MEF2A,LTBP1,miR-19a-3p/miR-19b-3p/MEF2A/LTBP1,SARC,1
miR-19a-3p,miR-19b-3p,NCOA2,ARFGEF2,miR-19a-3p/miR-19b-3p/NCOA2/ARFGEF2,BRCA,1
miR-19a-3p,miR-19b-3p,NCOA2,BPTF,miR-19a-3p/miR-19b-3p/NCOA2/BPTF,BRCA,1
miR-19a-3p,miR-19b-3p,POU2F1,POU2AF1,miR-19a-3p/miR-19b-3p/POU2F1/POU2AF1,HNSC,1
miR-19a-3p,miR-19b-3p,RUNX2,PIP4K2A,miR-19a-3p/miR-19b-3p/RUNX2/PIP4K2A,BRCA,1
miR-19a-3p,miR-19b-3p,RUNX2,TIAM2,miR-19a-3p/miR-19b-3p/RUNX2/TIAM2,HNSC,1
miR-19a-3p,miR-19b-3p,RUNX2,WNT5B,miR-19a-3p/miR-19b-3p/RUNX2/WNT5B,HNSC,1
miR-19a-3p,miR-19b-3p,ZNF217,USP32,miR-19a-3p/miR-19b-3p/ZNF217/USP32,BRCA,1
miR-19a-3p,miR-20a-3p,KLF6,LMNA,miR-19a-3p/miR-20a-3p/KLF6/LMNA,STAD,1
miR-19a-3p,miR-20a-5p,CREB1,ADRA1A,miR-19a-3p/miR-20a-5p/CREB1/ADRA1A,BRCA,1
miR-19a-3p,miR-20a-5p,CREB1,PCK1,miR-19a-3p/miR-20a-5p/CREB1/PCK1,BRCA,1
miR-19a-3p,miR-20a-5p,HBP1,P3H4,miR-19a-3p/miR-20a-5p/HBP1/P3H4,HNSC,1
miR-19a-3p,miR-20a-5p,HIF1A,SERPINE1,miR-19a-3p/miR-20a-5p/HIF1A/SERPINE1,HNSC,1
miR-19a-3p,miR-20a-5p,MEF2A,FBXW11,miR-19a-3p/miR-20a-5p/MEF2A/FBXW11,BLCA,1
miR-19a-3p,miR-20a-5p,MEF2A,HIVEP2,miR-19a-3p/miR-20a-5p/MEF2A/HIVEP2,BLCA,1
miR-19a-3p,miR-20a-5p,MEF2A,IPCEF1,miR-19a-3p/miR-20a-5p/MEF2A/IPCEF1,BLCA,1
miR-19a-3p,miR-20a-5p,MEF2A,NEK6,miR-19a-3p/miR-20a-5p/MEF2A/NEK6,BLCA,1
miR-19a-3p,miR-20a-5p,MEF2A,PICALM,miR-19a-3p/miR-20a-5p/MEF2A/PICALM,BLCA,1
miR-19a-3p,miR-20a-5p,POU2F1,POU2AF1,miR-19a-3p/miR-20a-5p/POU2F1/POU2AF1,HNSC,1
miR-19a-3p,miR-22-3p,STAT5B,ESR2,miR-19a-3p/miR-22-3p/STAT5B/ESR2,SARC,1
miR-19a-3p,miR-221-5p,NFIC,COL18A1,miR-19a-3p/miR-221-5p/NFIC/COL18A1,BRCA,1
miR-19a-3p,miR-26b-5p,IKZF1,TNFAIP8,miR-19a-3p/miR-26b-5p/IKZF1/TNFAIP8,STAD,1
miR-19a-3p,miR-301a-3p,ESR1,CYP19A1,miR-19a-3p/miR-301a-3p/ESR1/CYP19A1,COAD,1
miR-19a-3p,miR-301a-3p,ESR1,NBPF15,miR-19a-3p/miR-301a-3p/ESR1/NBPF15,COAD,1
miR-19a-3p,miR-301a-3p,ESR1,RET,miR-19a-3p/miR-301a-3p/ESR1/RET,HNSC,1
miR-19a-3p,miR-301a-3p,ESR1,STAT5A,miR-19a-3p/miR-301a-3p/ESR1/STAT5A,BLCA,1
miR-19a-3p,miR-301a-3p,ZKSCAN1,CRB2,miR-19a-3p/miR-301a-3p/ZKSCAN1/CRB2,HNSC,1
miR-19a-3p,miR-301b-3p,ESR1,HSPB1,miR-19a-3p/miR-301b-3p/ESR1/HSPB1,SARC,1
miR-19a-3p,miR-324-3p,STAT5B,BCL6,miR-19a-3p/miR-324-3p/STAT5B/BCL6,BLCA,1
miR-19a-3p,miR-335-3p,ESR1,JUN,miR-19a-3p/miR-335-3p/ESR1/JUN,STAD,1
miR-19a-3p,miR-335-3p,ESR1,STAT5A,miR-19a-3p/miR-335-3p/ESR1/STAT5A,COAD,1
miR-19a-3p,miR-335-3p,NFIC,JUN,miR-19a-3p/miR-335-3p/NFIC/JUN,STAD,1
miR-19a-3p,miR-335-3p,NFIC,TFPI2,miR-19a-3p/miR-335-3p/NFIC/TFPI2,BLCA,1
miR-19a-3p,miR-335-5p,FOXP1,EPRS1,miR-19a-3p/miR-335-5p/FOXP1/EPRS1,STAD,1
miR-19a-3p,miR-338-3p,POU2F1,POU2AF1,miR-19a-3p/miR-338-3p/POU2F1/POU2AF1,HNSC,1
miR-19a-3p,miR-33a-3p,CREB1,STAR,miR-19a-3p/miR-33a-3p/CREB1/STAR,STAD,1
miR-19a-3p,miR-33a-5p,FOXP1,MAD1L1,miR-19a-3p/miR-33a-5p/FOXP1/MAD1L1,STAD,1
miR-19a-3p,miR-33b-5p,IKZF1,DOCK11,miR-19a-3p/miR-33b-5p/IKZF1/DOCK11,COAD,1
miR-19a-3p,miR-3613-5p,MEF2A,CDYL,miR-19a-3p/miR-3613-5p/MEF2A/CDYL,STAD,1
miR-19a-3p,miR-3613-5p,MEF2A,IPCEF1,miR-19a-3p/miR-3613-5p/MEF2A/IPCEF1,STAD,1
miR-19a-3p,miR-3613-5p,MEF2A,RBPJ,miR-19a-3p/miR-3613-5p/MEF2A/RBPJ,STAD,1
miR-19a-3p,miR-3613-5p,MEF2A,UVRAG,miR-19a-3p/miR-3613-5p/MEF2A/UVRAG,STAD,1
miR-19a-3p,miR-362-3p,MEF2A,ARHGEF3,miR-19a-3p/miR-362-3p/MEF2A/ARHGEF3,BLCA,1
miR-19a-3p,miR-362-3p,MEF2A,JUN,miR-19a-3p/miR-362-3p/MEF2A/JUN,BLCA,1
miR-19a-3p,miR-3913-5p,MEF2A,LTBP1,miR-19a-3p/miR-3913-5p/MEF2A/LTBP1,SARC,1
miR-19a-3p,miR-421,FOXP1,EPRS1,miR-19a-3p/miR-421/FOXP1/EPRS1,STAD,1
miR-19a-3p,miR-421,FOXP1,SND1,miR-19a-3p/miR-421/FOXP1/SND1,STAD,1
miR-19a-3p,miR-431-5p,FOXP1,SND1,miR-19a-3p/miR-431-5p/FOXP1/SND1,STAD,1
miR-19a-3p,miR-454-3p,ESR1,HSPB1,miR-19a-3p/miR-454-3p/ESR1/HSPB1,SARC,1
miR-19a-3p,miR-454-3p,ESR1,RET,miR-19a-3p/miR-454-3p/ESR1/RET,HNSC,1
miR-19a-3p,miR-454-3p,ESR1,STAT5A,miR-19a-3p/miR-454-3p/ESR1/STAT5A,HNSC,1
miR-19a-3p,miR-491-3p,MEF2A,ARHGEF3,miR-19a-3p/miR-491-3p/MEF2A/ARHGEF3,BLCA,1
miR-19a-3p,miR-491-3p,MEF2A,NCOA7,miR-19a-3p/miR-491-3p/MEF2A/NCOA7,BLCA,1
miR-19a-3p,miR-497-3p,HIF1A,BNIP3,miR-19a-3p/miR-497-3p/HIF1A/BNIP3,THYM,1
miR-19a-3p,miR-501-5p,CREB1,STAR,miR-19a-3p/miR-501-5p/CREB1/STAR,STAD,1
miR-19a-3p,miR-548j-5p,MEF2A,PICALM,miR-19a-3p/miR-548j-5p/MEF2A/PICALM,THYM,1
miR-19a-3p,miR-627-5p,NCOA1,UBR5,miR-19a-3p/miR-627-5p/NCOA1/UBR5,THYM,1
miR-19a-3p,miR-671-5p,FOXP1,PMAIP1,miR-19a-3p/miR-671-5p/FOXP1/PMAIP1,BLCA,1
miR-19a-3p,miR-7-5p,FOXP1,TXNRD1,miR-19a-3p/miR-7-5p/FOXP1/TXNRD1,STAD,1
miR-19a-3p,miR-7-5p,KLF6,EPS8,miR-19a-3p/miR-7-5p/KLF6/EPS8,STAD,1
miR-19a-3p,miR-769-3p,SMAD5,RHOBTB3,miR-19a-3p/miR-769-3p/SMAD5/RHOBTB3,BRCA,1
miR-19a-3p,miR-874-3p,ESR1,CYP1B1,miR-19a-3p/miR-874-3p/ESR1/CYP1B1,BLCA,1
miR-19a-3p,miR-92a-1-5p,MEF2A,AFAP1,miR-19a-3p/miR-92a-1-5p/MEF2A/AFAP1,BLCA,1
miR-19a-3p,miR-92a-1-5p,MEF2A,ARHGEF3,miR-19a-3p/miR-92a-1-5p/MEF2A/ARHGEF3,BLCA,1
miR-19a-3p,miR-92a-1-5p,MEF2A,ERC1,miR-19a-3p/miR-92a-1-5p/MEF2A/ERC1,BLCA,1
miR-19a-3p,miR-92a-1-5p,MEF2A,ST6GAL1,miR-19a-3p/miR-92a-1-5p/MEF2A/ST6GAL1,BLCA,1
miR-19a-3p,miR-92a-1-5p,MEF2A,UVRAG,miR-19a-3p/miR-92a-1-5p/MEF2A/UVRAG,STAD,1
miR-19a-3p,miR-92b-5p,NFIC,JUN,miR-19a-3p/miR-92b-5p/NFIC/JUN,STAD,1
miR-19a-3p,miR-93-3p,FOXP1,LNX1,miR-19a-3p/miR-93-3p/FOXP1/LNX1,STAD,1
miR-19a-3p,miR-93-3p,STAT5B,PIM1,miR-19a-3p/miR-93-3p/STAT5B/PIM1,STAD,1
miR-19a-3p,miR-93-5p,MEF2A,HIVEP2,miR-19a-3p/miR-93-5p/MEF2A/HIVEP2,BLCA,1
miR-19b-1-5p,miR-19b-3p,MEF2A,HDAC9,miR-19b-1-5p/miR-19b-3p/MEF2A/HDAC9,SARC,1
miR-19b-1-5p,miR-19b-3p,MEF2A,IPCEF1,miR-19b-1-5p/miR-19b-3p/MEF2A/IPCEF1,SARC,1
miR-19b-1-5p,miR-200b-3p,ZFX,KLHL21,miR-19b-1-5p/miR-200b-3p/ZFX/KLHL21,SARC,1
miR-19b-1-5p,miR-200c-3p,ETS1,MGAT5B,miR-19b-1-5p/miR-200c-3p/ETS1/MGAT5B,BLCA,1
miR-19b-1-5p,miR-200c-3p,ETS1,TNF,miR-19b-1-5p/miR-200c-3p/ETS1/TNF,STAD,1
miR-19b-1-5p,miR-20a-5p,NR3C1,BGLAP,miR-19b-1-5p/miR-20a-5p/NR3C1/BGLAP,BLCA,1
miR-19b-1-5p,miR-218-5p,ZFX,ARID1B,miR-19b-1-5p/miR-218-5p/ZFX/ARID1B,SARC,1
miR-19b-1-5p,miR-222-5p,NR3C1,ATP1B1,miR-19b-1-5p/miR-222-5p/NR3C1/ATP1B1,STAD,1
miR-19b-1-5p,miR-27a-5p,SMAD4,CDKN2B,miR-19b-1-5p/miR-27a-5p/SMAD4/CDKN2B,SARC,1
miR-19b-1-5p,miR-3065-3p,MEF2A,LTBP1,miR-19b-1-5p/miR-3065-3p/MEF2A/LTBP1,SARC,1
miR-19b-1-5p,miR-3065-3p,MEF2A,NIN,miR-19b-1-5p/miR-3065-3p/MEF2A/NIN,SARC,1
miR-19b-1-5p,miR-324-5p,ETS1,CD3D,miR-19b-1-5p/miR-324-5p/ETS1/CD3D,STAD,1
miR-19b-1-5p,miR-324-5p,ETS1,CD53,miR-19b-1-5p/miR-324-5p/ETS1/CD53,STAD,1
miR-19b-1-5p,miR-324-5p,ETS1,CD6,miR-19b-1-5p/miR-324-5p/ETS1/CD6,STAD,1
miR-19b-1-5p,miR-324-5p,ETS1,CD8A,miR-19b-1-5p/miR-324-5p/ETS1/CD8A,STAD,1
miR-19b-1-5p,miR-362-3p,MEF2A,ARHGEF3,miR-19b-1-5p/miR-362-3p/MEF2A/ARHGEF3,BLCA,1
miR-19b-1-5p,miR-3913-5p,MEF2A,HDAC9,miR-19b-1-5p/miR-3913-5p/MEF2A/HDAC9,SARC,1
miR-19b-1-5p,miR-429,ETS1,CTSB,miR-19b-1-5p/miR-429/ETS1/CTSB,STAD,1
miR-19b-1-5p,miR-429,ZEB2,ANXA4,miR-19b-1-5p/miR-429/ZEB2/ANXA4,STAD,1
miR-19b-1-5p,miR-450b-5p,NCOA2,HIPK1,miR-19b-1-5p/miR-450b-5p/NCOA2/HIPK1,SARC,1
miR-19b-1-5p,miR-92a-1-5p,MEF2A,ARHGEF3,miR-19b-1-5p/miR-92a-1-5p/MEF2A/ARHGEF3,BLCA,1
miR-19b-1-5p,miR-92a-1-5p,MEF2A,EEA1,miR-19b-1-5p/miR-92a-1-5p/MEF2A/EEA1,STAD,1
miR-19b-1-5p,miR-92a-1-5p,MEF2A,LTBP1,miR-19b-1-5p/miR-92a-1-5p/MEF2A/LTBP1,SARC,1
miR-19b-1-5p,miR-92a-1-5p,MEF2A,MBNL1,miR-19b-1-5p/miR-92a-1-5p/MEF2A/MBNL1,BLCA,1
miR-19b-1-5p,miR-92a-1-5p,MEF2A,WWTR1,miR-19b-1-5p/miR-92a-1-5p/MEF2A/WWTR1,SARC,1
miR-19b-1-5p,miR-93-3p,STAT5B,PIM1,miR-19b-1-5p/miR-93-3p/STAT5B/PIM1,STAD,1
miR-19b-1-5p,miR-93-5p,MEF2A,DAAM1,miR-19b-1-5p/miR-93-5p/MEF2A/DAAM1,BLCA,1
miR-19b-3p,miR-200a-3p,TCF4,NAALADL2,miR-19b-3p/miR-200a-3p/TCF4/NAALADL2,STAD,1
miR-19b-3p,miR-200b-3p,TCF4,NAALADL2,miR-19b-3p/miR-200b-3p/TCF4/NAALADL2,STAD,1
miR-19b-3p,miR-200c-3p,CUX1,CLEC16A,miR-19b-3p/miR-200c-3p/CUX1/CLEC16A,STAD,1
miR-19b-3p,miR-200c-3p,CUX1,TBC1D5,miR-19b-3p/miR-200c-3p/CUX1/TBC1D5,STAD,1
miR-19b-3p,miR-20a-5p,CREB1,PCK1,miR-19b-3p/miR-20a-5p/CREB1/PCK1,BRCA,1
miR-19b-3p,miR-20a-5p,HBP1,GABARAPL2,miR-19b-3p/miR-20a-5p/HBP1/GABARAPL2,SARC,1
miR-19b-3p,miR-20a-5p,HIF1A,TUBB3,miR-19b-3p/miR-20a-5p/HIF1A/TUBB3,HNSC,1
miR-19b-3p,miR-20a-5p,MEF2A,RIN2,miR-19b-3p/miR-20a-5p/MEF2A/RIN2,STAD,1
miR-19b-3p,miR-20a-5p,NFIC,JUN,miR-19b-3p/miR-20a-5p/NFIC/JUN,BRCA,1
miR-19b-3p,miR-20a-5p,TCF4,IL33,miR-19b-3p/miR-20a-5p/TCF4/IL33,BRCA,1
miR-19b-3p,miR-20a-5p,TCF4,NAALADL2,miR-19b-3p/miR-20a-5p/TCF4/NAALADL2,STAD,1
miR-19b-3p,miR-20a-5p,TCF4,NRXN1,miR-19b-3p/miR-20a-5p/TCF4/NRXN1,HNSC,1
miR-19b-3p,miR-218-5p,FOXP1,AP3B1,miR-19b-3p/miR-218-5p/FOXP1/AP3B1,SARC,1
miR-19b-3p,miR-218-5p,FOXP1,STIM2,miR-19b-3p/miR-218-5p/FOXP1/STIM2,SARC,1
miR-19b-3p,miR-22-3p,STAT5B,ESR2,miR-19b-3p/miR-22-3p/STAT5B/ESR2,SARC,1
miR-19b-3p,miR-22-5p,FOXP1,NPAS3,miR-19b-3p/miR-22-5p/FOXP1/NPAS3,SARC,1
miR-19b-3p,miR-222-3p,RUNX2,GULP1,miR-19b-3p/miR-222-3p/RUNX2/GULP1,BRCA,1
miR-19b-3p,miR-29b-1-5p,CUX1,SEPTIN9,miR-19b-3p/miR-29b-1-5p/CUX1/SEPTIN9,STAD,1
miR-19b-3p,miR-29c-3p,HIF1A,NAMPT,miR-19b-3p/miR-29c-3p/HIF1A/NAMPT,HNSC,1
miR-19b-3p,miR-301a-3p,ESR1,STAT5A,miR-19b-3p/miR-301a-3p/ESR1/STAT5A,SARC,1
miR-19b-3p,miR-301a-3p,ESR1,ZMYND8,miR-19b-3p/miR-301a-3p/ESR1/ZMYND8,SARC,1
miR-19b-3p,miR-301b-3p,ESR1,NCOA1,miR-19b-3p/miR-301b-3p/ESR1/NCOA1,LIHC,1
miR-19b-3p,miR-320b,FOXP1,EPRS1,miR-19b-3p/miR-320b/FOXP1/EPRS1,STAD,1
miR-19b-3p,miR-335-5p,FOXP1,EPRS1,miR-19b-3p/miR-335-5p/FOXP1/EPRS1,STAD,1
miR-19b-3p,miR-335-5p,FOXP1,GSE1,miR-19b-3p/miR-335-5p/FOXP1/GSE1,STAD,1
miR-19b-3p,miR-338-3p,FOXP1,NPAS3,miR-19b-3p/miR-338-3p/FOXP1/NPAS3,SARC,1
miR-19b-3p,miR-33a-3p,TCF4,NAALADL2,miR-19b-3p/miR-33a-3p/TCF4/NAALADL2,STAD,1
