miRNAPair;CancerTypes;Count
miR-1224-5p/miR-222-5p;LGG;1
miR-1224-5p/miR-335-5p;TGCT;1
miR-1226-3p/miR-125b-2-3p;TGCT;1
miR-1226-3p/miR-142-5p;STAD;1
miR-1226-3p/miR-20b-5p;BLCA;1
miR-1226-3p/miR-330-5p;SARC;1
miR-1226-3p/miR-582-5p;TGCT;1
miR-1226-3p/miR-629-3p;COAD;1
miR-1228-3p/miR-424-5p;COAD;1
miR-1229-3p/miR-1-3p;LGG;1
miR-1229-3p/miR-1226-3p;LGG;1
miR-1229-3p/miR-133a-3p;LGG;1
miR-1229-3p/miR-135b-5p;BLCA;1
miR-1229-3p/miR-145-5p;LGG;1
miR-1229-3p/miR-185-3p;LGG;1
miR-1229-3p/miR-22-5p;LGG;1
miR-1229-3p/miR-221-3p;LGG;1
miR-1229-3p/miR-326;THCA;1
miR-1229-3p/miR-330-5p;LGG;1
miR-1229-3p/miR-654-3p;LGG;1
miR-124-3p/miR-101-5p;LGG;1
miR-124-3p/miR-29b-3p;TGCT;1
miR-124-3p/miR-338-5p;LGG;1
miR-124-3p/miR-497-5p;TGCT;1
miR-124-3p/miR-518e-3p;TGCT;1
miR-124-3p/miR-520d-5p;TGCT;1
miR-124-3p/miR-548d-3p;TGCT;1
miR-124-3p/miR-615-3p;TGCT;1
miR-124-3p/miR-7-5p;TGCT;1
miR-1243/miR-663a;TGCT;1
miR-1248/miR-29a-3p;TGCT;1
miR-1248/miR-29b-3p;TGCT;1
miR-1248/miR-767-5p;TGCT;1
miR-1249-3p/miR-17-5p;SARC;1
miR-125a-3p/miR-17-5p;BLCA;1
miR-125a-3p/miR-185-3p;SARC;1
miR-125a-3p/miR-20a-5p;SARC;1
miR-125a-3p/miR-219a-1-3p;SARC;1
miR-125a-3p/miR-3199;BLCA;1
miR-125a-3p/miR-504-5p;LGG;1
miR-125a-3p/miR-505-3p;SARC;1
miR-125a-5p/let-7b-5p;THYM;1
miR-125a-5p/miR-125b-5p;THYM;1
miR-125a-5p/miR-1262;THYM;1
miR-125a-5p/miR-130a-3p;THYM;1
miR-125a-5p/miR-19a-3p;LIHC;1
miR-125a-5p/miR-34c-3p;THYM;1
miR-125b-2-3p/let-7c-5p;ACC;1
miR-125b-2-3p/miR-195-5p;SARC;1
miR-125b-2-3p/miR-200c-3p;SARC;1
miR-125b-2-3p/miR-21-3p;SARC;1
miR-125b-2-3p/miR-2277-5p;SARC;1
miR-125b-2-3p/miR-29a-3p;SARC;1
miR-125b-2-3p/miR-30b-3p;SARC;1
miR-125b-2-3p/miR-93-5p;BLCA;1
miR-125b-5p/let-7b-5p;THYM;1
miR-125b-5p/miR-10a-5p;BLCA;1
miR-125b-5p/miR-142-3p;SKCM;1
miR-125b-5p/miR-181c-5p;THYM;1
miR-125b-5p/miR-192-5p;STAD;1
miR-125b-5p/miR-221-3p;THYM;1
miR-125b-5p/miR-3065-3p;SARC;1
miR-125b-5p/miR-3065-5p;STAD;1
miR-125b-5p/miR-324-3p;ESCA;1
miR-125b-5p/miR-369-3p;THYM;1
miR-125b-5p/miR-376c-3p;THYM;1
miR-125b-5p/miR-429;THYM;1
miR-125b-5p/miR-519a-3p;THYM;1
miR-125b-5p/miR-519c-3p;THYM;1
miR-125b-5p/miR-519d-3p;THYM;1
miR-125b-5p/miR-580-3p;COAD;1
miR-125b-5p/miR-629-3p;SARC;1
miR-125b-5p/miR-92b-3p;THYM;1
miR-125b-5p/miR-93-3p;SARC;1
miR-125b-5p/miR-96-5p;THYM;1
miR-125b-5p/miR-99a-3p;SARC;1
miR-126-3p/miR-141-5p;STAD;1
miR-126-3p/miR-424-5p;STAD;1
miR-126-5p/miR-17-5p;SARC;1
miR-126-5p/miR-181c-5p;LGG;1
miR-126-5p/miR-195-5p;SARC;1
miR-1262/miR-1226-3p;BLCA;1
miR-1262/miR-3614-5p;THYM;1
miR-1262/miR-493-5p;THYM;1
miR-1262/miR-766-3p;BLCA;1
miR-1266-5p/miR-125a-3p;COAD;1
miR-1266-5p/miR-218-5p;STAD;1
miR-1269a/miR-29c-3p;TGCT;1
miR-1269a/miR-548o-3p;TGCT;1
miR-1269a/miR-92a-1-5p;TGCT;1
miR-127-5p/let-7b-5p;THYM;1
miR-127-5p/miR-106a-5p;THYM;1
miR-127-5p/miR-15b-5p;THYM;1
miR-127-5p/miR-205-5p;TGCT;1
miR-127-5p/miR-30a-5p;THYM;1
miR-127-5p/miR-379-5p;ACC;1
miR-127-5p/miR-485-5p;TGCT;1
miR-127-5p/miR-96-5p;TGCT;1
miR-1270/miR-130a-3p;BLCA;1
miR-1270/miR-144-5p;BLCA;1
miR-1270/miR-296-3p;TGCT;1
miR-1270/miR-32-3p;BLCA;1
miR-1270/miR-324-5p;BLCA;1
miR-1270/miR-376b-3p;TGCT;1
miR-1270/miR-877-5p;COAD;1
miR-1271-5p/miR-106a-5p;BLCA;1
miR-1271-5p/miR-141-3p;TGCT;1
miR-1271-5p/miR-149-3p;TGCT;1
miR-1271-5p/miR-193b-3p;BLCA;1
miR-1271-5p/miR-23a-5p;STAD;1
miR-1271-5p/miR-500a-5p;BLCA;1
miR-1271-5p/miR-9-3p;SARC;1
miR-1271-5p/miR-940;STAD;1
miR-1271-5p/miR-96-5p;BLCA;1
miR-1276/miR-301b-3p;COAD;1
miR-1277-3p/miR-200b-3p;SARC;1
miR-128-3p/miR-15a-5p;THYM;1
miR-128-3p/miR-520a-3p;THYM;1
miR-128-3p/miR-616-5p;THYM;1
miR-1287-5p/miR-223-3p;ACC;1
miR-1287-5p/miR-628-3p;SARC;1
miR-1288-3p/miR-501-5p;COAD;1
miR-129-2-3p/miR-103a-2-5p;PAAD;1
miR-129-5p/miR-149-3p;TGCT;1
miR-129-5p/miR-149-5p;LGG;1
miR-129-5p/miR-188-5p;BRCA;1
miR-129-5p/miR-194-5p;TGCT;1
miR-129-5p/miR-196a-5p;CESC;1
miR-129-5p/miR-204-5p;TGCT;1
miR-129-5p/miR-29c-3p;LGG;1
miR-129-5p/miR-3200-3p;PAAD;1
miR-129-5p/miR-33a-5p;PAAD;1
miR-129-5p/miR-483-5p;SARC;1
miR-129-5p/miR-577;PAAD;1
miR-129-5p/miR-625-3p;SARC;1
miR-129-5p/miR-629-3p;STAD;1
miR-129-5p/miR-769-3p;COAD;1
miR-1292-5p/miR-142-5p;STAD;1
miR-1296-5p/miR-130b-5p;SARC;1
miR-1296-5p/miR-181b-5p;BLCA;1
miR-1296-5p/miR-19a-3p;SARC;1
miR-1296-5p/miR-19b-3p;SARC;1
miR-1298-5p/miR-330-5p;LGG;1
miR-1301-3p/miR-16-1-3p;SARC;1
miR-1301-3p/miR-19b-1-5p;STAD;1
miR-1301-3p/miR-345-5p;BLCA;1
miR-1301-3p/miR-455-3p;SARC;1
miR-1301-3p/miR-671-5p;SARC;1
miR-1301-3p/miR-744-5p;SARC;1
miR-1301-3p/miR-92a-3p;SARC;1
miR-1304-5p/miR-223-5p;THYM;1
miR-1304-5p/miR-592;THYM;1
miR-1305/miR-142-5p;THYM;1
miR-1305/miR-183-5p;TGCT;1
miR-1305/miR-335-5p;TGCT;1
miR-1305/miR-376a-3p;ACC;1
miR-1305/miR-935;TGCT;1
miR-1306-3p/let-7c-5p;UCS;1
miR-1307-3p/miR-1301-3p;BLCA;1
miR-1307-3p/miR-130b-3p;STAD;1
miR-1307-3p/miR-148a-3p;SARC;1
miR-1307-3p/miR-34a-5p;READ;1
miR-1307-3p/miR-766-3p;SARC;1
miR-130a-3p/miR-141-3p;SARC;1
miR-130a-3p/miR-181a-2-3p;THYM;1
miR-130a-3p/miR-194-3p;SARC;1
miR-130a-3p/miR-195-3p;THYM;1
miR-130a-3p/miR-26a-5p;SARC;1
miR-130a-3p/miR-27a-5p;STAD;1
miR-130a-3p/miR-29b-3p;BLCA;1
miR-130a-3p/miR-320c;SARC;1
miR-130a-3p/miR-335-5p;BLCA;1
miR-130a-3p/miR-338-3p;SARC;1
miR-130a-3p/miR-33b-5p;THYM;1
miR-130a-3p/miR-497-5p;THYM;1
miR-130a-3p/miR-516a-5p;THYM;1
miR-130a-3p/miR-519c-3p;THYM;1
miR-130a-3p/miR-520a-5p;THYM;1
miR-130a-3p/miR-616-5p;BLCA;1
miR-130a-3p/miR-874-3p;SARC;1
miR-130a-3p/miR-93-5p;STAD;1
miR-130a-5p/let-7c-5p;HNSC;1
miR-130a-5p/let-7f-5p;SARC;1
miR-130a-5p/miR-1226-3p;UCEC;1
miR-130a-5p/miR-132-3p;SARC;1
miR-130a-5p/miR-148a-5p;BRCA;1
miR-130a-5p/miR-149-5p;UCEC;1
miR-130a-5p/miR-196a-5p;THYM;1
miR-130a-5p/miR-219a-1-3p;SARC;1
miR-130a-5p/miR-520a-5p;THYM;1
miR-130a-5p/miR-9-5p;UCS;1
miR-130b-3p/miR-103a-2-5p;BLCA;1
miR-130b-3p/miR-125b-2-3p;SARC;1
miR-130b-3p/miR-125b-5p;STAD;1
miR-130b-3p/miR-17-5p;STAD;1
miR-130b-3p/miR-183-3p;TGCT;1
miR-130b-3p/miR-190a-5p;SARC;1
miR-130b-3p/miR-193b-3p;UCEC;1
miR-130b-3p/miR-331-3p;BLCA;1
miR-130b-3p/miR-335-5p;TGCT;1
miR-130b-3p/miR-34b-3p;SARC;1
miR-130b-3p/miR-3928-3p;BLCA;1
miR-130b-3p/miR-766-3p;TGCT;1
miR-130b-5p/let-7c-5p;SARC;1
miR-130b-5p/miR-148a-3p;STAD;1
miR-130b-5p/miR-182-3p;TGCT;1
miR-130b-5p/miR-183-3p;TGCT;1
miR-130b-5p/miR-195-5p;SARC;1
miR-130b-5p/miR-196b-5p;THYM;1
miR-130b-5p/miR-19b-3p;SARC;1
miR-130b-5p/miR-20b-3p;THYM;1
miR-130b-5p/miR-3615;THYM;1
miR-130b-5p/miR-377-5p;THYM;1
miR-130b-5p/miR-505-3p;BRCA;1
miR-130b-5p/miR-548j-5p;THYM;1
miR-130b-5p/miR-643;TGCT;1
miR-130b-5p/miR-766-3p;THYM;1
miR-130b-5p/miR-940;TGCT;1
miR-132-3p/miR-199a-3p;SARC;1
miR-132-3p/miR-199b-3p;SARC;1
miR-132-3p/miR-200b-3p;SARC;1
miR-132-3p/miR-212-3p;SARC;1
miR-132-5p/miR-493-3p;THYM;1
miR-1323/let-7b-5p;THYM;1
miR-1323/miR-182-5p;TGCT;1
miR-1323/miR-548j-5p;TGCT;1
miR-1323/miR-942-5p;TGCT;1
miR-133a-3p/miR-1-3p;LGG;1
miR-133a-3p/miR-10a-5p;BLCA;1
miR-133a-3p/miR-145-5p;LGG;1
miR-133a-3p/miR-181b-5p;SARC;1
miR-133a-3p/miR-206;LGG;1
miR-133a-3p/miR-20a-5p;STAD;1
miR-133a-3p/miR-221-5p;UCEC;1
miR-133a-3p/miR-29b-3p;LGG;1
miR-133a-3p/miR-34a-5p;SARC;1
miR-133a-3p/miR-367-3p;TGCT;1
miR-133a-3p/miR-503-5p;STAD;1
miR-133a-3p/miR-766-3p;LGG;1
miR-133a-3p/miR-874-3p;BLCA;1
miR-133a-3p/miR-9-5p;THYM;1
miR-134-5p/miR-1226-3p;SARC;1
miR-134-5p/miR-135b-5p;TGCT;1
miR-135a-5p/let-7g-3p;UCEC;1
miR-135a-5p/miR-940;TGCT;1
miR-135b-5p/miR-130b-3p;THYM;1
miR-135b-5p/miR-17-5p;THYM;1
miR-135b-5p/miR-18a-5p;THYM;1
miR-135b-5p/miR-20a-3p;LUSC;1
miR-135b-5p/miR-20a-5p;THYM;1
miR-135b-5p/miR-490-3p;BLCA;1
miR-135b-5p/miR-497-3p;THYM;1
miR-135b-5p/miR-550a-3p;BLCA;1
miR-135b-5p/miR-589-3p;COAD;1
miR-135b-5p/miR-744-5p;UCS;1
miR-135b-5p/miR-887-3p;THYM;1
miR-136-3p/miR-141-3p;SARC;1
miR-136-3p/miR-214-5p;SARC;1
miR-136-5p/miR-1-3p;SARC;1
miR-136-5p/miR-1224-5p;TGCT;1
miR-136-5p/miR-127-5p;BRCA;1
miR-136-5p/miR-181a-2-3p;SARC;1
miR-136-5p/miR-27b-5p;SKCM;1
miR-136-5p/miR-31-3p;STAD;1
miR-136-5p/miR-424-5p;COAD;1
miR-136-5p/miR-450b-5p;THYM;1
miR-136-5p/miR-582-3p;UCEC;1
miR-136-5p/miR-627-5p;UCEC;1
miR-138-5p/miR-18a-3p;HNSC;1
miR-138-5p/miR-27a-5p;LUSC;1
miR-138-5p/miR-3065-3p;TGCT;1
miR-138-5p/miR-30a-3p;THYM;1
miR-138-5p/miR-499a-3p;TGCT;1
miR-138-5p/miR-581;THCA;1
miR-138-5p/miR-9-3p;BLCA;1
miR-139-3p/miR-204-5p;ACC;1
miR-139-5p/miR-10a-3p;KIRP;1
miR-139-5p/miR-32-5p;SARC;1
miR-141-3p/let-7c-5p;SARC;1
miR-141-3p/let-7e-5p;SARC;1
miR-141-3p/miR-1224-5p;PAAD;1
miR-141-3p/miR-181a-2-3p;SARC;1
miR-141-3p/miR-181d-5p;THYM;1
miR-141-3p/miR-18a-5p;THYM;1
miR-141-3p/miR-194-3p;SARC;1
miR-141-3p/miR-196b-5p;BLCA;1
miR-141-3p/miR-378a-3p;HNSC;1
miR-141-3p/miR-378c;HNSC;1
miR-141-3p/miR-410-3p;BLCA;1
miR-141-3p/miR-421;BLCA;1
miR-141-3p/miR-429;THYM;1
miR-141-3p/miR-550a-5p;ACC;1
miR-141-3p/miR-676-3p;PAAD;1
miR-141-3p/miR-7-5p;THYM;1
miR-141-3p/miR-92b-3p;TGCT;1
miR-141-5p/let-7g-3p;STAD;1
miR-141-5p/miR-26b-3p;STAD;1
miR-141-5p/miR-326;MESO;1
miR-141-5p/miR-331-3p;BLCA;1
miR-141-5p/miR-486-3p;TGCT;1
miR-141-5p/miR-490-3p;STAD;1
miR-141-5p/miR-497-5p;BLCA;1
miR-141-5p/miR-582-5p;BLCA;1
miR-141-5p/miR-615-3p;MESO;1
miR-141-5p/miR-942-5p;STAD;1
miR-142-3p/let-7a-2-3p;SARC;1
miR-142-3p/miR-153-3p;PRAD;1
miR-142-3p/miR-195-5p;SARC;1
miR-142-3p/miR-27a-5p;STAD;1
miR-142-3p/miR-29b-3p;LGG;1
miR-142-3p/miR-3065-5p;STAD;1
miR-142-3p/miR-362-3p;STAD;1
miR-142-3p/miR-519e-3p;TGCT;1
miR-142-3p/miR-582-3p;SARC;1
miR-142-5p/miR-135a-5p;PCPG;1
miR-142-5p/miR-18a-3p;LGG;1
miR-142-5p/miR-320d;TGCT;1
miR-142-5p/miR-3934-5p;SKCM;1
miR-142-5p/miR-9-5p;TGCT;1
miR-142-5p/miR-92a-3p;SARC;1
miR-143-3p/miR-100-5p;SARC;1
miR-143-3p/miR-143-5p;UVM;1
miR-143-3p/miR-19a-3p;SARC;1
miR-143-3p/miR-20a-5p;LIHC;1
miR-143-3p/miR-20b-5p;LUAD;1
miR-143-3p/miR-30b-5p;LUAD;1
miR-143-3p/miR-33a-5p;STAD;1
miR-143-3p/miR-421;STAD;1
miR-143-3p/miR-424-5p;SARC;1
