miRNA1,miRNA2,hgnc_symbol_target,CommonTriplets,CancerTypes,count
hsa-mir-19a-3p,hsa-mir-19b-1-5p,NCOA7,hsa-mir-19a-3p/hsa-mir-19b-1-5p/NCOA7,BLCA,1
hsa-mir-19a-3p,hsa-mir-19b-3p,ARFGEF2,hsa-mir-19a-3p/hsa-mir-19b-3p/ARFGEF2,BRCA,1
hsa-mir-19a-3p,hsa-mir-19b-3p,BPTF,hsa-mir-19a-3p/hsa-mir-19b-3p/BPTF,BRCA,1
hsa-mir-19a-3p,hsa-mir-19b-3p,CDYL,hsa-mir-19a-3p/hsa-mir-19b-3p/CDYL,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,CRYZ,hsa-mir-19a-3p/hsa-mir-19b-3p/CRYZ,BRCA,1
hsa-mir-19a-3p,hsa-mir-19b-3p,EGF,hsa-mir-19a-3p/hsa-mir-19b-3p/EGF,SARC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,ERCC1,hsa-mir-19a-3p/hsa-mir-19b-3p/ERCC1,SARC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,GADD45G,hsa-mir-19a-3p/hsa-mir-19b-3p/GADD45G,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,HDAC9,hsa-mir-19a-3p/hsa-mir-19b-3p/HDAC9,SARC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,HSPB1,hsa-mir-19a-3p/hsa-mir-19b-3p/HSPB1,SARC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,LNX1,hsa-mir-19a-3p/hsa-mir-19b-3p/LNX1,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,LTBP1,hsa-mir-19a-3p/hsa-mir-19b-3p/LTBP1,SARC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,MAD1L1,hsa-mir-19a-3p/hsa-mir-19b-3p/MAD1L1,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,MYO9B,hsa-mir-19a-3p/hsa-mir-19b-3p/MYO9B,LUSC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,NR1D2,hsa-mir-19a-3p/hsa-mir-19b-3p/NR1D2,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,NR3C1,hsa-mir-19a-3p/hsa-mir-19b-3p/NR3C1,LUSC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,PIP4K2A,hsa-mir-19a-3p/hsa-mir-19b-3p/PIP4K2A,BRCA,1
hsa-mir-19a-3p,hsa-mir-19b-3p,POFUT1,hsa-mir-19a-3p/hsa-mir-19b-3p/POFUT1,BRCA,1
hsa-mir-19a-3p,hsa-mir-19b-3p,POU2AF1,hsa-mir-19a-3p/hsa-mir-19b-3p/POU2AF1,HNSC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,RGS6,hsa-mir-19a-3p/hsa-mir-19b-3p/RGS6,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,SEPTIN9,hsa-mir-19a-3p/hsa-mir-19b-3p/SEPTIN9,BRCA,1
hsa-mir-19a-3p,hsa-mir-19b-3p,SMAP2,hsa-mir-19a-3p/hsa-mir-19b-3p/SMAP2,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,STAT5A,hsa-mir-19a-3p/hsa-mir-19b-3p/STAT5A,HNSC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,TIAM2,hsa-mir-19a-3p/hsa-mir-19b-3p/TIAM2,HNSC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,TNFAIP8,hsa-mir-19a-3p/hsa-mir-19b-3p/TNFAIP8,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,TSC22D3,hsa-mir-19a-3p/hsa-mir-19b-3p/TSC22D3,LUSC,1
hsa-mir-19a-3p,hsa-mir-19b-3p,USP32,hsa-mir-19a-3p/hsa-mir-19b-3p/USP32,BRCA,1
hsa-mir-19a-3p,hsa-mir-19b-3p,VPS26A,hsa-mir-19a-3p/hsa-mir-19b-3p/VPS26A,STAD,1
hsa-mir-19a-3p,hsa-mir-19b-3p,WNT5B,hsa-mir-19a-3p/hsa-mir-19b-3p/WNT5B,HNSC,1
hsa-mir-19a-3p,hsa-mir-20a-3p,LMNA,hsa-mir-19a-3p/hsa-mir-20a-3p/LMNA,STAD,1
hsa-mir-19a-3p,hsa-mir-20a-5p,ADRA1A,hsa-mir-19a-3p/hsa-mir-20a-5p/ADRA1A,BRCA,1
hsa-mir-19a-3p,hsa-mir-20a-5p,FBXW11,hsa-mir-19a-3p/hsa-mir-20a-5p/FBXW11,BLCA,1
hsa-mir-19a-3p,hsa-mir-20a-5p,HIVEP2,hsa-mir-19a-3p/hsa-mir-20a-5p/HIVEP2,BLCA,1
hsa-mir-19a-3p,hsa-mir-20a-5p,IPCEF1,hsa-mir-19a-3p/hsa-mir-20a-5p/IPCEF1,BLCA,1
hsa-mir-19a-3p,hsa-mir-20a-5p,NEK6,hsa-mir-19a-3p/hsa-mir-20a-5p/NEK6,BLCA,1
hsa-mir-19a-3p,hsa-mir-20a-5p,P3H4,hsa-mir-19a-3p/hsa-mir-20a-5p/P3H4,HNSC,1
hsa-mir-19a-3p,hsa-mir-20a-5p,PCK1,hsa-mir-19a-3p/hsa-mir-20a-5p/PCK1,BRCA,1
hsa-mir-19a-3p,hsa-mir-20a-5p,PICALM,hsa-mir-19a-3p/hsa-mir-20a-5p/PICALM,BLCA,1
hsa-mir-19a-3p,hsa-mir-20a-5p,POU2AF1,hsa-mir-19a-3p/hsa-mir-20a-5p/POU2AF1,HNSC,1
hsa-mir-19a-3p,hsa-mir-20a-5p,SERPINE1,hsa-mir-19a-3p/hsa-mir-20a-5p/SERPINE1,HNSC,1
hsa-mir-19a-3p,hsa-mir-22-3p,ESR2,hsa-mir-19a-3p/hsa-mir-22-3p/ESR2,SARC,1
hsa-mir-19a-3p,hsa-mir-221-5p,COL18A1,hsa-mir-19a-3p/hsa-mir-221-5p/COL18A1,BRCA,1
hsa-mir-19a-3p,hsa-mir-26b-5p,TNFAIP8,hsa-mir-19a-3p/hsa-mir-26b-5p/TNFAIP8,STAD,1
hsa-mir-19a-3p,hsa-mir-301a-3p,CRB2,hsa-mir-19a-3p/hsa-mir-301a-3p/CRB2,HNSC,1
hsa-mir-19a-3p,hsa-mir-301a-3p,CYP19A1,hsa-mir-19a-3p/hsa-mir-301a-3p/CYP19A1,COAD,1
hsa-mir-19a-3p,hsa-mir-301a-3p,NBPF15,hsa-mir-19a-3p/hsa-mir-301a-3p/NBPF15,COAD,1
hsa-mir-19a-3p,hsa-mir-301a-3p,RET,hsa-mir-19a-3p/hsa-mir-301a-3p/RET,HNSC,1
hsa-mir-19a-3p,hsa-mir-301a-3p,STAT5A,hsa-mir-19a-3p/hsa-mir-301a-3p/STAT5A,BLCA,1
hsa-mir-19a-3p,hsa-mir-301b-3p,HSPB1,hsa-mir-19a-3p/hsa-mir-301b-3p/HSPB1,SARC,1
hsa-mir-19a-3p,hsa-mir-324-3p,BCL6,hsa-mir-19a-3p/hsa-mir-324-3p/BCL6,BLCA,1
hsa-mir-19a-3p,hsa-mir-335-3p,JUN,hsa-mir-19a-3p/hsa-mir-335-3p/JUN,STAD,1
hsa-mir-19a-3p,hsa-mir-335-3p,STAT5A,hsa-mir-19a-3p/hsa-mir-335-3p/STAT5A,COAD,1
hsa-mir-19a-3p,hsa-mir-335-3p,TFPI2,hsa-mir-19a-3p/hsa-mir-335-3p/TFPI2,BLCA,1
hsa-mir-19a-3p,hsa-mir-335-5p,EPRS1,hsa-mir-19a-3p/hsa-mir-335-5p/EPRS1,STAD,1
hsa-mir-19a-3p,hsa-mir-338-3p,POU2AF1,hsa-mir-19a-3p/hsa-mir-338-3p/POU2AF1,HNSC,1
hsa-mir-19a-3p,hsa-mir-33a-3p,STAR,hsa-mir-19a-3p/hsa-mir-33a-3p/STAR,STAD,1
hsa-mir-19a-3p,hsa-mir-33a-5p,MAD1L1,hsa-mir-19a-3p/hsa-mir-33a-5p/MAD1L1,STAD,1
hsa-mir-19a-3p,hsa-mir-33b-5p,DOCK11,hsa-mir-19a-3p/hsa-mir-33b-5p/DOCK11,COAD,1
hsa-mir-19a-3p,hsa-mir-3613-5p,CDYL,hsa-mir-19a-3p/hsa-mir-3613-5p/CDYL,STAD,1
hsa-mir-19a-3p,hsa-mir-3613-5p,IPCEF1,hsa-mir-19a-3p/hsa-mir-3613-5p/IPCEF1,STAD,1
hsa-mir-19a-3p,hsa-mir-3613-5p,RBPJ,hsa-mir-19a-3p/hsa-mir-3613-5p/RBPJ,STAD,1
hsa-mir-19a-3p,hsa-mir-3613-5p,UVRAG,hsa-mir-19a-3p/hsa-mir-3613-5p/UVRAG,STAD,1
hsa-mir-19a-3p,hsa-mir-362-3p,ARHGEF3,hsa-mir-19a-3p/hsa-mir-362-3p/ARHGEF3,BLCA,1
hsa-mir-19a-3p,hsa-mir-362-3p,JUN,hsa-mir-19a-3p/hsa-mir-362-3p/JUN,BLCA,1
hsa-mir-19a-3p,hsa-mir-3913-5p,LTBP1,hsa-mir-19a-3p/hsa-mir-3913-5p/LTBP1,SARC,1
hsa-mir-19a-3p,hsa-mir-421,EPRS1,hsa-mir-19a-3p/hsa-mir-421/EPRS1,STAD,1
hsa-mir-19a-3p,hsa-mir-421,SND1,hsa-mir-19a-3p/hsa-mir-421/SND1,STAD,1
hsa-mir-19a-3p,hsa-mir-431-5p,SND1,hsa-mir-19a-3p/hsa-mir-431-5p/SND1,STAD,1
hsa-mir-19a-3p,hsa-mir-454-3p,HSPB1,hsa-mir-19a-3p/hsa-mir-454-3p/HSPB1,SARC,1
hsa-mir-19a-3p,hsa-mir-454-3p,RET,hsa-mir-19a-3p/hsa-mir-454-3p/RET,HNSC,1
hsa-mir-19a-3p,hsa-mir-454-3p,STAT5A,hsa-mir-19a-3p/hsa-mir-454-3p/STAT5A,HNSC,1
hsa-mir-19a-3p,hsa-mir-491-3p,ARHGEF3,hsa-mir-19a-3p/hsa-mir-491-3p/ARHGEF3,BLCA,1
hsa-mir-19a-3p,hsa-mir-491-3p,NCOA7,hsa-mir-19a-3p/hsa-mir-491-3p/NCOA7,BLCA,1
hsa-mir-19a-3p,hsa-mir-497-3p,BNIP3,hsa-mir-19a-3p/hsa-mir-497-3p/BNIP3,THYM,1
hsa-mir-19a-3p,hsa-mir-501-5p,STAR,hsa-mir-19a-3p/hsa-mir-501-5p/STAR,STAD,1
hsa-mir-19a-3p,hsa-mir-548j-5p,PICALM,hsa-mir-19a-3p/hsa-mir-548j-5p/PICALM,THYM,1
hsa-mir-19a-3p,hsa-mir-627-5p,UBR5,hsa-mir-19a-3p/hsa-mir-627-5p/UBR5,THYM,1
hsa-mir-19a-3p,hsa-mir-671-5p,PMAIP1,hsa-mir-19a-3p/hsa-mir-671-5p/PMAIP1,BLCA,1
hsa-mir-19a-3p,hsa-mir-7-5p,EPS8,hsa-mir-19a-3p/hsa-mir-7-5p/EPS8,STAD,1
hsa-mir-19a-3p,hsa-mir-7-5p,TXNRD1,hsa-mir-19a-3p/hsa-mir-7-5p/TXNRD1,STAD,1
hsa-mir-19a-3p,hsa-mir-769-3p,RHOBTB3,hsa-mir-19a-3p/hsa-mir-769-3p/RHOBTB3,BRCA,1
hsa-mir-19a-3p,hsa-mir-874-3p,CYP1B1,hsa-mir-19a-3p/hsa-mir-874-3p/CYP1B1,BLCA,1
hsa-mir-19a-3p,hsa-mir-92a-1-5p,AFAP1,hsa-mir-19a-3p/hsa-mir-92a-1-5p/AFAP1,BLCA,1
hsa-mir-19a-3p,hsa-mir-92a-1-5p,ARHGEF3,hsa-mir-19a-3p/hsa-mir-92a-1-5p/ARHGEF3,BLCA,1
hsa-mir-19a-3p,hsa-mir-92a-1-5p,ERC1,hsa-mir-19a-3p/hsa-mir-92a-1-5p/ERC1,BLCA,1
hsa-mir-19a-3p,hsa-mir-92a-1-5p,ST6GAL1,hsa-mir-19a-3p/hsa-mir-92a-1-5p/ST6GAL1,BLCA,1
hsa-mir-19a-3p,hsa-mir-92a-1-5p,UVRAG,hsa-mir-19a-3p/hsa-mir-92a-1-5p/UVRAG,STAD,1
hsa-mir-19a-3p,hsa-mir-92b-5p,JUN,hsa-mir-19a-3p/hsa-mir-92b-5p/JUN,STAD,1
hsa-mir-19a-3p,hsa-mir-93-3p,LNX1,hsa-mir-19a-3p/hsa-mir-93-3p/LNX1,STAD,1
hsa-mir-19a-3p,hsa-mir-93-3p,PIM1,hsa-mir-19a-3p/hsa-mir-93-3p/PIM1,STAD,1
hsa-mir-19a-3p,hsa-mir-93-5p,HIVEP2,hsa-mir-19a-3p/hsa-mir-93-5p/HIVEP2,BLCA,1
hsa-mir-19b-1-5p,hsa-mir-19b-3p,HDAC9,hsa-mir-19b-1-5p/hsa-mir-19b-3p/HDAC9,SARC,1
hsa-mir-19b-1-5p,hsa-mir-19b-3p,IPCEF1,hsa-mir-19b-1-5p/hsa-mir-19b-3p/IPCEF1,SARC,1
hsa-mir-19b-1-5p,hsa-mir-200b-3p,KLHL21,hsa-mir-19b-1-5p/hsa-mir-200b-3p/KLHL21,SARC,1
hsa-mir-19b-1-5p,hsa-mir-200c-3p,MGAT5B,hsa-mir-19b-1-5p/hsa-mir-200c-3p/MGAT5B,BLCA,1
hsa-mir-19b-1-5p,hsa-mir-200c-3p,TNF,hsa-mir-19b-1-5p/hsa-mir-200c-3p/TNF,STAD,1
hsa-mir-19b-1-5p,hsa-mir-20a-5p,BGLAP,hsa-mir-19b-1-5p/hsa-mir-20a-5p/BGLAP,BLCA,1
hsa-mir-19b-1-5p,hsa-mir-218-5p,ARID1B,hsa-mir-19b-1-5p/hsa-mir-218-5p/ARID1B,SARC,1
hsa-mir-19b-1-5p,hsa-mir-222-5p,ATP1B1,hsa-mir-19b-1-5p/hsa-mir-222-5p/ATP1B1,STAD,1
hsa-mir-19b-1-5p,hsa-mir-27a-5p,CDKN2B,hsa-mir-19b-1-5p/hsa-mir-27a-5p/CDKN2B,SARC,1
hsa-mir-19b-1-5p,hsa-mir-3065-3p,LTBP1,hsa-mir-19b-1-5p/hsa-mir-3065-3p/LTBP1,SARC,1
hsa-mir-19b-1-5p,hsa-mir-3065-3p,NIN,hsa-mir-19b-1-5p/hsa-mir-3065-3p/NIN,SARC,1
hsa-mir-19b-1-5p,hsa-mir-324-5p,CD3D,hsa-mir-19b-1-5p/hsa-mir-324-5p/CD3D,STAD,1
hsa-mir-19b-1-5p,hsa-mir-324-5p,CD53,hsa-mir-19b-1-5p/hsa-mir-324-5p/CD53,STAD,1
hsa-mir-19b-1-5p,hsa-mir-324-5p,CD6,hsa-mir-19b-1-5p/hsa-mir-324-5p/CD6,STAD,1
hsa-mir-19b-1-5p,hsa-mir-324-5p,CD8A,hsa-mir-19b-1-5p/hsa-mir-324-5p/CD8A,STAD,1
hsa-mir-19b-1-5p,hsa-mir-362-3p,ARHGEF3,hsa-mir-19b-1-5p/hsa-mir-362-3p/ARHGEF3,BLCA,1
hsa-mir-19b-1-5p,hsa-mir-3913-5p,HDAC9,hsa-mir-19b-1-5p/hsa-mir-3913-5p/HDAC9,SARC,1
hsa-mir-19b-1-5p,hsa-mir-429,ANXA4,hsa-mir-19b-1-5p/hsa-mir-429/ANXA4,STAD,1
hsa-mir-19b-1-5p,hsa-mir-429,CTSB,hsa-mir-19b-1-5p/hsa-mir-429/CTSB,STAD,1
hsa-mir-19b-1-5p,hsa-mir-450b-5p,HIPK1,hsa-mir-19b-1-5p/hsa-mir-450b-5p/HIPK1,SARC,1
hsa-mir-19b-1-5p,hsa-mir-92a-1-5p,ARHGEF3,hsa-mir-19b-1-5p/hsa-mir-92a-1-5p/ARHGEF3,BLCA,1
hsa-mir-19b-1-5p,hsa-mir-92a-1-5p,EEA1,hsa-mir-19b-1-5p/hsa-mir-92a-1-5p/EEA1,STAD,1
hsa-mir-19b-1-5p,hsa-mir-92a-1-5p,LTBP1,hsa-mir-19b-1-5p/hsa-mir-92a-1-5p/LTBP1,SARC,1
hsa-mir-19b-1-5p,hsa-mir-92a-1-5p,MBNL1,hsa-mir-19b-1-5p/hsa-mir-92a-1-5p/MBNL1,BLCA,1
hsa-mir-19b-1-5p,hsa-mir-92a-1-5p,WWTR1,hsa-mir-19b-1-5p/hsa-mir-92a-1-5p/WWTR1,SARC,1
hsa-mir-19b-1-5p,hsa-mir-93-3p,PIM1,hsa-mir-19b-1-5p/hsa-mir-93-3p/PIM1,STAD,1
hsa-mir-19b-1-5p,hsa-mir-93-5p,DAAM1,hsa-mir-19b-1-5p/hsa-mir-93-5p/DAAM1,BLCA,1
hsa-mir-19b-3p,hsa-mir-200a-3p,NAALADL2,hsa-mir-19b-3p/hsa-mir-200a-3p/NAALADL2,STAD,1
hsa-mir-19b-3p,hsa-mir-200b-3p,NAALADL2,hsa-mir-19b-3p/hsa-mir-200b-3p/NAALADL2,STAD,1
hsa-mir-19b-3p,hsa-mir-200c-3p,CLEC16A,hsa-mir-19b-3p/hsa-mir-200c-3p/CLEC16A,STAD,1
hsa-mir-19b-3p,hsa-mir-200c-3p,TBC1D5,hsa-mir-19b-3p/hsa-mir-200c-3p/TBC1D5,STAD,1
hsa-mir-19b-3p,hsa-mir-20a-5p,GABARAPL2,hsa-mir-19b-3p/hsa-mir-20a-5p/GABARAPL2,SARC,1
hsa-mir-19b-3p,hsa-mir-20a-5p,IL33,hsa-mir-19b-3p/hsa-mir-20a-5p/IL33,BRCA,1
hsa-mir-19b-3p,hsa-mir-20a-5p,JUN,hsa-mir-19b-3p/hsa-mir-20a-5p/JUN,BRCA,1
hsa-mir-19b-3p,hsa-mir-20a-5p,NAALADL2,hsa-mir-19b-3p/hsa-mir-20a-5p/NAALADL2,STAD,1
hsa-mir-19b-3p,hsa-mir-20a-5p,NRXN1,hsa-mir-19b-3p/hsa-mir-20a-5p/NRXN1,HNSC,1
hsa-mir-19b-3p,hsa-mir-20a-5p,PCK1,hsa-mir-19b-3p/hsa-mir-20a-5p/PCK1,BRCA,1
hsa-mir-19b-3p,hsa-mir-20a-5p,RIN2,hsa-mir-19b-3p/hsa-mir-20a-5p/RIN2,STAD,1
hsa-mir-19b-3p,hsa-mir-20a-5p,TUBB3,hsa-mir-19b-3p/hsa-mir-20a-5p/TUBB3,HNSC,1
hsa-mir-19b-3p,hsa-mir-218-5p,AP3B1,hsa-mir-19b-3p/hsa-mir-218-5p/AP3B1,SARC,1
hsa-mir-19b-3p,hsa-mir-218-5p,STIM2,hsa-mir-19b-3p/hsa-mir-218-5p/STIM2,SARC,1
hsa-mir-19b-3p,hsa-mir-22-3p,ESR2,hsa-mir-19b-3p/hsa-mir-22-3p/ESR2,SARC,1
hsa-mir-19b-3p,hsa-mir-22-5p,NPAS3,hsa-mir-19b-3p/hsa-mir-22-5p/NPAS3,SARC,1
hsa-mir-19b-3p,hsa-mir-222-3p,GULP1,hsa-mir-19b-3p/hsa-mir-222-3p/GULP1,BRCA,1
hsa-mir-19b-3p,hsa-mir-29b-1-5p,SEPTIN9,hsa-mir-19b-3p/hsa-mir-29b-1-5p/SEPTIN9,STAD,1
hsa-mir-19b-3p,hsa-mir-29c-3p,NAMPT,hsa-mir-19b-3p/hsa-mir-29c-3p/NAMPT,HNSC,1
hsa-mir-19b-3p,hsa-mir-301a-3p,STAT5A,hsa-mir-19b-3p/hsa-mir-301a-3p/STAT5A,SARC,1
hsa-mir-19b-3p,hsa-mir-301a-3p,ZMYND8,hsa-mir-19b-3p/hsa-mir-301a-3p/ZMYND8,SARC,1
hsa-mir-19b-3p,hsa-mir-301b-3p,NCOA1,hsa-mir-19b-3p/hsa-mir-301b-3p/NCOA1,LIHC,1
hsa-mir-19b-3p,hsa-mir-320b,EPRS1,hsa-mir-19b-3p/hsa-mir-320b/EPRS1,STAD,1
hsa-mir-19b-3p,hsa-mir-335-5p,EPRS1,hsa-mir-19b-3p/hsa-mir-335-5p/EPRS1,STAD,1
hsa-mir-19b-3p,hsa-mir-335-5p,GSE1,hsa-mir-19b-3p/hsa-mir-335-5p/GSE1,STAD,1
hsa-mir-19b-3p,hsa-mir-338-3p,NPAS3,hsa-mir-19b-3p/hsa-mir-338-3p/NPAS3,SARC,1
hsa-mir-19b-3p,hsa-mir-33a-3p,NAALADL2,hsa-mir-19b-3p/hsa-mir-33a-3p/NAALADL2,STAD,1
hsa-mir-19b-3p,hsa-mir-33a-5p,LNX1,hsa-mir-19b-3p/hsa-mir-33a-5p/LNX1,STAD,1
hsa-mir-19b-3p,hsa-mir-3613-5p,ASAP1,hsa-mir-19b-3p/hsa-mir-3613-5p/ASAP1,STAD,1
hsa-mir-19b-3p,hsa-mir-3613-5p,CDYL,hsa-mir-19b-3p/hsa-mir-3613-5p/CDYL,STAD,1
hsa-mir-19b-3p,hsa-mir-362-3p,ASAP1,hsa-mir-19b-3p/hsa-mir-362-3p/ASAP1,STAD,1
hsa-mir-19b-3p,hsa-mir-3913-5p,HDAC9,hsa-mir-19b-3p/hsa-mir-3913-5p/HDAC9,SARC,1
hsa-mir-19b-3p,hsa-mir-421,EPRS1,hsa-mir-19b-3p/hsa-mir-421/EPRS1,STAD,1
hsa-mir-19b-3p,hsa-mir-421,MAD1L1,hsa-mir-19b-3p/hsa-mir-421/MAD1L1,STAD,1
hsa-mir-19b-3p,hsa-mir-431-5p,MAD1L1,hsa-mir-19b-3p/hsa-mir-431-5p/MAD1L1,STAD,1
hsa-mir-19b-3p,hsa-mir-454-3p,HSPB1,hsa-mir-19b-3p/hsa-mir-454-3p/HSPB1,SARC,1
hsa-mir-19b-3p,hsa-mir-454-3p,STAT5A,hsa-mir-19b-3p/hsa-mir-454-3p/STAT5A,HNSC,1
hsa-mir-19b-3p,hsa-mir-505-5p,MMP13,hsa-mir-19b-3p/hsa-mir-505-5p/MMP13,BRCA,1
hsa-mir-19b-3p,hsa-mir-577,GSE1,hsa-mir-19b-3p/hsa-mir-577/GSE1,STAD,1
hsa-mir-19b-3p,hsa-mir-7-1-3p,DIP2B,hsa-mir-19b-3p/hsa-mir-7-1-3p/DIP2B,SARC,1
hsa-mir-19b-3p,hsa-mir-7-1-3p,DOCK4,hsa-mir-19b-3p/hsa-mir-7-1-3p/DOCK4,SARC,1
hsa-mir-19b-3p,hsa-mir-7-1-3p,EPRS1,hsa-mir-19b-3p/hsa-mir-7-1-3p/EPRS1,STAD,1
hsa-mir-19b-3p,hsa-mir-7-1-3p,LNX1,hsa-mir-19b-3p/hsa-mir-7-1-3p/LNX1,STAD,1
hsa-mir-19b-3p,hsa-mir-7-1-3p,NUP98,hsa-mir-19b-3p/hsa-mir-7-1-3p/NUP98,STAD,1
hsa-mir-19b-3p,hsa-mir-7-5p,GSE1,hsa-mir-19b-3p/hsa-mir-7-5p/GSE1,STAD,1
hsa-mir-19b-3p,hsa-mir-769-3p,RHOBTB3,hsa-mir-19b-3p/hsa-mir-769-3p/RHOBTB3,BRCA,1
hsa-mir-19b-3p,hsa-mir-877-5p,BHLHE40,hsa-mir-19b-3p/hsa-mir-877-5p/BHLHE40,LIHC,1
hsa-mir-19b-3p,hsa-mir-9-5p,DOCK4,hsa-mir-19b-3p/hsa-mir-9-5p/DOCK4,SARC,1
hsa-mir-19b-3p,hsa-mir-92a-3p,COL7A1,hsa-mir-19b-3p/hsa-mir-92a-3p/COL7A1,SARC,1
hsa-mir-19b-3p,hsa-mir-93-3p,CREB5,hsa-mir-19b-3p/hsa-mir-93-3p/CREB5,SARC,1
hsa-mir-19b-3p,hsa-mir-93-3p,PIM1,hsa-mir-19b-3p/hsa-mir-93-3p/PIM1,STAD,1
hsa-mir-19b-3p,hsa-mir-942-5p,MAD1L1,hsa-mir-19b-3p/hsa-mir-942-5p/MAD1L1,STAD,1
hsa-mir-200a-3p,hsa-mir-200b-3p,CLIC5,hsa-mir-200a-3p/hsa-mir-200b-3p/CLIC5,LUSC,1
hsa-mir-200a-3p,hsa-mir-200b-3p,LRRFIP1,hsa-mir-200a-3p/hsa-mir-200b-3p/LRRFIP1,LUSC,1
hsa-mir-200a-3p,hsa-mir-200b-3p,MYH9,hsa-mir-200a-3p/hsa-mir-200b-3p/MYH9,LUSC,1
hsa-mir-200a-3p,hsa-mir-200b-3p,TMEM131,hsa-mir-200a-3p/hsa-mir-200b-3p/TMEM131,BLCA,1
hsa-mir-200a-3p,hsa-mir-200c-3p,TMEM131,hsa-mir-200a-3p/hsa-mir-200c-3p/TMEM131,BLCA,1
hsa-mir-200a-3p,hsa-mir-203a-3p,NR5A2,hsa-mir-200a-3p/hsa-mir-203a-3p/NR5A2,BLCA,1
hsa-mir-200a-3p,hsa-mir-20a-5p,DUSP10,hsa-mir-200a-3p/hsa-mir-20a-5p/DUSP10,HNSC,1
hsa-mir-200a-3p,hsa-mir-20a-5p,NAALADL2,hsa-mir-200a-3p/hsa-mir-20a-5p/NAALADL2,STAD,1
hsa-mir-200a-3p,hsa-mir-20a-5p,PLCB1,hsa-mir-200a-3p/hsa-mir-20a-5p/PLCB1,STAD,1
hsa-mir-200a-3p,hsa-mir-20b-3p,IQGAP1,hsa-mir-200a-3p/hsa-mir-20b-3p/IQGAP1,TGCT,1
hsa-mir-200a-3p,hsa-mir-20b-5p,IQGAP1,hsa-mir-200a-3p/hsa-mir-20b-5p/IQGAP1,TGCT,1
hsa-mir-200a-3p,hsa-mir-24-3p,MSI2,hsa-mir-200a-3p/hsa-mir-24-3p/MSI2,LGG,1
hsa-mir-200a-3p,hsa-mir-24-3p,XPC,hsa-mir-200a-3p/hsa-mir-24-3p/XPC,LGG,1
hsa-mir-200a-3p,hsa-mir-301a-3p,IQGAP1,hsa-mir-200a-3p/hsa-mir-301a-3p/IQGAP1,TGCT,1
hsa-mir-200a-3p,hsa-mir-3065-5p,TP53I3,hsa-mir-200a-3p/hsa-mir-3065-5p/TP53I3,LGG,1
hsa-mir-200a-3p,hsa-mir-320b,PLCB1,hsa-mir-200a-3p/hsa-mir-320b/PLCB1,STAD,1
hsa-mir-200a-3p,hsa-mir-330-3p,HIC1,hsa-mir-200a-3p/hsa-mir-330-3p/HIC1,LGG,1
hsa-mir-200a-3p,hsa-mir-330-3p,RPS27L,hsa-mir-200a-3p/hsa-mir-330-3p/RPS27L,LGG,1
hsa-mir-200a-3p,hsa-mir-330-3p,TBXAS1,hsa-mir-200a-3p/hsa-mir-330-3p/TBXAS1,LGG,1
hsa-mir-200a-3p,hsa-mir-330-3p,XPC,hsa-mir-200a-3p/hsa-mir-330-3p/XPC,LGG,1
hsa-mir-200a-3p,hsa-mir-33a-3p,ZNF608,hsa-mir-200a-3p/hsa-mir-33a-3p/ZNF608,BLCA,1
hsa-mir-200a-3p,hsa-mir-34a-5p,XPC,hsa-mir-200a-3p/hsa-mir-34a-5p/XPC,LGG,1
hsa-mir-200a-3p,hsa-mir-3662,ARFGEF2,hsa-mir-200a-3p/hsa-mir-3662/ARFGEF2,HNSC,1
hsa-mir-200a-3p,hsa-mir-376a-5p,PTK2,hsa-mir-200a-3p/hsa-mir-376a-5p/PTK2,LGG,1
hsa-mir-200a-3p,hsa-mir-429,ATOSA,hsa-mir-200a-3p/hsa-mir-429/ATOSA,STAD,1
hsa-mir-200a-3p,hsa-mir-429,NR5A2,hsa-mir-200a-3p/hsa-mir-429/NR5A2,BLCA,1
hsa-mir-200a-3p,hsa-mir-484,PHACTR2,hsa-mir-200a-3p/hsa-mir-484/PHACTR2,STAD,1
hsa-mir-200a-3p,hsa-mir-484,PLCB1,hsa-mir-200a-3p/hsa-mir-484/PLCB1,STAD,1
hsa-mir-200a-3p,hsa-mir-518a-5p,TNFAIP3,hsa-mir-200a-3p/hsa-mir-518a-5p/TNFAIP3,TGCT,1
