Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.0745,0.061,0.001,151449,hsa-mir-501-5p,hsa-mir-362-5p,True,0.01343213728549142
0.0335,0.0155,0.0075,26240,hsa-mir-301b-3p,hsa-mir-301a-3p,False,0.05280049059689288
0.1315,0.1385,0.0,7436,hsa-let-7g-3p,hsa-mir-33a-5p,True,0.0
0.0575,0.058,0.006,85463,hsa-mir-181d-5p,hsa-mir-33a-3p,True,0.04563604240282686
0.1535,0.661,0.005,5352,hsa-mir-942-5p,hsa-mir-129-5p,True,0.040460526315789475
0.018,0.034,0.002,9510,hsa-mir-424-5p,hsa-mir-940,True,0.022034548944337814
0.551,0.4805,0.0015,9510,hsa-mir-181d-5p,hsa-mir-642a-5p,True,0.017949965253648368
0.0305,0.532,0.0025,11096,hsa-mir-224-5p,hsa-mir-424-5p,True,0.025625
0.0155,0.071,0.004,445815,hsa-mir-424-5p,hsa-let-7g-3p,True,0.035071283095723015
0.0175,0.437,0.008,445815,hsa-mir-16-1-3p,hsa-mir-642a-5p,False,0.05503795445465441
0.784,0.1035,0.0015,114991,hsa-mir-210-3p,hsa-mir-19a-3p,True,0.017949965253648368
0.0735,0.09,0.0055,7832,hsa-mir-1266-5p,hsa-mir-125a-3p,True,0.04293291024478694
0.0365,0.043,0.0,91010,hsa-mir-196b-5p,hsa-let-7g-3p,True,0.0
0.5965,0.323,0.003,11080,hsa-mir-545-5p,hsa-mir-105-5p,True,0.029104225352112677
0.04,0.018,0.0035,5783,hsa-mir-18b-5p,hsa-mir-30b-5p,True,0.03217832354511479
0.018,0.5945,0.005,5783,hsa-mir-30b-5p,hsa-mir-9-3p,True,0.040460526315789475
0.0385,0.021,0.0095,2200,hsa-mir-224-5p,hsa-mir-196b-5p,False,0.06124672407338075
0.032,0.0195,0.0,2200,hsa-mir-224-5p,hsa-mir-424-5p,True,0.0
0.0735,0.0295,0.0,2200,hsa-mir-136-5p,hsa-mir-424-5p,True,0.0
0.029,0.0185,0.0025,7275,hsa-mir-31-5p,hsa-let-7f-2-3p,True,0.025625
0.0335,0.3835,0.0085,80723,hsa-mir-376b-3p,hsa-mir-455-3p,False,0.057242862729761444
0.0205,0.5885,0.0085,5028,hsa-mir-153-3p,hsa-mir-196a-5p,False,0.057242862729761444
0.0185,0.64,0.006,596,hsa-mir-30b-5p,hsa-mir-494-3p,True,0.04563604240282686
0.1115,0.768,0.0015,7764,hsa-mir-150-3p,hsa-mir-663a,True,0.017949965253648368
0.164,0.1325,0.001,23612,hsa-mir-424-5p,hsa-mir-625-5p,True,0.01343213728549142
0.1,0.114,0.0045,80034,hsa-mir-301a-3p,hsa-mir-301b-3p,True,0.037892420537897306
0.0205,0.305,0.0,23466,hsa-mir-135b-5p,hsa-mir-589-3p,True,0.0
0.018,0.036,0.0065,23466,hsa-mir-135b-5p,hsa-mir-18a-3p,True,0.04801801801801801
0.741,0.101,0.009,23466,hsa-mir-31-5p,hsa-mir-1288-3p,False,0.059220481467329
0.04,0.092,0.007,9021,hsa-mir-203a-3p,hsa-mir-19a-3p,False,0.050477386934673366
0.158,0.6105,0.0005,7490,hsa-mir-215-5p,hsa-mir-877-3p,True,0.00790633608815427
0.0325,0.0225,0.0075,23768,hsa-mir-31-5p,hsa-mir-877-3p,False,0.05280049059689288
0.016,0.185,0.0055,7026,hsa-mir-937-3p,hsa-mir-548f-3p,True,0.04293291024478694
0.8325,0.3775,0.0065,677,hsa-mir-30b-5p,hsa-mir-548f-3p,True,0.04801801801801801
0.0135,0.09,0.005,339983,hsa-mir-424-5p,hsa-let-7g-3p,True,0.040460526315789475
0.831,0.115,0.0005,388228,hsa-mir-23b-5p,hsa-mir-663a,True,0.00790633608815427
0.0115,0.0105,0.0015,57473,hsa-mir-1226-3p,hsa-mir-629-3p,True,0.017949965253648368
0.2,0.0485,0.008,100113407,hsa-mir-7-5p,hsa-mir-33a-5p,False,0.05503795445465441
0.4815,0.051,0.0085,23467,hsa-mir-552-3p,hsa-mir-125a-3p,False,0.057242862729761444
0.0165,0.0295,0.007,10628,hsa-mir-16-1-3p,hsa-mir-301b-3p,False,0.050477386934673366
