Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.37,0.053,0.001,10762,hsa-mir-452-3p,hsa-mir-195-5p,True,0.005372472824659981
0.3625,0.085,0.0025,10762,hsa-mir-452-3p,hsa-mir-497-5p,True,0.011365535015997156
0.768,0.381,0.0075,9044,hsa-mir-144-3p,hsa-mir-141-3p,True,0.027062744683102317
0.202,0.0435,0.0065,25805,hsa-mir-616-5p,hsa-mir-20b-5p,True,0.024225938069216753
0.032,0.0395,0.003,25805,hsa-mir-15b-5p,hsa-mir-20b-5p,True,0.013181189607043162
0.069,0.012,0.002,2289,hsa-mir-539-5p,hsa-mir-512-5p,True,0.009510388101324657
0.413,0.033,0.0075,1399,hsa-mir-92a-1-5p,hsa-mir-92b-3p,True,0.027062744683102317
0.8865,0.347,0.005,27443,hsa-mir-30a-5p,hsa-mir-363-5p,True,0.01973610092981982
0.115,0.063,0.001,2033,hsa-mir-7-5p,hsa-mir-760,True,0.005372472824659981
0.344,0.0485,0.0005,145508,hsa-mir-520h,hsa-mir-125b-5p,True,0.0029751075956729093
0.289,0.078,0.001,23568,hsa-mir-30a-3p,hsa-mir-215-5p,True,0.005372472824659981
0.58,0.022,0.0,9057,hsa-mir-182-5p,hsa-let-7b-5p,True,0.0
0.0285,0.141,0.0045,55353,hsa-mir-212-3p,hsa-mir-3065-3p,True,0.018167633479341777
0.018,0.0225,0.0065,9639,hsa-mir-20b-5p,hsa-mir-9-5p,True,0.024225938069216753
0.0235,0.026,0.0045,9639,hsa-mir-106a-5p,hsa-mir-9-5p,True,0.018167633479341777
0.546,0.0565,0.003,6223,hsa-mir-34b-5p,hsa-mir-508-5p,True,0.013181189607043162
0.2755,0.0125,0.001,51477,hsa-mir-15b-5p,hsa-mir-181a-3p,True,0.005372472824659981
0.1635,0.012,0.004,1021,hsa-mir-195-5p,hsa-mir-383-5p,True,0.016563403084146194
0.0205,0.7545,0.0,1021,hsa-let-7b-5p,hsa-mir-512-5p,True,0.0
0.024,0.016,0.001,1021,hsa-let-7b-5p,hsa-mir-383-5p,True,0.005372472824659981
0.233,0.089,0.0005,1021,hsa-mir-214-5p,hsa-mir-195-3p,True,0.0029751075956729093
0.2215,0.0795,0.004,1021,hsa-mir-214-5p,hsa-mir-497-5p,True,0.016563403084146194
