Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.069,0.325,0.0,6310,hsa-mir-148a-5p,hsa-mir-148a-3p,True,0.0
0.667,0.307,0.0,6310,hsa-mir-625-5p,hsa-mir-148a-3p,True,0.0
0.0135,0.1975,0.0075,6310,hsa-mir-17-5p,hsa-mir-296-5p,False,0.3414807692307692
0.3695,0.1745,0.007,79026,hsa-mir-96-5p,hsa-mir-182-5p,False,0.3368536585365854
0.528,0.397,0.0,79026,hsa-mir-432-5p,hsa-mir-9-5p,True,0.0
0.048,0.2435,0.008,79026,hsa-mir-939-5p,hsa-mir-182-5p,False,0.3418916967509026
0.4795,0.175,0.002,192669,hsa-mir-150-5p,hsa-mir-143-5p,False,0.2518723404255319
0.0415,0.6185,0.0025,821,hsa-mir-181c-3p,hsa-mir-708-5p,False,0.26424107142857145
0.2455,0.069,0.0,23499,hsa-mir-766-3p,hsa-mir-181a-2-3p,True,0.0
0.0435,0.0195,0.0065,23022,hsa-mir-106a-5p,hsa-mir-363-3p,False,0.3368536585365854
0.089,0.105,0.0015,55556,hsa-mir-425-3p,hsa-mir-129-5p,False,0.2247721518987342
0.251,0.2595,0.008,157680,hsa-mir-339-5p,hsa-mir-335-5p,False,0.3418916967509026
0.715,0.5955,0.004,79572,hsa-mir-505-5p,hsa-mir-150-5p,False,0.30160509554140125
0.7505,0.085,0.0035,79572,hsa-mir-505-5p,hsa-mir-181a-2-3p,False,0.2917816901408451
0.0975,0.1735,0.005,79572,hsa-mir-181a-2-3p,hsa-mir-664a-3p,False,0.32344262295081966
0.033,0.2505,0.007,4853,hsa-mir-654-3p,hsa-mir-1271-5p,False,0.3368536585365854
0.0395,0.434,0.006,4853,hsa-mir-125b-2-3p,hsa-let-7c-5p,False,0.3350377358490566
0.18,0.0325,0.0095,4613,hsa-mir-331-5p,hsa-mir-19a-3p,False,0.3492577639751553
0.2425,0.233,0.009,10643,hsa-mir-181d-5p,hsa-mir-9-5p,False,0.3436838709677419
0.183,0.08,0.009,3658,hsa-mir-182-5p,hsa-mir-664a-3p,False,0.3436838709677419
0.1655,0.437,0.0085,3658,hsa-mir-182-5p,hsa-mir-30b-5p,False,0.3436838709677419
0.112,0.2815,0.0095,3658,hsa-mir-664a-3p,hsa-mir-320b,False,0.3492577639751553
0.0145,0.459,0.0025,3658,hsa-mir-33a-3p,hsa-mir-181d-5p,False,0.26424107142857145
0.6975,0.144,0.001,132864,hsa-mir-30b-5p,hsa-mir-183-5p,False,0.1879047619047619
0.0705,0.2145,0.0,81796,hsa-mir-17-5p,hsa-mir-30b-5p,True,0.0
0.443,0.575,0.006,1847,hsa-mir-624-5p,hsa-mir-16-1-3p,False,0.3350377358490566
0.5865,0.5635,0.009,22872,hsa-mir-183-5p,hsa-mir-30b-5p,False,0.3436838709677419
0.02,0.0345,0.003,9908,hsa-mir-181a-2-3p,hsa-mir-181c-3p,False,0.27745312499999997
0.2615,0.471,0.003,79807,hsa-mir-129-5p,hsa-mir-181d-5p,False,0.27745312499999997
0.5015,0.225,0.001,6541,hsa-mir-505-5p,hsa-mir-181d-5p,False,0.1879047619047619
0.1415,0.082,0.006,7009,hsa-mir-146b-5p,hsa-mir-7-5p,False,0.3350377358490566
0.028,0.7525,0.008,283373,hsa-mir-339-5p,hsa-mir-31-5p,False,0.3418916967509026
0.019,0.3335,0.0045,9990,hsa-mir-30b-3p,hsa-mir-30d-5p,False,0.3189880239520958
0.0185,0.5895,0.006,3480,hsa-mir-19a-3p,hsa-mir-106a-5p,False,0.3350377358490566
0.1735,0.272,0.0045,8826,hsa-mir-204-5p,hsa-mir-9-5p,False,0.3189880239520958
0.032,0.142,0.0075,84874,hsa-mir-296-3p,hsa-mir-17-5p,False,0.3414807692307692
0.623,0.145,0.005,10146,hsa-mir-9-5p,hsa-mir-181d-5p,False,0.32344262295081966
0.6405,0.0115,0.0055,23082,hsa-mir-196a-5p,hsa-mir-342-5p,False,0.3288333333333333
0.0615,0.023,0.0005,23082,hsa-mir-505-5p,hsa-mir-342-5p,False,0.13452272727272727
0.0295,0.127,0.0015,85463,hsa-mir-654-3p,hsa-mir-1271-5p,False,0.2247721518987342
0.162,0.4785,0.0005,57700,hsa-mir-320b,hsa-mir-133a-3p,False,0.13452272727272727
0.1735,0.133,0.009,26278,hsa-mir-183-5p,hsa-mir-30b-5p,False,0.3436838709677419
0.1275,0.3765,0.0045,26278,hsa-mir-30b-5p,hsa-mir-182-5p,False,0.3189880239520958
0.458,0.1235,0.0015,133746,hsa-mir-18a-5p,hsa-mir-17-5p,False,0.2247721518987342
0.341,0.1095,0.0065,133746,hsa-mir-18b-5p,hsa-mir-17-5p,False,0.3368536585365854
0.1065,0.2575,0.009,54149,hsa-mir-30b-5p,hsa-mir-624-5p,False,0.3436838709677419
