"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-let-7b-5p","hsa-mir-31-5p",367,"AR",3178,"HNRNPA1",1,0,0,0.045,0.03,0.147,0,0
"hsa-mir-205-5p","hsa-mir-452-5p",4089,"SMAD4",3491,"CCN1",1,0,0,0.4905,0.2865,0.144,5e-04,0.00368827124899088
"hsa-mir-130a-3p","hsa-mir-497-3p",3091,"HIF1A",3553,"IL1B",1,0,0.001,0.384,0.063,0.455,0.005,0.022760657604441
"hsa-mir-15a-5p","hsa-mir-18a-5p",6774,"STAT3",3559,"IL2RA",1,0,0,0,0.012,0.575,0.001,0.00653841042678252
"hsa-mir-15a-5p","hsa-mir-93-5p",6774,"STAT3",3559,"IL2RA",1,0,0,0,0.0205,0.1375,0.0045,0.0210332127589609
"hsa-mir-18b-5p","hsa-mir-301b-3p",6774,"STAT3",3559,"IL2RA",1,0,0,0,0.0175,0.8055,0.0035,0.0174080093312597
"hsa-mir-15a-5p","hsa-mir-18b-5p",6774,"STAT3",3559,"IL2RA",1,0,0,0,0.0195,0.023,0.008,0.0323407913032486
"hsa-mir-15a-5p","hsa-mir-7-1-3p",6774,"STAT3",3559,"IL2RA",1,0,0,5e-04,0.0265,0.029,0.0025,0.0134317513649727
"hsa-mir-93-5p","hsa-mir-940",6774,"STAT3",3559,"IL2RA",1,0,0,0,0.1555,0.4145,0.0065,0.0277631385642738
"hsa-mir-15a-5p","hsa-mir-25-3p",5966,"REL",3559,"IL2RA",1,0.0045,0.0035,0.554,0.0185,0.0885,0.0095,0.03673421394674
"hsa-mir-15a-5p","hsa-mir-625-5p",5966,"REL",3559,"IL2RA",1,0.0065,0.0055,0.492,0.0115,0.0585,0.003,0.0154572257129048
"hsa-mir-512-3p","hsa-mir-519d-3p",6689,"SPIB",3603,"IL16",1,0,0,0.125,0.0215,0.012,0.0035,0.0174080093312597
"hsa-mir-520d-3p","hsa-mir-527",10009,"ZBTB33",3658,"IREB2",1,0,0,0.0605,0.662,0.6535,0.0075,0.0308290222036567
"hsa-mir-125b-5p","hsa-mir-221-3p",2113,"ETS1",3676,"ITGA4",1,5e-04,0,0,0.31,0.014,0.0065,0.0277631385642738
"hsa-mir-101-5p","hsa-mir-519a-3p",10765,"KDM5B",3720,"JARID2",1,0,5e-04,0.0095,0.0135,0.0935,5e-04,0.00368827124899088
"hsa-mir-101-5p","hsa-mir-519c-3p",10765,"KDM5B",3720,"JARID2",1,5e-04,0.0025,0.006,0.0205,0.13,0,0
"hsa-mir-181a-5p","hsa-mir-548d-3p",1050,"CEBPA",3778,"KCNMA1",1,0,0,0.0255,0.0175,0.058,0.0015,0.00903247975899077
"hsa-mir-766-3p","hsa-mir-92b-3p",3725,"JUN",3868,"KRT16",1,0,0,0.2895,0.306,0.0665,0,0
"hsa-let-7b-5p","hsa-mir-125b-5p",7157,"TP53",4068,"SH2D1A",1,0,0,0,0.1285,0.021,0,0
"hsa-mir-3065-5p","hsa-mir-7-5p",6667,"SP1",4144,"MAT2A",1,0,0,0.6475,0.016,0.076,0.007,0.0293211525867714
"hsa-mir-299-3p","hsa-mir-299-5p",3091,"HIF1A",4170,"MCL1",1,0,0.004,0.0405,0.075,0.506,0.006,0.0261531961292081
"hsa-let-7b-5p","hsa-mir-519d-3p",1875,"E2F5",4172,"MCM3",1,0.0035,0.006,0.0315,0.019,0.518,0,0
"hsa-mir-149-5p","hsa-mir-519d-3p",1871,"E2F3",4175,"MCM6",1,0,0.0055,0.114,0.0575,0.0575,0.008,0.0323407913032486
"hsa-mir-31-3p","hsa-mir-519d-3p",1871,"E2F3",4175,"MCM6",1,0,0.005,0.6985,0.0145,0.073,0.0015,0.00903247975899077
