miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-130a-3p,hsa-mir-92a-3p,3659,23586,1,0.001,0.0,0.003,0.033,0.0525,0.004,True,0.019795465508924266
hsa-mir-1307-3p,hsa-mir-301a-3p,3659,3105,1,0.007,0.0045,0.0115,0.08,0.0175,0.007,True,0.03005911754567391
hsa-mir-130a-3p,hsa-mir-20a-5p,3659,3660,1,0.001,0.0025,0.133,0.0855,0.0405,0.001,True,0.006677502105827398
hsa-mir-130a-3p,hsa-mir-301a-3p,3659,3660,1,0.0,0.0045,0.0655,0.105,0.0175,0.0,True,0.0
hsa-mir-1307-3p,hsa-mir-301a-3p,3659,5698,1,0.007,0.0045,0.0115,0.0145,0.059,0.001,True,0.006677502105827398
hsa-mir-1307-3p,hsa-mir-301a-3p,3659,958,1,0.007,0.0045,0.0115,0.019,0.4085,0.0055,True,0.02511300921562467
hsa-mir-182-5p,hsa-mir-2110,3660,2585,1,0.0,0.0005,0.005,0.044,0.5995,0.0025,True,0.013825707128361238
hsa-mir-136-5p,hsa-mir-182-5p,3660,4277,1,0.0095,0.0,0.0035,0.045,0.03,0.002,True,0.011619894729828769
hsa-mir-182-5p,hsa-mir-2110,3660,51667,1,0.0,0.0005,0.005,0.0475,0.0525,0.0035,True,0.01787491581012621
hsa-mir-182-5p,hsa-mir-2110,3660,9111,1,0.0,0.0005,0.005,0.019,0.5285,0.007,True,0.03005911754567391
hsa-mir-181b-5p,hsa-mir-34a-5p,367,10957,1,0.0,0.0,0.0,0.015,0.4315,0.0,True,0.0
hsa-mir-223-5p,hsa-mir-330-5p,367,10957,1,0.0,0.0,0.1615,0.133,0.025,0.001,True,0.006677502105827398
hsa-mir-223-5p,hsa-mir-625-5p,367,10957,1,0.0,0.0,0.0075,0.1535,0.101,0.0055,True,0.02511300921562467
