"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-130a-3p","hsa-mir-152-3p",7003,"TEAD1",196527,"ANO6",1,0.001,5e-04,0.099,0.2805,0.646,0.0095,0.0376706038834068
"hsa-mir-148a-3p","hsa-mir-152-3p",7003,"TEAD1",196527,"ANO6",1,0,0,0.3765,0.0225,0.6665,0.003,0.0158793590093781
"hsa-mir-148a-3p","hsa-mir-185-5p",7003,"TEAD1",196527,"ANO6",1,0,0,0.3155,0.049,0.0195,0.0015,0.00926164766692629
"hsa-mir-148a-3p","hsa-mir-214-3p",7003,"TEAD1",196527,"ANO6",1,0,0.0065,0.006,0.0155,0.2385,0.005,0.0234167136604098
"hsa-mir-148a-3p","hsa-mir-450b-5p",7003,"TEAD1",196527,"ANO6",1,0,0,0.5025,0.0185,0.06,5e-04,0.00375108616165526
"hsa-let-7a-3p","hsa-mir-148a-3p",7003,"TEAD1",196527,"ANO6",1,0.004,0,0.0125,0.064,0.0255,0.0045,0.0216649689440994
"hsa-mir-218-5p","hsa-mir-22-5p",27086,"FOXP1",201134,"CEP112",-1,0.001,0.002,0,0.2935,0.718,0.001,0.00667750210582739
"hsa-mir-19b-1-5p","hsa-mir-450b-5p",10499,"NCOA2",204851,"HIPK1",1,0.001,0,0.4035,0.6505,0.013,0,0
"hsa-mir-148a-3p","hsa-mir-199a-5p",3091,"HIF1A",353322,"ANKRD37",1,0.002,0.0055,0.0105,0.3945,0.235,0.001,0.00667750210582739
"hsa-mir-181a-5p","hsa-mir-500a-5p",7182,"NR2C2",375743,"PTAR1",1,0,0.001,0.0035,0.08,0.5595,0.005,0.0234167136604098
"hsa-mir-338-3p","hsa-mir-424-5p",7182,"NR2C2",387640,"SKIDA1",1,0,0,0.0225,0.0115,0.1855,0.0085,0.0347139729299363
