miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-149-5p,hsa-mir-629-3p,4772,6925,1,0.0,0.0,0.0355,0.444,0.085,0.0005,True,0.004387988798879888
hsa-mir-505-5p,hsa-mir-532-3p,4779,23731,1,0.0,0.001,0.0055,0.028,0.216,0.0055,True,0.029634686233574847
hsa-mir-20a-5p,hsa-mir-503-5p,4779,406,1,0.0025,0.0045,0.611,0.017,0.707,0.0,True,0.0
hsa-mir-766-3p,hsa-mir-92a-1-5p,4779,406,1,0.002,0.004,0.2495,0.039,0.045,0.0015,True,0.010942430792252059
hsa-mir-224-3p,hsa-mir-532-3p,4779,57142,1,0.0,0.0045,0.258,0.84,0.017,0.0025,True,0.01627550263372654
hsa-mir-20a-5p,hsa-mir-494-3p,4780,2729,1,0.0,0.0,0.077,0.3645,0.755,0.0,True,0.0
hsa-mir-196a-5p,hsa-mir-550a-3p,4782,3291,1,0.0,0.0,0.0105,0.1035,0.2115,0.0085,True,0.04074752799781481
hsa-mir-221-5p,hsa-mir-223-5p,4782,3291,1,0.0,0.001,0.017,0.0185,0.0135,0.0005,True,0.004387988798879888
hsa-mir-19b-3p,hsa-mir-20a-5p,4782,3725,1,0.0,0.0,0.0,0.0215,0.382,0.004,True,0.02337377638676167
hsa-mir-1271-5p,hsa-mir-210-3p,4782,7020,1,0.001,0.0,0.013,0.072,0.213,0.0095,True,0.044175427905251446
hsa-mir-17-5p,hsa-mir-18a-5p,4782,80781,1,0.0,0.0,0.0,0.0135,0.164,0.001,True,0.007861583945529476
hsa-mir-19a-3p,hsa-mir-221-5p,4782,80781,1,0.0,0.0,0.012,0.0465,0.4685,0.0,True,0.0
hsa-mir-221-5p,hsa-mir-223-5p,4782,80781,1,0.0,0.001,0.017,0.3425,0.0805,0.0,True,0.0
hsa-mir-223-5p,hsa-mir-511-5p,4782,80781,1,0.0005,0.0,0.0125,0.1225,0.0875,0.005,True,0.027596389710044657
hsa-mir-148a-3p,hsa-mir-9-3p,4790,5744,1,0.0,0.0,0.771,0.12,0.848,0.003,True,0.018756893480584257
hsa-mir-331-3p,hsa-mir-532-3p,5089,5287,1,0.0,0.0005,0.0045,0.1825,0.077,0.0,True,0.0
hsa-mir-532-3p,hsa-mir-766-3p,5089,5287,1,0.001,0.0,0.0035,0.057,0.5465,0.0045,True,0.025532102676839516
hsa-mir-331-3p,hsa-mir-766-3p,5089,6764,1,0.0,0.0,0.0885,0.052,0.4185,0.003,True,0.018756893480584257
hsa-mir-17-5p,hsa-mir-20a-5p,5090,7982,1,0.0,0.0,0.04,0.2505,0.045,0.0,True,0.0
hsa-mir-150-5p,hsa-mir-410-3p,51341,10642,-1,0.0005,0.0005,0.0555,0.3915,0.115,0.0015,True,0.010942430792252059
hsa-mir-148a-3p,hsa-mir-23a-5p,51341,4851,-1,0.0,0.0,0.0055,0.305,0.043,0.001,True,0.007861583945529476
hsa-mir-326,hsa-mir-511-5p,51341,491,-1,0.0,0.0,0.022,0.662,0.0175,0.0005,True,0.004387988798879888
hsa-mir-326,hsa-mir-766-3p,51341,5727,-1,0.0,0.0,0.0,0.3245,0.0465,0.0035,True,0.021134633911368016
hsa-mir-301a-3p,hsa-mir-324-5p,5468,10062,1,0.0,0.0,0.0,0.0175,0.4795,0.0015,True,0.010942430792252059
