"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-20a-5p","hsa-mir-93-5p",6774,"STAT3",2120,"ETV6",1,0,0,0,0.0115,0.031,0,0
"hsa-mir-196a-5p","hsa-mir-93-5p",6774,"STAT3",2120,"ETV6",1,0.0065,0,0.012,0.012,0.0185,0,0
"hsa-mir-106a-5p","hsa-mir-93-5p",6774,"STAT3",2120,"ETV6",1,0,0,0.005,0.103,0.014,0.0085,0.0213281919111816
"hsa-mir-143-3p","hsa-mir-96-5p",4286,"MITF",2315,"MLANA",1,0,0,0,0.139,0.0175,0,0
"hsa-mir-7-5p","hsa-mir-769-3p",2034,"EPAS1",2321,"FLT1",1,5e-04,5e-04,0.447,0.015,0.0665,0.008,0.0202732704352144
"hsa-mir-33a-5p","hsa-mir-424-5p",6667,"SP1",2332,"FMR1",1,0,0.0015,0.1255,0.0205,0.035,0.0045,0.0125888120667704
"hsa-mir-144-3p","hsa-mir-760",5090,"PBX3",2534,"FYN",1,0,0.007,5e-04,0.015,0.0545,0.007,0.0181534817389024
"hsa-mir-200c-3p","hsa-mir-429",2113,"ETS1",2551,"GABPA",1,0,0,0,0.0145,0.0275,5e-04,0.00189985829570563
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",2551,"GABPA",1,0,0,0,0.3545,0.0225,0,0
"hsa-mir-200b-3p","hsa-mir-200c-3p",2113,"ETS1",2551,"GABPA",1,0,0,0,0.4175,0.021,0,0
"hsa-mir-185-3p","hsa-mir-939-5p",4782,"NFIC",2670,"GFAP",1,0,0,0.0375,0.0545,0.1035,0.0035,0.0101818123310593
"hsa-mir-185-3p","hsa-mir-196a-5p",4782,"NFIC",2670,"GFAP",1,0,0,0,0.0545,0.0425,0.001,0.00350499590136694
"hsa-mir-335-3p","hsa-mir-624-5p",4782,"NFIC",2670,"GFAP",1,0,0,0.003,0.02,0.023,0.0075,0.0192214077433987
"hsa-mir-196a-5p","hsa-mir-2277-5p",4782,"NFIC",2670,"GFAP",1,0,0.0065,0.0755,0.054,0.16,0.0035,0.0101818123310593
"hsa-mir-196a-5p","hsa-mir-335-3p",4782,"NFIC",2670,"GFAP",1,0,0,5e-04,0.044,0.0425,5e-04,0.00189985829570563
"hsa-mir-106a-5p","hsa-mir-3928-3p",4782,"NFIC",2670,"GFAP",1,0,0,0.007,0.0115,0.0685,0.0095,0.023381989172034
"hsa-mir-3928-3p","hsa-mir-424-5p",4782,"NFIC",2670,"GFAP",1,0,0,0.006,0.0865,0.056,0.0085,0.0213281919111816
"hsa-mir-335-3p","hsa-mir-424-5p",4782,"NFIC",2670,"GFAP",1,0,0,0.002,0.037,0.0715,0.001,0.00350499590136694
"hsa-mir-335-3p","hsa-mir-92b-5p",4782,"NFIC",2670,"GFAP",1,0,0,0.1675,0.019,0.1345,0.002,0.00636012784176566
"hsa-mir-3928-3p","hsa-mir-92b-5p",4782,"NFIC",2670,"GFAP",1,0,0.001,0.001,0.067,0.1135,0.0045,0.0125888120667704
"hsa-mir-342-5p","hsa-mir-92b-5p",4782,"NFIC",2670,"GFAP",1,0.009,0.0015,0.2455,0.177,0.1395,0.0075,0.0192214077433987
"hsa-mir-339-5p","hsa-mir-92a-1-5p",604,"BCL6",2762,"GMDS",-1,0.0065,0,0,0.3085,0.23,0.001,0.00350499590136694
"hsa-mir-455-5p","hsa-mir-625-3p",6664,"SOX11",2891,"GRIA2",1,0,0.0065,0.332,0.198,0.024,0.0025,0.00768582394092499
"hsa-mir-362-3p","hsa-mir-505-3p",7003,"TEAD1",2909,"ARHGAP35",1,0,0,0,0.0595,0.3825,0.002,0.00636012784176566
"hsa-mir-362-5p","hsa-mir-505-3p",7003,"TEAD1",2909,"ARHGAP35",1,0,0,0,0.229,0.417,5e-04,0.00189985829570563
"hsa-mir-17-5p","hsa-mir-196b-5p",6774,"STAT3",3162,"HMOX1",1,0,0,0.0015,0.071,0.095,0.0055,0.0148742286192926
