miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-18a-3p,hsa-mir-363-3p,3516,23462,1,0.0015,0.0045,0.1195,0.286,0.072,0.0005,True,0.0036882712489908894
hsa-mir-18a-5p,hsa-mir-363-3p,3516,23462,1,0.0005,0.004,0.014,0.0125,0.051,0.0,True,0.0
hsa-mir-125a-5p,hsa-mir-195-5p,3662,1075,1,0.0,0.0,0.2845,0.0635,0.025,0.007,True,0.029321152586771447
hsa-let-7b-5p,hsa-mir-30a-3p,3662,51735,1,0.0,0.0005,0.32,0.0105,0.013,0.0035,True,0.01740800933125972
hsa-mir-125b-5p,hsa-mir-195-5p,3662,57823,1,0.0,0.0,0.008,0.0245,0.381,0.001,True,0.00653841042678252
hsa-let-7b-5p,hsa-mir-30a-3p,3662,84541,1,0.0,0.0005,0.32,0.0105,0.1655,0.001,True,0.00653841042678252
hsa-mir-125a-5p,hsa-mir-30a-3p,3662,84541,1,0.0,0.001,0.603,0.0525,0.2125,0.005,True,0.022760657604440966
hsa-mir-125b-5p,hsa-mir-497-3p,3662,84541,1,0.0,0.0,0.0265,0.044,0.067,0.002,True,0.011305200830718926
hsa-mir-195-5p,hsa-mir-497-3p,3662,84541,1,0.0,0.0,0.2135,0.0175,0.115,0.003,True,0.015457225712904785
hsa-mir-30a-3p,hsa-mir-497-3p,3662,84541,1,0.003,0.0,0.114,0.2235,0.107,0.005,True,0.022760657604440966
hsa-mir-30a-5p,hsa-mir-497-3p,3662,84541,1,0.0005,0.0005,0.1635,0.074,0.119,0.0035,True,0.01740800933125972
hsa-let-7b-5p,hsa-mir-30a-3p,3662,89857,1,0.0,0.0005,0.32,0.026,0.0145,0.001,True,0.00653841042678252
hsa-let-7b-5p,hsa-mir-30a-5p,3662,89857,1,0.0,0.0005,0.291,0.022,0.0135,0.001,True,0.00653841042678252
hsa-let-7b-5p,hsa-mir-497-3p,3662,89857,1,0.0,0.0,0.647,0.019,0.0225,0.0095,True,0.036734213946740014
hsa-mir-30a-5p,hsa-mir-497-3p,3662,89857,1,0.0005,0.0005,0.1635,0.013,0.016,0.0025,True,0.0134317513649727
hsa-mir-195-3p,hsa-mir-31-5p,367,27316,1,0.0055,0.0,0.2235,0.0595,0.022,0.0,True,0.0
hsa-mir-195-3p,hsa-mir-31-5p,367,2745,1,0.0055,0.0,0.2235,0.0165,0.2435,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-31-5p,367,3178,1,0.0,0.0,0.045,0.03,0.147,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-195-3p,367,51170,1,0.0,0.004,0.0,0.104,0.207,0.0015,True,0.009032479758990774
hsa-let-7b-5p,hsa-mir-30a-5p,367,51170,1,0.0,0.003,0.02,0.0885,0.194,0.0015,True,0.009032479758990774
hsa-let-7b-5p,hsa-mir-30c-2-3p,367,51170,1,0.0,0.001,0.0385,0.0955,0.326,0.0025,True,0.0134317513649727
hsa-let-7b-5p,hsa-mir-31-5p,367,51170,1,0.0,0.0,0.045,0.0985,0.2595,0.0,True,0.0
hsa-mir-195-3p,hsa-mir-30a-5p,367,51170,1,0.003,0.001,0.056,0.2125,0.1845,0.006,True,0.026153196129208123
hsa-mir-195-3p,hsa-mir-31-5p,367,51170,1,0.0055,0.0,0.2235,0.1765,0.241,0.0005,True,0.0036882712489908894
hsa-mir-30a-5p,hsa-mir-31-5p,367,51170,1,0.0045,0.0,0.035,0.177,0.2475,0.0005,True,0.0036882712489908894
hsa-let-7b-5p,hsa-mir-195-3p,367,5300,1,0.0,0.004,0.0,0.012,0.143,0.0055,True,0.024463908205841444
hsa-mir-195-3p,hsa-mir-31-5p,367,5528,1,0.0055,0.0,0.2235,0.0475,0.271,0.0,True,0.0
hsa-mir-30a-5p,hsa-mir-31-5p,367,5528,1,0.0045,0.0,0.035,0.0125,0.2795,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-30c-2-3p,367,57502,1,0.0,0.001,0.0385,0.217,0.0595,0.005,True,0.022760657604440966
hsa-mir-195-3p,hsa-mir-31-5p,367,57502,1,0.0055,0.0,0.2235,0.1265,0.0305,0.001,True,0.00653841042678252
hsa-mir-30a-5p,hsa-mir-30c-2-3p,367,6652,1,0.0025,0.001,0.0395,0.074,0.011,0.008,True,0.03234079130324864
hsa-let-7b-5p,hsa-mir-195-3p,367,6659,1,0.0,0.004,0.0,0.1155,0.0865,0.004,True,0.01926131145072649
hsa-let-7b-5p,hsa-mir-31-5p,367,6659,1,0.0,0.0,0.045,0.122,0.3355,0.0,True,0.0
hsa-mir-195-3p,hsa-mir-31-5p,367,6659,1,0.0055,0.0,0.2235,0.0925,0.2985,0.0,True,0.0
hsa-mir-195-3p,hsa-mir-31-5p,367,6813,1,0.0055,0.0,0.2235,0.102,0.057,0.001,True,0.00653841042678252
hsa-mir-195-3p,hsa-mir-31-5p,367,7507,1,0.0055,0.0,0.2235,0.2255,0.0275,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-30a-5p,367,8402,1,0.0,0.003,0.02,0.1045,0.0475,0.002,True,0.011305200830718926
hsa-mir-30a-5p,hsa-mir-31-5p,367,8402,1,0.0045,0.0,0.035,0.0625,0.5475,0.0,True,0.0
hsa-mir-30a-5p,hsa-mir-381-3p,367,8402,1,0.0015,0.008,0.274,0.054,0.08,0.003,True,0.015457225712904785
hsa-mir-30c-2-3p,hsa-mir-31-5p,367,84240,1,0.001,0.0,0.103,0.08,0.0135,0.0055,True,0.024463908205841444
