source;target
mir-30a-3p/mir-331-3p;ADAMTS5
mir-210-3p/mir-133a-3p;ADAMTS5
mir-335-5p/mir-301a-3p;SHANK2
mir-19a-3p/mir-130b-5p;FLRT2
mir-17-5p/mir-130b-5p;FLRT2
mir-130b-3p/mir-17-5p;RNF125
mir-301a-3p/mir-301b-3p;TENM2
mir-370-3p/mir-141-3p;RNF213
mir-338-3p/mir-30a-5p;TRIB3
mir-135b-5p/mir-20a-3p;NAV1
mir-17-5p/mir-20a-5p;EGLN3
mir-17-5p/mir-106a-5p;EGLN3
mir-20b-5p/mir-20a-5p;EGLN3
mir-296-5p/mir-503-5p;SIK1
mir-331-3p/mir-651-5p;SYNE3
mir-34c-5p/mir-34b-5p;NAT8L
mir-130b-3p/mir-19b-3p;NCKAP5
mir-130b-3p/mir-301b-3p;CLEC12B
mir-940/mir-30b-3p;SLFN12L
