source;target
mir-218-5p;mir-218-5p/mir-1-3p
mir-218-5p;mir-218-5p/mir-130a-3p
mir-218-5p;mir-218-5p/mir-301b-3p
mir-30c-2-3p;mir-30c-2-3p/mir-106a-5p
mir-20a-5p;mir-20a-5p/mir-33a-5p
mir-141-3p;mir-141-3p/mir-200c-3p
mir-20a-5p;mir-20a-5p/mir-214-3p
mir-4326;mir-4326/mir-1271-5p
mir-130a-3p;mir-130a-3p/mir-301b-3p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-130b-3p;mir-130b-3p/mir-20a-5p
mir-20a-5p;mir-20a-5p/mir-760
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-17-5p;mir-17-5p/mir-760
mir-182-5p;mir-182-5p/mir-141-5p
mir-362-5p;mir-362-5p/mir-500a-3p
mir-362-5p;mir-362-5p/mir-500b-5p
mir-500b-5p;mir-500b-5p/mir-500a-3p
mir-362-3p;mir-362-3p/mir-500b-5p
mir-362-5p;mir-362-5p/mir-133a-3p
mir-500b-5p;mir-500b-5p/mir-133a-3p
mir-133a-3p;mir-133a-3p/mir-500a-3p
mir-362-3p;mir-362-3p/mir-362-5p
mir-188-3p;mir-188-3p/mir-500b-5p
mir-188-3p;mir-188-3p/mir-362-5p
mir-362-3p;mir-362-3p/mir-500a-3p
mir-362-3p;mir-362-3p/mir-133a-3p
mir-362-3p;mir-362-3p/mir-188-3p
mir-188-3p;mir-188-3p/mir-500a-3p
mir-130b-3p;mir-130b-3p/mir-20a-5p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-130a-3p;mir-130a-3p/mir-17-5p
mir-130a-3p;mir-130a-3p/mir-20a-5p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-504-5p;mir-504-5p/mir-199a-3p
mir-199b-3p;mir-199b-3p/mir-320c
mir-320c;mir-320c/mir-199a-3p
mir-382-5p;mir-382-5p/mir-493-3p
mir-508-5p;mir-508-5p/mir-542-3p
mir-592;mir-592/mir-141-5p
mir-17-5p;mir-17-5p/mir-30a-3p
mir-20a-5p;mir-20a-5p/mir-130b-5p
mir-362-3p;mir-362-3p/mir-377-3p
mir-329-3p;mir-329-3p/mir-362-3p
mir-329-3p;mir-329-3p/mir-188-3p
mir-144-5p;mir-144-5p/mir-30a-3p
mir-200a-3p;mir-200a-3p/mir-330-5p
mir-20b-5p;mir-20b-5p/mir-21-5p
let-7b-5p;let-7b-5p/mir-550a-5p
mir-206;mir-206/mir-1-3p
mir-1-3p;mir-1-3p/mir-362-3p
mir-7-1-3p;mir-7-1-3p/mir-7-5p
mir-19b-1-5p;mir-19b-1-5p/mir-92b-3p
mir-429;mir-429/mir-29b-1-5p
mir-221-3p;mir-221-3p/mir-30a-5p
mir-106a-5p;mir-106a-5p/mir-200a-3p
mir-362-3p;mir-362-3p/mir-660-5p
mir-7-5p;mir-7-5p/mir-330-5p
mir-491-5p;mir-491-5p/mir-744-5p
mir-18b-5p;mir-18b-5p/mir-1226-3p
mir-129-5p;mir-129-5p/mir-20a-5p
mir-335-5p;mir-335-5p/mir-17-5p
mir-330-3p;mir-330-3p/mir-141-3p
mir-200c-3p;mir-200c-3p/mir-141-5p
mir-141-3p;mir-141-3p/mir-200c-3p
mir-141-3p;mir-141-3p/mir-141-5p
mir-149-5p;mir-149-5p/mir-106a-5p
mir-20a-5p;mir-20a-5p/mir-7-5p
mir-98-5p;mir-98-5p/let-7d-5p
mir-411-5p;mir-411-5p/mir-17-5p
mir-218-5p;mir-218-5p/mir-30a-3p
mir-21-5p;mir-21-5p/let-7b-5p
mir-421;mir-421/mir-138-5p
mir-550a-5p;mir-550a-5p/mir-130b-3p
mir-502-5p;mir-502-5p/mir-182-5p
mir-758-3p;mir-758-3p/mir-130a-3p
mir-130b-5p;mir-130b-5p/mir-301b-3p
mir-329-3p;mir-329-3p/mir-362-3p
mir-744-5p;mir-744-5p/mir-23a-5p
mir-543;mir-543/mir-182-5p
mir-182-5p;mir-182-5p/mir-450b-5p
mir-20a-5p;mir-20a-5p/mir-7-5p
mir-628-3p;mir-628-3p/mir-338-5p
mir-34c-3p;mir-34c-3p/mir-23a-5p
mir-34b-3p;mir-34b-3p/mir-23a-5p
mir-30a-5p;mir-30a-5p/mir-9-5p
mir-320d;mir-320d/mir-130a-3p
mir-532-5p;mir-532-5p/mir-182-5p
mir-196a-5p;mir-196a-5p/mir-214-5p
mir-92b-3p;mir-92b-3p/mir-18a-5p
mir-1-3p;mir-1-3p/mir-424-5p
mir-130a-3p;mir-130a-3p/mir-301b-3p
mir-376b-3p;mir-376b-3p/mir-218-5p
mir-655-3p;mir-655-3p/mir-493-5p
mir-410-3p;mir-410-3p/mir-411-5p
mir-493-5p;mir-493-5p/mir-411-5p
mir-369-3p;mir-369-3p/mir-411-5p
mir-369-3p;mir-369-3p/mir-655-3p
mir-369-3p;mir-369-3p/mir-410-3p
mir-655-3p;mir-655-3p/mir-410-3p
mir-655-3p;mir-655-3p/mir-411-5p
mir-379-3p;mir-379-3p/mir-410-3p
mir-410-3p;mir-410-3p/mir-493-5p
let-7d-5p;let-7d-5p/mir-511-5p
mir-98-5p;mir-98-5p/mir-511-5p
mir-320b;mir-320b/mir-98-5p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-376a-3p;mir-376a-3p/mir-329-3p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-192-5p;mir-192-5p/mir-3662
mir-338-5p;mir-338-5p/mir-19b-1-5p
mir-3613-3p;mir-3613-3p/mir-21-3p
mir-424-3p;mir-424-3p/mir-483-5p
mir-320d;mir-320d/mir-29a-5p
mir-200b-3p;mir-200b-3p/mir-30c-2-3p
mir-31-5p;mir-31-5p/mir-30a-3p
mir-3662;mir-3662/mir-218-5p
mir-20b-5p;mir-20b-5p/mir-877-3p
mir-320b;mir-320b/mir-98-5p
mir-200a-3p;mir-200a-3p/mir-29a-5p
mir-421;mir-421/mir-223-5p
mir-940;mir-940/mir-130b-3p
mir-130b-3p;mir-130b-3p/mir-424-5p
mir-338-5p;mir-338-5p/mir-130b-3p
mir-130a-3p;mir-130a-3p/mir-708-5p
mir-130b-3p;mir-130b-3p/mir-301b-3p
mir-194-5p;mir-194-5p/mir-130b-3p
mir-130a-3p;mir-130a-3p/mir-17-5p
mir-425-5p;mir-425-5p/let-7b-5p
mir-17-5p;mir-17-5p/mir-129-5p
mir-196b-5p;mir-196b-5p/mir-195-5p
mir-500b-5p;mir-500b-5p/mir-501-5p
mir-362-5p;mir-362-5p/mir-500b-5p
mir-627-5p;mir-627-5p/mir-21-5p
mir-149-5p;mir-149-5p/mir-296-5p
mir-219a-1-3p;mir-219a-1-3p/mir-3662
mir-149-3p;mir-149-3p/mir-30c-2-3p
mir-192-5p;mir-192-5p/mir-142-5p
mir-651-5p;mir-651-5p/mir-33a-5p
mir-224-5p;mir-224-5p/mir-212-3p
mir-196b-5p;mir-196b-5p/let-7b-5p
mir-615-3p;mir-615-3p/mir-501-5p
mir-424-5p;mir-424-5p/mir-431-5p
mir-424-5p;mir-424-5p/mir-654-5p
mir-503-5p;mir-503-5p/mir-18a-5p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-19b-1-5p;mir-19b-1-5p/mir-130b-3p
mir-424-5p;mir-424-5p/mir-503-5p
mir-556-3p;mir-556-3p/mir-584-5p
mir-130a-3p;mir-130a-3p/mir-17-5p
mir-130b-5p;mir-130b-5p/mir-218-5p
mir-218-5p;mir-218-5p/mir-421
mir-218-5p;mir-218-5p/mir-424-5p
mir-218-5p;mir-218-5p/mir-129-5p
mir-130a-3p;mir-130a-3p/mir-203a-3p
mir-766-3p;mir-766-3p/mir-149-3p
mir-199b-5p;mir-199b-5p/mir-20b-3p
mir-141-3p;mir-141-3p/mir-3065-5p
mir-3065-5p;mir-3065-5p/mir-200a-3p
mir-320c;mir-320c/mir-141-5p
mir-320c;mir-320c/mir-200a-5p
mir-425-5p;mir-425-5p/mir-32-3p
mir-32-3p;mir-32-3p/mir-1262
mir-615-3p;mir-615-3p/mir-618
mir-627-5p;mir-627-5p/mir-769-3p
mir-548o-3p;mir-548o-3p/mir-20b-5p
mir-362-3p;mir-362-3p/mir-18a-5p
mir-18a-5p;mir-18a-5p/mir-130b-5p
mir-130a-5p;mir-130a-5p/mir-18a-5p
mir-130a-3p;mir-130a-3p/mir-20a-5p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-20a-5p;mir-20a-5p/mir-17-5p
mir-192-5p;mir-192-5p/mir-877-3p
let-7b-3p;let-7b-3p/mir-429
mir-410-3p;mir-410-3p/mir-570-3p
mir-134-5p;mir-134-5p/mir-758-3p
mir-1266-5p;mir-1266-5p/mir-326
mir-185-3p;mir-185-3p/mir-33b-5p
mir-642a-5p;mir-642a-5p/mir-330-5p
mir-154-5p;mir-154-5p/mir-410-3p
mir-204-5p;mir-204-5p/mir-17-5p
mir-17-5p;mir-17-5p/mir-320b
mir-200b-3p;mir-200b-3p/mir-708-5p
mir-200a-5p;mir-200a-5p/mir-708-5p
mir-17-5p;mir-17-5p/mir-106a-5p
mir-20a-5p;mir-20a-5p/mir-17-5p
mir-497-5p;mir-497-5p/mir-210-3p
mir-3200-3p;mir-3200-3p/mir-421
mir-130a-3p;mir-130a-3p/mir-301b-3p
mir-17-5p;mir-17-5p/mir-130b-3p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-130b-3p;mir-130b-3p/mir-130a-3p
mir-766-3p;mir-766-3p/mir-130b-3p
mir-130b-3p;mir-130b-3p/mir-20a-5p
mir-218-5p;mir-218-5p/mir-130b-3p
mir-30b-3p;mir-30b-3p/mir-326
mir-424-5p;mir-424-5p/mir-502-5p
mir-141-3p;mir-141-3p/mir-200a-3p
mir-501-5p;mir-501-5p/mir-378a-3p
mir-362-3p;mir-362-3p/mir-378a-3p
mir-20a-5p;mir-20a-5p/mir-106a-5p
mir-17-5p;mir-17-5p/mir-106a-5p
mir-18a-5p;mir-18a-5p/mir-33a-5p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-135b-5p;mir-135b-5p/mir-744-5p
mir-135b-5p;mir-135b-5p/mir-141-3p
mir-193a-3p;mir-193a-3p/mir-491-3p
mir-92b-3p;mir-92b-3p/mir-203a-3p
mir-362-3p;mir-362-3p/mir-34b-3p
mir-362-3p;mir-362-3p/mir-378a-3p
mir-362-3p;mir-362-3p/mir-20b-5p
mir-149-5p;mir-149-5p/mir-205-5p
mir-149-3p;mir-149-3p/mir-130b-3p
mir-149-3p;mir-149-3p/mir-301b-3p
mir-218-5p;mir-218-5p/mir-424-5p
mir-330-5p;mir-330-5p/mir-940
mir-584-5p;mir-584-5p/mir-542-3p
mir-135a-5p;mir-135a-5p/mir-205-5p
mir-182-5p;mir-182-5p/mir-320d
mir-20b-3p;mir-20b-3p/mir-424-5p
mir-551a;mir-551a/mir-18a-5p
mir-551a;mir-551a/mir-218-5p
mir-376b-3p;mir-376b-3p/mir-376a-3p
mir-379-3p;mir-379-3p/mir-411-3p
mir-34c-5p;mir-34c-5p/mir-18a-5p
mir-221-3p;mir-221-3p/mir-30a-5p
mir-205-5p;mir-205-5p/mir-31-5p
mir-362-3p;mir-362-3p/mir-377-3p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-362-3p;mir-362-3p/mir-199b-3p
mir-362-3p;mir-362-3p/mir-199a-3p
mir-362-3p;mir-362-3p/mir-138-5p
mir-424-5p;mir-424-5p/mir-382-5p
mir-130a-3p;mir-130a-3p/mir-17-5p
mir-676-3p;mir-676-3p/mir-138-5p
mir-34c-5p;mir-34c-5p/mir-138-5p
mir-676-3p;mir-676-3p/mir-548o-3p
mir-627-5p;mir-627-5p/mir-769-3p
mir-141-3p;mir-141-3p/mir-200a-3p
mir-577;mir-577/mir-146b-3p
mir-17-5p;mir-17-5p/mir-125b-1-3p
mir-92b-3p;mir-92b-3p/mir-203a-3p
mir-130b-3p;mir-130b-3p/mir-301b-3p
mir-130b-3p;mir-130b-3p/mir-130a-3p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-130a-3p;mir-130a-3p/mir-301b-3p
mir-130b-3p;mir-130b-3p/mir-20a-5p
mir-301b-3p;mir-301b-3p/mir-20a-5p
mir-30b-3p;mir-30b-3p/mir-224-5p
mir-149-3p;mir-149-3p/mir-543
mir-543;mir-543/mir-362-3p
mir-654-5p;mir-654-5p/mir-136-3p
mir-654-5p;mir-654-5p/mir-541-3p
mir-656-3p;mir-656-3p/mir-1-3p
mir-381-3p;mir-381-3p/mir-1-3p
mir-379-5p;mir-379-5p/mir-1-3p
mir-92b-3p;mir-92b-3p/mir-3613-3p
mir-141-3p;mir-141-3p/mir-30a-5p
mir-92b-3p;mir-92b-3p/mir-629-3p
mir-223-5p;mir-223-5p/mir-3613-3p
mir-758-3p;mir-758-3p/mir-493-5p
mir-381-3p;mir-381-3p/mir-377-5p
mir-381-3p;mir-381-3p/mir-379-5p
mir-195-5p;mir-195-5p/mir-3662
mir-130a-3p;mir-130a-3p/mir-17-5p
mir-20a-5p;mir-20a-5p/mir-17-5p
mir-17-5p;mir-17-5p/mir-19b-1-5p
mir-20a-5p;mir-20a-5p/mir-19b-1-5p
mir-3614-5p;mir-3614-5p/mir-330-5p
mir-7-5p;mir-7-5p/mir-10a-3p
mir-3677-3p;mir-3677-3p/mir-3136-5p
let-7b-5p;let-7b-5p/mir-3613-3p
mir-30a-3p;mir-30a-3p/mir-106a-5p
mir-30a-5p;mir-30a-5p/mir-106a-5p
mir-20a-5p;mir-20a-5p/mir-17-5p
mir-20b-5p;mir-20b-5p/mir-20a-5p
mir-218-5p;mir-218-5p/mir-542-5p
mir-30a-3p;mir-30a-3p/mir-106a-5p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-1271-5p;mir-1271-5p/mir-320d
mir-501-5p;mir-501-5p/mir-199a-3p
mir-320d;mir-320d/mir-767-5p
mir-17-5p;mir-17-5p/mir-760
mir-502-3p;mir-502-3p/mir-501-3p
mir-106a-5p;mir-106a-5p/let-7b-5p
mir-18a-3p;mir-18a-3p/mir-301b-3p
mir-548f-3p;mir-548f-3p/mir-301b-3p
mir-17-5p;mir-17-5p/mir-301b-3p
mir-18a-3p;mir-18a-3p/mir-130a-3p
mir-130a-3p;mir-130a-3p/mir-17-5p
mir-548f-3p;mir-548f-3p/mir-299-5p
mir-130a-3p;mir-130a-3p/mir-301b-3p
mir-495-3p;mir-495-3p/mir-548f-3p
mir-502-3p;mir-502-3p/mir-378a-5p
mir-20a-5p;mir-20a-5p/mir-200a-3p
mir-106a-5p;mir-106a-5p/let-7b-5p
mir-411-5p;mir-411-5p/mir-377-5p
mir-3613-3p;mir-3613-3p/mir-330-5p
mir-200a-3p;mir-141-3p/mir-200a-3p
mir-7-5p;mir-92b-3p/mir-7-5p
mir-424-5p;mir-335-3p/mir-424-5p
mir-182-5p;mir-532-3p/mir-182-5p
mir-199b-5p;let-7c-5p/mir-199b-5p
mir-98-5p;mir-502-5p/mir-98-5p
mir-133a-3p;mir-424-5p/mir-133a-3p
