source;target
mir-135a-5p/let-7g-3p;IRS2
mir-130b-3p/mir-92a-1-5p;GPRC5A
mir-130b-3p/mir-301a-3p;GPRC5A
mir-301b-3p/mir-130b-3p;GPRC5A
mir-18a-5p/mir-23b-5p;PAPSS2
mir-504-5p/mir-548s;GRAP2
mir-548s/mir-192-3p;ARHGAP29
mir-192-5p/mir-592;AKAP12
mir-338-5p/mir-34a-5p;SPRY1
mir-20a-5p/mir-149-5p;VAV3
mir-130a-5p/mir-1226-3p;VAV3
mir-130a-5p/mir-149-5p;VAV3
mir-125b-5p/mir-106a-5p;SEMA4B
mir-125b-5p/mir-20b-5p;SEMA4B
mir-135b-5p/mir-935;TXNIP
mir-188-3p/mir-577;IGF2BP1
mir-136-5p/mir-582-3p;IGF2BP1
mir-136-5p/mir-627-5p;IGF2BP1
mir-133a-3p/mir-221-5p;NOXA1
mir-548e-3p/mir-183-3p;ADAMTS5
mir-210-3p/mir-7-1-3p;ADAMTS5
mir-210-3p/mir-130b-5p;ADAMTS5
mir-182-5p/mir-142-3p;RASSF8
mir-18a-3p/mir-628-5p;RAB11FIP2
mir-183-5p/mir-182-5p;NLGN1
mir-146a-5p/mir-301b-3p;MAPRE3
mir-34a-5p/mir-185-3p;SLC7A8
mir-301a-3p/mir-96-5p;CBX6
mir-125b-5p/mir-556-5p;CEMIP2
mir-181c-5p/mir-181b-5p;FOXB1
mir-181c-5p/mir-181a-5p;FOXB1
mir-182-5p/mir-3613-3p;CTNNA3
mir-3934-5p/mir-181c-5p;DDIT4
mir-20a-5p/mir-17-3p;BNC2
mir-92b-3p/mir-17-3p;SOBP
mir-92b-3p/mir-20a-5p;SOBP
mir-204-5p/mir-589-3p;RALGPS2
mir-181a-5p/mir-221-5p;ARFGEF3
mir-181b-5p/mir-221-5p;ARFGEF3
mir-7-1-3p/mir-1270;BACH2
mir-130b-3p/mir-142-5p;SMOC1
mir-19a-3p/mir-130b-3p;SMOC1
mir-19a-3p/mir-3136-5p;SMOC1
mir-145-5p/mir-181d-5p;CDCP1
mir-9-5p/mir-497-5p;ZFHX4
mir-195-5p/mir-497-5p;POF1B
mir-22-5p/mir-146b-3p;GPR63
mir-758-3p/mir-146a-5p;SLC38A1
mir-29b-3p/mir-125b-5p;SLC38A1
mir-34b-3p/mir-92b-3p;ZNRF3
mir-92b-3p/mir-3614-5p;ZNRF3
mir-20b-3p/let-7c-5p;TMEM101
mir-192-5p/mir-616-5p;FAXC
mir-215-5p/mir-942-5p;FAXC
mir-215-5p/mir-192-5p;FAXC
mir-335-5p/mir-1266-5p;TSLP
mir-183-5p/mir-182-5p;FAM110B
mir-20a-5p/mir-150-5p;MYLK3
let-7g-3p/mir-491-3p;RAB3C
mir-183-5p/mir-7-1-3p;FRMD6
mir-3613-5p/mir-7-1-3p;FRMD6
mir-3613-5p/mir-130b-5p;FRMD6
mir-96-5p/mir-143-3p;TRIM71
mir-96-5p/mir-452-3p;TRIM71
mir-3127-5p/mir-29b-1-5p;ZBTB46
mir-215-5p/mir-192-5p;PRICKLE1
mir-215-5p/mir-581;PRICKLE1
mir-20a-5p/mir-17-3p;C2CD4A
mir-19a-3p/mir-17-3p;CCDC80
mir-539-5p/mir-491-3p;PARP15
mir-625-5p/mir-3934-5p;SDK1
mir-34a-5p/mir-628-5p;EBF3
mir-409-3p/mir-204-5p;HCAR2
mir-224-3p/mir-96-5p;ZNF850
mir-143-3p/mir-3682-3p;FAM71F2
mir-145-5p/mir-143-5p;ZNF772
mir-642a-5p/mir-192-3p;PPP1R3G
