source;target
mir-7-5p;mir-7-5p/mir-33a-5p
mir-494-3p;mir-30b-5p/mir-494-3p
mir-548f-3p;mir-30b-5p/mir-548f-3p
mir-455-3p;mir-33a-5p/mir-455-3p
mir-424-5p;mir-1228-3p/mir-424-5p
mir-196b-5p;mir-224-5p/mir-196b-5p
mir-424-5p;mir-136-5p/mir-424-5p
mir-424-5p;mir-224-5p/mir-424-5p
mir-20b-5p;mir-32-3p/mir-20b-5p
mir-136-5p;mir-877-5p/mir-136-5p
mir-215-5p;mir-181d-5p/mir-215-5p
mir-1-3p;mir-424-5p/mir-1-3p
mir-135b-3p;mir-767-5p/mir-135b-3p
mir-877-5p;mir-1270/mir-877-5p
mir-424-5p;mir-455-3p/mir-424-5p
mir-485-5p;mir-23b-5p/mir-485-5p
mir-196a-5p;let-7c-5p/mir-196a-5p
mir-196a-5p;mir-153-3p/mir-196a-5p
mir-129-5p;mir-942-5p/mir-129-5p
mir-548e-3p;mir-760/mir-548e-3p
mir-30b-5p;mir-18b-5p/mir-30b-5p
mir-9-3p;mir-30b-5p/mir-9-3p
mir-301b-3p;mir-301a-3p/mir-301b-3p
mir-548f-3p;mir-937-3p/mir-548f-3p
mir-455-3p;mir-550a-3p/mir-455-3p
mir-455-3p;mir-210-3p/mir-455-3p
mir-320c;mir-34a-3p/mir-320c
mir-345-5p;mir-20b-5p/mir-345-5p
