"info","is_mrna_tf","name","selected","shared name","updown"
"dummy",,"","false","mir-193b-5p/mir-940","dummy"
"dummy",,"","false","mir-218-5p/let-7f-2-3p","dummy"
"dummy",,"","false","mir-20b-5p/mir-421","dummy"
"mirna",,"mir-3127-5p","false","mir-3127-5p","Up"
"dummy",,"","false","mir-3127-5p/mir-642a-5p","dummy"
"dummy",,"","false","mir-410-3p/mir-193b-3p","dummy"
"dummy",,"","false","mir-218-5p/mir-9-5p","dummy"
"mirna",,"mir-33a-3p","false","mir-33a-3p","Up"
"dummy",,"","false","mir-33a-3p/mir-9-5p","dummy"
"mirna",,"mir-2355-3p","false","mir-2355-3p","Down"
"dummy",,"","false","mir-2355-3p/mir-155-5p","dummy"
"mirna",,"mir-421","false","mir-421","Down"
"dummy",,"","false","mir-421/mir-486-5p","dummy"
"mirna",,"mir-3615","false","mir-3615","Down"
"dummy",,"","false","mir-3615/mir-3200-3p","dummy"
"mirna",,"mir-181d-5p","false","mir-181d-5p","Down"
"dummy",,"","false","mir-181d-5p/mir-106a-5p","dummy"
"mirna",,"mir-487b-3p","false","mir-487b-3p","Down"
"dummy",,"","false","mir-487b-3p/mir-155-5p","dummy"
"mirna",,"mir-146a-5p","false","mir-146a-5p","Down"
"dummy",,"","false","mir-146a-5p/mir-940","dummy"
"mirna",,"mir-18a-5p","false","mir-18a-5p","Down"
"dummy",,"","false","mir-18a-5p/mir-335-5p","dummy"
"dummy",,"","false","mir-193b-3p/mir-3065-3p","dummy"
"mirna",,"mir-493-3p","false","mir-493-3p","Down"
"dummy",,"","false","mir-493-3p/mir-150-5p","dummy"
"dummy",,"","false","mir-511-5p/mir-584-5p","dummy"
"dummy",,"","false","mir-106a-5p/mir-501-3p","dummy"
"dummy",,"","false","mir-20b-5p/mir-501-3p","dummy"
"dummy",,"","false","mir-20b-5p/mir-142-3p","dummy"
"dummy",,"","false","mir-18a-5p/mir-455-5p","dummy"
"dummy",,"","false","mir-141-5p/mir-33a-3p","dummy"
"dummy",,"","false","mir-34a-5p/mir-193b-3p","dummy"
"mirna",,"mir-369-3p","false","mir-369-3p","Down"
"dummy",,"","false","mir-369-3p/mir-214-5p","dummy"
"mirna",,"mir-21-3p","false","mir-21-3p","Down"
"dummy",,"","false","mir-21-3p/mir-335-5p","dummy"
"dummy",,"","false","mir-21-3p/mir-676-5p","dummy"
"dummy",,"","false","mir-421/mir-204-5p","dummy"
"mirna",,"mir-651-5p","false","mir-651-5p","Up"
"dummy",,"","false","mir-651-5p/mir-18a-5p","dummy"
"mirna",,"mir-215-5p","false","mir-215-5p","Down"
"mirna",,"mir-9-5p","false","mir-9-5p","Down"
"mirna",,"mir-376c-3p","false","mir-376c-3p","Down"
"mirna",,"mir-214-5p","false","mir-214-5p","Down"
"mirna",,"mir-892a","false","mir-892a","Up"
"mirna",,"mir-362-3p","false","mir-362-3p","Down"
"mirna",,"mir-149-5p","false","mir-149-5p","Down"
"mirna",,"mir-940","false","mir-940","Down"
"mirna",,"mir-676-3p","false","mir-676-3p","Up"
"mirna",,"mir-20b-3p","false","mir-20b-3p","Down"
"mirna",,"mir-296-5p","false","mir-296-5p","Down"
"mirna",,"mir-501-3p","false","mir-501-3p","Down"
"mirna",,"mir-31-5p","false","mir-31-5p","Down"
"mirna",,"mir-142-5p","false","mir-142-5p","Up"
"mirna",,"mir-409-3p","false","mir-409-3p","Down"
"mirna",,"mir-34c-3p","false","mir-34c-3p","Up"
"mirna",,"mir-3200-3p","false","mir-3200-3p","Up"
"mirna",,"let-7f-2-3p","false","let-7f-2-3p","Down"
"mirna",,"mir-1296-5p","false","mir-1296-5p","Up"
"mirna",,"mir-411-5p","false","mir-411-5p","Down"
"mirna",,"mir-509-3p","false","mir-509-3p","Down"
"mirna",,"mir-642a-5p","false","mir-642a-5p","Up"
