source;target
mir-20b-5p;mir-20b-5p/mir-221-5p
mir-625-5p;mir-625-5p/mir-589-3p
mir-125b-5p;mir-125b-5p/mir-142-3p
mir-940;mir-940/mir-3928-3p
mir-125b-2-3p;mir-125b-2-3p/mir-155-5p
mir-1287-5p;mir-1287-5p/mir-744-5p
mir-625-5p;mir-625-5p/mir-22-5p
mir-345-5p;mir-345-5p/mir-625-5p
mir-615-3p;mir-615-3p/mir-765
mir-20b-5p;mir-20b-5p/mir-1-3p
mir-223-3p;mir-223-3p/mir-335-3p
mir-93-5p;mir-93-5p/mir-17-5p
mir-33a-3p;mir-33a-3p/mir-320d
mir-497-5p;mir-497-5p/mir-615-3p
mir-129-5p;mir-129-5p/mir-30b-3p
mir-27a-3p;mir-27a-3p/mir-30c-5p
mir-142-5p;mir-142-5p/mir-3934-5p
mir-324-5p;mir-324-5p/mir-125b-5p
mir-181c-5p;mir-181c-5p/mir-29b-3p
mir-20a-3p;mir-20a-3p/mir-513c-5p
mir-450a-5p;mir-450a-5p/mir-193b-3p
mir-17-5p;mir-17-5p/mir-526b-5p
mir-155-5p;mir-155-5p/mir-22-5p
mir-450b-5p;mir-450b-5p/mir-155-5p
mir-454-3p;mir-454-3p/mir-17-5p
mir-138-5p;mir-138-5p/mir-20a-3p
mir-130a-5p;mir-130a-5p/mir-362-5p
mir-513b-5p;mir-513b-5p/mir-374a-5p
mir-199a-5p;mir-199a-5p/mir-130a-3p
mir-625-5p;mir-625-5p/mir-1229-3p
mir-1287-5p;mir-1287-5p/let-7a-2-3p
mir-181a-3p;mir-181a-3p/mir-29a-3p
mir-29a-3p;mir-29a-3p/mir-342-3p
mir-195-5p;mir-195-5p/mir-374a-3p
mir-34a-5p;mir-34a-5p/mir-19a-3p
mir-625-5p;mir-625-5p/mir-582-5p
mir-182-5p;mir-182-5p/mir-338-3p
mir-494-3p;mir-494-3p/mir-20b-5p
mir-93-5p;mir-93-5p/mir-17-5p
mir-149-5p;mir-149-5p/let-7c-5p
mir-365a-3p;mir-365a-3p/mir-4326
mir-199a-3p;mir-199a-3p/mir-455-3p
mir-424-3p;mir-424-3p/mir-744-3p
mir-188-5p;mir-188-5p/mir-18a-3p
mir-590-3p;mir-590-3p/mir-182-5p
mir-16-2-3p;mir-16-2-3p/mir-154-5p
mir-222-5p;mir-222-5p/mir-146a-5p
mir-940;mir-940/mir-652-3p
mir-20b-5p;mir-20b-5p/mir-20a-5p
mir-17-5p;mir-17-5p/mir-20b-5p
mir-3150b-3p;mir-3150b-3p/mir-590-3p
mir-454-3p;mir-454-3p/mir-18a-5p
mir-155-5p;mir-155-5p/mir-27a-3p
mir-125b-5p;mir-125b-5p/mir-17-5p
mir-627-5p;mir-627-5p/mir-34a-5p
mir-30a-3p;mir-30a-3p/mir-29b-1-5p
mir-141-5p;mir-141-5p/mir-29b-1-5p
mir-34a-5p;mir-34a-5p/mir-424-5p
mir-199a-5p;mir-199a-5p/mir-500a-5p
mir-513a-3p;mir-513a-3p/mir-130b-5p
mir-30a-5p;mir-30a-5p/mir-30a-3p
mir-196b-5p;mir-196b-5p/mir-138-5p
mir-3065-5p;mir-3065-5p/mir-424-5p
mir-409-5p;mir-409-5p/mir-509-5p
mir-455-5p;mir-455-5p/mir-3662
mir-195-5p;mir-195-5p/mir-143-3p
mir-138-1-3p;mir-138-1-3p/mir-296-3p
mir-34a-5p;mir-34a-5p/mir-1292-5p
mir-25-5p;mir-25-5p/mir-455-3p
mir-454-3p;mir-454-3p/mir-20b-5p
mir-195-5p;mir-195-5p/mir-214-3p
mir-628-5p;mir-628-5p/mir-497-5p
mir-93-5p;mir-93-5p/mir-17-5p
mir-30c-5p;mir-30c-5p/mir-9-5p
mir-7-1-3p;mir-7-1-3p/mir-195-5p
mir-17-3p;mir-17-3p/mir-513a-5p
mir-20a-3p;mir-20a-3p/mir-513a-5p
mir-9-5p;mir-9-5p/mir-34a-5p
mir-92a-1-5p;mir-92a-1-5p/mir-615-3p
mir-320d;mir-320d/mir-145-5p
mir-16-2-3p;mir-16-2-3p/mir-7-1-3p
mir-615-3p;mir-615-3p/mir-30a-3p
mir-193b-3p;mir-193b-3p/mir-20a-3p
mir-424-5p;mir-424-5p/mir-17-3p
mir-339-5p;mir-339-5p/mir-940
mir-491-5p;mir-491-5p/mir-92a-1-5p
mir-27a-3p;mir-27a-3p/mir-17-5p
mir-218-5p;mir-218-5p/mir-20a-5p
mir-1-3p;mir-1-3p/mir-106a-5p
mir-130b-5p;mir-130b-5p/mir-139-5p
mir-326;mir-326/mir-377-5p
mir-497-5p;mir-497-5p/mir-485-3p
mir-708-5p;mir-708-5p/mir-497-5p
mir-205-5p;mir-205-5p/mir-192-5p
mir-95-3p;mir-95-3p/mir-182-5p
mir-126-5p;mir-126-5p/mir-29a-3p
mir-130a-5p;mir-130a-5p/mir-155-5p
mir-362-3p;mir-362-3p/mir-338-3p
mir-1229-3p;mir-1229-3p/mir-628-3p
mir-454-3p;mir-454-3p/mir-363-3p
mir-181a-2-3p;mir-181a-2-3p/mir-190a-5p
mir-27b-5p;mir-27b-5p/mir-526b-5p
mir-628-3p;mir-628-3p/mir-3928-3p
mir-100-5p;mir-100-5p/mir-1-3p
mir-296-5p;mir-296-5p/mir-23b-3p
mir-30b-3p;mir-30b-3p/mir-513a-5p
mir-330-5p;mir-330-5p/mir-328-3p
mir-143-5p;mir-143-5p/mir-193b-3p
mir-143-3p;mir-143-3p/let-7c-5p
mir-194-5p;mir-194-5p/mir-29b-3p
mir-30a-3p;mir-30a-3p/mir-330-5p
mir-29a-3p;mir-29a-3p/mir-330-5p
mir-7-5p;mir-7-5p/mir-200c-3p
mir-19b-3p;mir-19b-3p/mir-3934-5p
mir-29a-3p;mir-29a-3p/mir-335-5p
mir-200c-3p;mir-200c-3p/mir-181d-5p
mir-181d-5p;mir-181d-5p/mir-203a-3p
mir-130a-3p;mir-130a-3p/mir-149-5p
mir-218-5p;mir-218-5p/mir-29a-3p
mir-497-5p;mir-497-5p/mir-200c-3p
mir-93-5p;mir-93-5p/mir-17-5p
mir-20a-5p;mir-20a-5p/mir-106a-5p
