miRNA;miRNAinTriplets;miRNATargets
miR-153-3p;10;224
miR-2110;10;459
miR-512-3p;10;302
miR-27b-5p;10;277
miR-152-3p;10;576
miR-3170;10;126
miR-224-3p;10;207
miR-382-5p;10;175
miR-30c-5p;10;1370
miR-376a-3p;10;195
let-7a-3p;10;393
miR-484;10;1178
miR-23b-3p;10;1484
miR-186-5p;10;1528
miR-193a-3p;10;418
miR-548f-3p;10;353
miR-373-3p;10;496
miR-526b-5p;10;280
miR-548e-3p;10;325
miR-654-5p;9;216
miR-629-5p;9;298
miR-105-5p;9;222
miR-135a-5p;9;203
miR-10a-3p;9;323
miR-767-5p;9;214
miR-1262;9;143
miR-570-3p;9;253
miR-1228-3p;9;216
miR-664a-3p;9;420
miR-664a-5p;9;268
miR-483-3p;9;301
miR-100-5p;9;110
miR-370-3p;9;188
miR-616-3p;9;130
miR-145-3p;9;97
miR-92a-3p;9;1373
miR-22-3p;9;1409
miR-486-3p;9;286
miR-520c-3p;9;426
miR-519c-3p;9;369
miR-3609;9;348
miR-548b-3p;9;338
miR-520a-5p;9;219
miR-513a-5p;8;422
miR-545-5p;8;334
miR-506-3p;8;186
miR-146b-3p;8;158
miR-1307-3p;8;260
miR-490-3p;8;318
miR-376b-3p;8;155
miR-23b-5p;8;484
miR-25-5p;8;181
miR-3614-5p;8;218
miR-31-3p;8;131
miR-126-5p;8;561
miR-491-3p;8;85
miR-424-3p;8;125
miR-101-5p;8;181
miR-299-3p;8;110
miR-136-3p;8;89
miR-374a-3p;8;288
miR-154-5p;8;100
miR-520h;8;403
miR-520g-3p;8;363
miR-548o-3p;8;349
miR-548d-3p;8;629
miR-134-5p;7;145
miR-541-3p;7;225
miR-205-3p;7;137
miR-625-3p;7;143
miR-409-5p;7;48
miR-99a-5p;7;116
miR-299-5p;7;109
let-7f-2-3p;7;308
miR-129-2-3p;7;283
miR-454-5p;7;97
miR-26a-5p;7;1452
miR-339-3p;7;94
miR-125a-5p;7;893
miR-128-3p;7;1225
miR-525-5p;7;134
miR-509-3p;6;65
miR-1266-5p;6;93
miR-3913-5p;6;422
miR-590-5p;6;221
miR-3615;6;133
miR-7-2-3p;6;205
miR-10b-3p;6;161
miR-3922-3p;6;83
miR-655-3p;6;105
miR-502-3p;6;296
miR-3605-3p;6;70
miR-1323;6;106
miR-512-5p;6;158
miR-519a-5p;6;58
miR-374a-5p;6;940
miR-379-3p;5;107
miR-1976;5;729
miR-3199;5;228
miR-3130-5p;5;68
miR-148b-5p;5;317
miR-135b-3p;5;101
miR-624-5p;5;117
miR-552-3p;5;251
miR-331-5p;5;176
miR-99a-3p;5;114
miR-323b-3p;5;37
miR-23c;5;323
miR-187-3p;5;44
miR-1269a;5;68
miR-191-3p;5;77
miR-487a-3p;5;113
miR-504-5p;5;175
miR-376a-5p;5;89
let-7f-1-3p;5;290
miR-509-3-5p;5;178
miR-101-3p;5;1021
miR-765;5;440
miR-665;5;742
miR-33b-3p;5;117
miR-132-5p;5;92
miR-2114-5p;5;260
miR-542-5p;5;66
miR-483-5p;5;130
miR-372-3p;5;500
miR-140-5p;5;400
miR-513b-5p;4;253
miR-126-3p;4;95
miR-656-3p;4;117
miR-219a-5p;4;144
miR-133b;4;107
miR-885-5p;4;164
miR-937-3p;4;35
miR-30d-5p;4;1365
miR-3682-3p;4;58
miR-514a-3p;4;85
