"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
10725,"NFAT5","hsa-mir-183-5p","hsa-mir-30b-5p",0.008,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.341891696750903,FALSE,NA,"miR-30-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-30b,hsa-mir-30d"
10794,"ZNF460","hsa-mir-339-5p","hsa-mir-150-5p",0.002,TRUE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.251872340425532,FALSE,"miR-339-5p","miR-150-5p","hsa-mir-339","hsa-mir-150"
10855,"HPSE","hsa-mir-766-3p","hsa-mir-183-5p",0.008,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.341891696750903,FALSE,"miR-766-3p",NA,"hsa-mir-766","hsa-mir-182,hsa-mir-96,hsa-mir-183"
11073,"TOPBP1","hsa-mir-664a-3p","hsa-mir-181c-5p",0.0065,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.336853658536585,FALSE,"miR-664a-3p","miR-181-5p","hsa-mir-664a","hsa-mir-181c,hsa-mir-181d"
11260,"XPOT","hsa-mir-150-5p","hsa-mir-30b-5p",0.0045,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.318988023952096,FALSE,"miR-150-5p","miR-30-5p","hsa-mir-150","hsa-mir-30b,hsa-mir-30d"
11273,"ATXN2L","hsa-mir-138-5p","hsa-mir-342-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.134522727272727,FALSE,"miR-138-5p","miR-342-5p/4664-5p","hsa-mir-138-2","hsa-mir-151b,hsa-mir-342"
11273,"ATXN2L","hsa-mir-342-5p","hsa-mir-505-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.318988023952096,FALSE,"miR-342-5p/4664-5p","miR-505-5p","hsa-mir-151b,hsa-mir-342","hsa-mir-505"
22836,"RHOBTB3","hsa-mir-193b-5p","hsa-mir-342-5p",0.0025,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.264241071428571,FALSE,"miR-193b-5p","miR-342-5p/4664-5p","hsa-mir-193b,hsa-mir-365a","hsa-mir-151b,hsa-mir-342"
22836,"RHOBTB3","hsa-mir-342-3p","hsa-mir-342-5p",0.004,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.301605095541401,FALSE,"miR-342-3p","miR-342-5p/4664-5p","hsa-mir-151b,hsa-mir-342","hsa-mir-151b,hsa-mir-342"
22848,"AAK1","hsa-mir-18a-3p","hsa-mir-106a-5p",0.009,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.343683870967742,FALSE,"miR-18a-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
22872,"SEC31A","hsa-mir-183-5p","hsa-mir-30b-5p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22474449'>PubMedLink</a>","tarbase","tarbase",0.343683870967742,FALSE,NA,"miR-30-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-30b,hsa-mir-30d"
23022,"PALLD","hsa-mir-106a-5p","hsa-mir-363-3p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase",0.336853658536585,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
23082,"PPRC1","hsa-mir-196a-5p","hsa-mir-342-5p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.328833333333333,FALSE,"miR-196-5p","miR-342-5p/4664-5p","hsa-mir-196a-1","hsa-mir-151b,hsa-mir-342"
23082,"PPRC1","hsa-mir-505-5p","hsa-mir-342-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.134522727272727,FALSE,"miR-505-5p","miR-342-5p/4664-5p","hsa-mir-505","hsa-mir-151b,hsa-mir-342"
23089,"PEG10","hsa-mir-30d-5p","hsa-mir-221-5p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0,TRUE,"miR-30-5p","miR-221-5p/8073","hsa-mir-30b,hsa-mir-30d","hsa-mir-221,hsa-mir-222"
