"","mirna","clusterString"
"307","hsa-mir-338-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"308","hsa-mir-338-5p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"309","hsa-mir-339-3p","hsa-mir-339"
"310","hsa-mir-339-5p","hsa-mir-339"
"311","hsa-mir-33a-3p","hsa-mir-33a"
"312","hsa-mir-33a-5p","hsa-mir-33a"
"313","hsa-mir-33b-3p","hsa-mir-33b"
"314","hsa-mir-33b-5p","hsa-mir-33b"
"315","hsa-mir-340-3p","hsa-mir-340"
"316","hsa-mir-340-5p","hsa-mir-340"
"317","hsa-mir-342-3p","hsa-mir-151b,hsa-mir-342"
"318","hsa-mir-342-5p","hsa-mir-151b,hsa-mir-342"
"319","hsa-mir-345-5p","hsa-mir-345"
"320","hsa-mir-34a-3p","hsa-mir-34a"
"321","hsa-mir-34a-5p","hsa-mir-34a"
"322","hsa-mir-34b-3p","hsa-mir-34b,hsa-mir-34c"
"323","hsa-mir-34b-5p","hsa-mir-34b,hsa-mir-34c"
"324","hsa-mir-34c-3p","hsa-mir-34b,hsa-mir-34c"
"325","hsa-mir-34c-5p","hsa-mir-34b,hsa-mir-34c"
"326","hsa-mir-3605-3p","hsa-mir-3605"
"327","hsa-mir-3609","hsa-mir-3609"
"328","hsa-mir-3613-3p","hsa-mir-3613"
"329","hsa-mir-3613-5p","hsa-mir-3613"
"330","hsa-mir-3614-3p","hsa-mir-3614"
"331","hsa-mir-3614-5p","hsa-mir-3614"
"332","hsa-mir-3615","hsa-mir-3615"
"333","hsa-mir-362-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"334","hsa-mir-362-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"335","hsa-mir-363-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"336","hsa-mir-363-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"337","hsa-mir-3648",""
"338","hsa-mir-3652","hsa-mir-3652"
"339","hsa-mir-365a-3p","hsa-mir-193b,hsa-mir-365a"
"340","hsa-mir-365a-5p","hsa-mir-193b,hsa-mir-365a"
"341","hsa-mir-3660","hsa-mir-3660"
"342","hsa-mir-3662","hsa-mir-3662"
"343","hsa-mir-367-3p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
"344","hsa-mir-3677-3p","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
"345","hsa-mir-3680-3p","hsa-mir-3680-1"
"346","hsa-mir-3682-3p","hsa-mir-3682"
"347","hsa-mir-369-3p","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"348","hsa-mir-3690","hsa-mir-3690-1"
"349","hsa-mir-370-3p","hsa-mir-370"
"350","hsa-mir-371a-5p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373"
"351","hsa-mir-372-3p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373"
"352","hsa-mir-373-3p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373"
"353","hsa-mir-373-5p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373"
"354","hsa-mir-374a-3p","hsa-mir-545,hsa-mir-374a"
"355","hsa-mir-374a-5p","hsa-mir-545,hsa-mir-374a"
"356","hsa-mir-374b-3p","hsa-mir-421,hsa-mir-374b,hsa-mir-374c"
"357","hsa-mir-376a-3p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"358","hsa-mir-376a-5p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"359","hsa-mir-376b-3p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"360","hsa-mir-376c-3p","hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"361","hsa-mir-377-3p","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"362","hsa-mir-377-5p","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"363","hsa-mir-378a-3p","hsa-mir-378a"
"364","hsa-mir-378a-5p","hsa-mir-378a"
"365","hsa-mir-378b","hsa-mir-378b"
"366","hsa-mir-378c","hsa-mir-378c"
"367","hsa-mir-379-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
"368","hsa-mir-379-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
"369","hsa-mir-380-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"370","hsa-mir-381-3p","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485"
"371","hsa-mir-382-5p","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377"
"372","hsa-mir-383-5p","hsa-mir-383"
"373","hsa-mir-3909","hsa-mir-3909,hsa-mir-6069"
"374","hsa-mir-3913-5p","hsa-mir-3913-1,hsa-mir-3913-2"
"375","hsa-mir-3922-3p","hsa-mir-3922"
"376","hsa-mir-3926","hsa-mir-5692a-2,hsa-mir-3926-1,hsa-mir-3926-2"
"377","hsa-mir-3928-3p","hsa-mir-3928"
"378","hsa-mir-3934-5p","hsa-mir-3934"
"379","hsa-mir-3940-3p","hsa-mir-3940"
"380","hsa-mir-3943","hsa-mir-3943"
"381","hsa-mir-409-3p","hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"382","hsa-mir-409-5p","hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"383","hsa-mir-410-3p","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"384","hsa-mir-411-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
"385","hsa-mir-411-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
"386","hsa-mir-421","hsa-mir-421,hsa-mir-374b,hsa-mir-374c"
"387","hsa-mir-423-3p","hsa-mir-423,hsa-mir-3184"
"388","hsa-mir-424-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"389","hsa-mir-424-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"390","hsa-mir-425-3p","hsa-mir-425,hsa-mir-191"
"391","hsa-mir-425-5p","hsa-mir-425,hsa-mir-191"
"392","hsa-mir-429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"393","hsa-mir-431-3p","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"394","hsa-mir-431-5p","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"395","hsa-mir-432-5p","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"396","hsa-mir-4326","hsa-mir-4326"
"397","hsa-mir-433-3p","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"398","hsa-mir-449a","hsa-mir-449a,hsa-mir-449b,hsa-mir-449c"
"399","hsa-mir-450a-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"400","hsa-mir-450b-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"401","hsa-mir-451a","hsa-mir-451a,hsa-mir-451b,hsa-mir-144,hsa-mir-4732"
"402","hsa-mir-452-3p","hsa-mir-224,hsa-mir-452"
"403","hsa-mir-452-5p","hsa-mir-224,hsa-mir-452"
"404","hsa-mir-454-3p","hsa-mir-454"
"405","hsa-mir-454-5p","hsa-mir-454"
"406","hsa-mir-455-3p","hsa-mir-455"
"407","hsa-mir-455-5p","hsa-mir-455"
"408","hsa-mir-483-3p","hsa-mir-483"
"409","hsa-mir-483-5p","hsa-mir-483"
"410","hsa-mir-484","hsa-mir-484"
"411","hsa-mir-485-3p","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409"
"412","hsa-mir-485-5p","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409"
"413","hsa-mir-486-3p",""
"414","hsa-mir-486-5p",""
"415","hsa-mir-487a-3p","hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377"
"416","hsa-mir-487b-3p","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b"
"417","hsa-mir-488-3p","hsa-mir-488"
"418","hsa-mir-488-5p","hsa-mir-488"
"419","hsa-mir-490-3p","hsa-mir-490"
"420","hsa-mir-491-3p","hsa-mir-491"
"421","hsa-mir-491-5p","hsa-mir-491"
"422","hsa-mir-493-3p","hsa-mir-493,hsa-mir-337,hsa-mir-665"
"423","hsa-mir-493-5p","hsa-mir-493,hsa-mir-337,hsa-mir-665"
"424","hsa-mir-494-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"425","hsa-mir-495-3p","hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1"
"426","hsa-mir-496","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"427","hsa-mir-497-3p","hsa-mir-195,hsa-mir-497"
"428","hsa-mir-497-5p","hsa-mir-195,hsa-mir-497"
"429","hsa-mir-499a-3p","hsa-mir-499a,hsa-mir-499b"
"430","hsa-mir-499a-5p","hsa-mir-499a,hsa-mir-499b"
"431","hsa-mir-500a-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
