"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
8853,"ASAP2","hsa-mir-373-3p","hsa-mir-487a-3p",0.0025,FALSE,NA,"tarbase","tarbase",0.00830200755565268,TRUE,"miR-302-3p/372-3p/373-3p/520-3p","miR-154-3p/487-3p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373","hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377"
9031,"BAZ1B","hsa-mir-3065-5p","hsa-mir-34c-5p",5e-04,FALSE,NA,"tarbase","tarbase",0.00205864591801184,TRUE,"miR-3065-5p","miR-34-5p/449-5p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250","hsa-mir-34b,hsa-mir-34c"
9052,"GPRC5A","hsa-let-7e-5p","hsa-let-7c-5p",0.002,FALSE,NA,"tarbase","tarbase",0.00687181806434939,TRUE,"let-7-5p/98-5p","let-7-5p/98-5p","hsa-mir-99b,hsa-let-7e,hsa-mir-125a","hsa-mir-99a,hsa-let-7c"
9052,"GPRC5A","hsa-let-7e-5p","hsa-mir-152-3p",5e-04,FALSE,NA,"tarbase","mirtarbase",0.00205864591801184,TRUE,"let-7-5p/98-5p","miR-148-3p/152-3p","hsa-mir-99b,hsa-let-7e,hsa-mir-125a","hsa-mir-152"
9052,"GPRC5A","hsa-let-7e-5p","hsa-mir-582-5p",0.001,FALSE,NA,"tarbase","tarbase",0.0037967444849004,TRUE,"let-7-5p/98-5p","miR-582-5p","hsa-mir-99b,hsa-let-7e,hsa-mir-125a","hsa-mir-582"
9052,"GPRC5A","hsa-mir-34b-3p","hsa-mir-455-5p",0.006,FALSE,NA,"mirtarbase","tarbase",0.0171330541237113,TRUE,"miR-34b-3p","miR-455-5p","hsa-mir-34b,hsa-mir-34c","hsa-mir-455"
9052,"GPRC5A","hsa-mir-424-5p","hsa-mir-500b-5p",0.004,FALSE,NA,"mirtarbase","mirtarbase",0.0122734825755827,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-500a-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
9052,"GPRC5A","hsa-mir-500b-5p","hsa-mir-301a-3p",0.0075,FALSE,NA,"mirtarbase","mirtarbase tarbase",0.0205506607929515,TRUE,"miR-500a-5p","miR-130-3p/301-3p/454-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502","hsa-mir-301a"
9052,"GPRC5A","hsa-mir-500b-5p","hsa-mir-582-5p",0,FALSE,NA,"mirtarbase","tarbase",0,TRUE,"miR-500a-5p","miR-582-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502","hsa-mir-582"
9052,"GPRC5A","hsa-mir-940","hsa-mir-500b-5p",0.002,FALSE,NA,"mirtarbase tarbase","mirtarbase",0.00687181806434939,TRUE,"miR-940/6808-5p/6893-5p","miR-500a-5p","hsa-mir-3677,hsa-mir-940,hsa-mir-4717","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
9424,"KCNK6","hsa-mir-20b-5p","hsa-mir-211-5p",0,FALSE,NA,"mirtarbase","mirtarbase",0,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-204-5p/211-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-211"
