"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
9741,"LAPTM4A","hsa-mir-20a-5p","hsa-mir-130b-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.113626530612245,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-130b-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-301b,hsa-mir-130b"
9746,"CLSTN3","hsa-mir-329-3p","hsa-mir-188-3p",0,FALSE,NA,NA,NA,"mirtarbase","tarbase",0,TRUE,"miR-329-3p/362-3p","miR-188-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660"
9746,"CLSTN3","hsa-mir-329-3p","hsa-mir-362-3p",0.003,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.152539726027397,FALSE,"miR-329-3p/362-3p","miR-329-3p/362-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
9746,"CLSTN3","hsa-mir-377-3p","hsa-mir-362-3p",0,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0,TRUE,"miR-377-3p","miR-329-3p/362-3p","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
9957,"HS3ST1","hsa-mir-144-5p","hsa-mir-30a-3p",0.0075,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.204996318114875,FALSE,"miR-144-5p","miR-30-3p","hsa-mir-451a,hsa-mir-451b,hsa-mir-144,hsa-mir-4732","hsa-mir-30a"
9972,"NUP153","hsa-mir-200a-3p","hsa-mir-330-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase",0.208821378340366,FALSE,"miR-141-3p/200a-3p","miR-326","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-330"
9988,"DMTF1","hsa-mir-20b-5p","hsa-mir-21-5p",0.0095,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.219564757160648,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-21-5p/590-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-21"
10052,"GJC1","hsa-let-7b-5p","hsa-mir-550a-5p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.202356697819315,FALSE,"let-7-5p/98-5p","miR-550a-3-5p/550a-5p/1271-3p","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b","hsa-mir-550a-1,hsa-mir-550b-1"
10103,"TSPAN1","hsa-mir-1-3p","hsa-mir-362-3p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.096160621761658,FALSE,"miR-1-3p/206","miR-329-3p/362-3p","hsa-mir-133a-1,hsa-mir-1-2","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
10114,"HIPK3","hsa-mir-19b-1-5p","hsa-mir-92b-3p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.216923376623377,FALSE,"miR-19-5p","miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-92b"
