"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
1373,"CPS1","hsa-mir-142-3p","hsa-mir-21-5p",0.0095,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase",0.349466555183946,FALSE,NA,"miR-21-5p/590-5p","hsa-mir-142,hsa-mir-4736","hsa-mir-21"
1408,"CRY2","hsa-let-7b-5p","hsa-mir-10b-5p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0,TRUE,"let-7-5p/98-5p","miR-10-5p","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b","hsa-mir-10b"
1408,"CRY2","hsa-mir-20a-5p","hsa-mir-10a-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.349466555183946,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-10-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-10a"
1605,"DAG1","hsa-mir-10a-5p","hsa-mir-190a-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",0.281124600638978,FALSE,"miR-10-5p","miR-190-5p","hsa-mir-10a","hsa-mir-190a"
1783,"DYNC1LI2","hsa-let-7b-5p","hsa-let-7c-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.344351749539595,FALSE,"let-7-5p/98-5p","let-7-5p/98-5p","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b","hsa-mir-99a,hsa-let-7c"
1808,"DPYSL2","hsa-mir-30e-5p","hsa-mir-21-5p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30816227'>PubMedLink</a>","tarbase","tarbase",0.344351749539595,FALSE,"miR-30-5p","miR-21-5p/590-5p","hsa-mir-30e,hsa-mir-30c-1","hsa-mir-21"
1829,"DSG2","hsa-mir-335-3p","hsa-mir-129-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.241206140350877,FALSE,"miR-335-3p","miR-129-5p","hsa-mir-335","hsa-mir-129-1"
1857,"DVL3","hsa-mir-10a-5p","hsa-mir-497-5p",0.0035,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.268268292682927,FALSE,"miR-10-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-10a","hsa-mir-195,hsa-mir-497"
1938,"EEF2","hsa-mir-155-5p","hsa-mir-642a-5p",0.002,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.223329949238579,FALSE,"miR-155-5p","miR-642a-5p","hsa-mir-155","hsa-mir-642a,hsa-mir-642b"
1958,"EGR1","hsa-mir-424-5p","hsa-mir-32-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase",0.349466555183946,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-32"
