"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
728116,"ZBTB8B","hsa-mir-130b-5p","hsa-mir-20b-3p",0.003,TRUE,NA,"mirtarbase","mirtarbase",0.838572640477174,0.0907173201252465,0.893694638356654,0.0646295544570078,0.7429861037626,-0.130844860988931,0.0131811896070432,TRUE,"miR-130b-5p","miR-20b-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
728116,"ZBTB8B","hsa-mir-130b-5p","hsa-mir-766-3p",0.0095,TRUE,NA,"mirtarbase","mirtarbase",0.838572640477174,0.0907173201252465,0.342952519313737,-0.385149460533401,0.7429861037626,-0.130844860988931,0.0325614258434118,TRUE,"miR-130b-5p","miR-766-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-766"
728116,"ZBTB8B","hsa-mir-20b-3p","hsa-mir-25-5p",0.004,TRUE,NA,"mirtarbase","mirtarbase",0.893694638356654,0.0646295544570078,0.842165416737629,-0.170527375845677,0.7429861037626,-0.130844860988931,0.0165634030841462,TRUE,"miR-20b-3p","miR-25-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
728116,"ZBTB8B","hsa-mir-363-3p","hsa-mir-130b-5p",0.0025,TRUE,NA,"mirtarbase","mirtarbase",0.976212753691403,0.0119831539503879,0.838572640477174,0.0907173201252465,0.7429861037626,-0.130844860988931,0.0113655350159971,TRUE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-130b-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-301b,hsa-mir-130b"
728116,"ZBTB8B","hsa-mir-363-3p","hsa-mir-20b-3p",0.0095,TRUE,NA,"mirtarbase","mirtarbase",0.976212753691403,0.0119831539503879,0.893694638356654,0.0646295544570078,0.7429861037626,-0.130844860988931,0.0325614258434118,TRUE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-20b-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
728116,"ZBTB8B","hsa-mir-363-3p","hsa-mir-25-3p",0.0095,TRUE,NA,"mirtarbase","mirtarbase",0.976212753691403,0.0119831539503879,0.630015785402983,-0.134467730674506,0.7429861037626,-0.130844860988931,0.0325614258434118,TRUE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
728116,"ZBTB8B","hsa-mir-363-3p","hsa-mir-25-5p",0.005,TRUE,NA,"mirtarbase","mirtarbase",0.976212753691403,0.0119831539503879,0.842165416737629,-0.170527375845677,0.7429861037626,-0.130844860988931,0.0197361009298198,TRUE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-25-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
728116,"ZBTB8B","hsa-mir-363-3p","hsa-mir-766-3p",0.0015,TRUE,NA,"mirtarbase","mirtarbase",0.976212753691403,0.0119831539503879,0.342952519313737,-0.385149460533401,0.7429861037626,-0.130844860988931,0.00753113804779898,TRUE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-766-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-766"
728116,"ZBTB8B","hsa-mir-508-5p","hsa-mir-766-3p",0.0085,TRUE,NA,"mirtarbase","mirtarbase",0.754564835221624,0.315768330442784,0.342952519313737,-0.385149460533401,0.7429861037626,-0.130844860988931,0.0298417350125253,TRUE,"miR-508-5p","miR-766-3p","hsa-mir-506,hsa-mir-507,hsa-mir-508","hsa-mir-766"
728116,"ZBTB8B","hsa-mir-766-3p","hsa-mir-20b-3p",0.0015,TRUE,NA,"mirtarbase","mirtarbase",0.342952519313737,-0.385149460533401,0.893694638356654,0.0646295544570078,0.7429861037626,-0.130844860988931,0.00753113804779898,TRUE,"miR-766-3p","miR-20b-3p","hsa-mir-766","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
728116,"ZBTB8B","hsa-mir-766-3p","hsa-mir-25-3p",0.0065,TRUE,NA,"mirtarbase","mirtarbase",0.342952519313737,-0.385149460533401,0.630015785402983,-0.134467730674506,0.7429861037626,-0.130844860988931,0.0242259380692167,TRUE,"miR-766-3p","miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-766","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
728116,"ZBTB8B","hsa-mir-766-3p","hsa-mir-7-1-3p",0.0075,TRUE,NA,"mirtarbase","mirtarbase",0.342952519313737,-0.385149460533401,0.983457443217366,0.00945444103247376,0.7429861037626,-0.130844860988931,0.0270627446831023,TRUE,"miR-766-3p","miR-7-3p","hsa-mir-766","hsa-mir-7-1"
728340,"GTF2H2C","hsa-mir-18a-3p","hsa-mir-520g-3p",0.0055,FALSE,NA,"mirtarbase","mirtarbase",0.969092342841478,-0.027282310746912,0.167154957567133,2.00551902792671,0.836922702715061,-0.0578143644598852,0.0212706585015499,TRUE,"miR-18a-3p","miR-520g-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e,hsa-mir-518a-1"
