"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
51128,"SAR1B","hsa-mir-200c-3p","hsa-mir-301a-3p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.230996015936255,FALSE,"miR-200bc-3p/429","miR-130-3p/301-3p/454-3p","hsa-mir-200c,hsa-mir-141","hsa-mir-301a"
51128,"SAR1B","hsa-mir-301b-3p","hsa-mir-301a-3p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.1115,FALSE,"miR-130-3p/301-3p/454-3p","miR-130-3p/301-3p/454-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-301a"
51306,"FAM13B","hsa-mir-150-5p","hsa-mir-942-5p",0.005,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.29062656641604,FALSE,"miR-150-5p","miR-942-5p","hsa-mir-150","hsa-mir-942"
51804,"SIX4","hsa-mir-130b-3p","hsa-mir-218-5p",0.0025,TRUE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.230996015936255,FALSE,"miR-130-3p/301-3p/454-3p","miR-218-5p","hsa-mir-301b,hsa-mir-130b","hsa-mir-218-1"
51804,"SIX4","hsa-mir-141-3p","hsa-mir-218-5p",0.007,TRUE,NA,NA,NA,"tarbase","tarbase",0.321473267326733,FALSE,"miR-141-3p/200a-3p","miR-218-5p","hsa-mir-200c,hsa-mir-141","hsa-mir-218-1"
54407,"SLC38A2","hsa-mir-7-5p","hsa-mir-181d-5p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.245851590106007,FALSE,"miR-7-5p","miR-181-5p","hsa-mir-7-1","hsa-mir-181c,hsa-mir-181d"
54443,"ANLN","hsa-mir-450b-5p","hsa-mir-107",0.008,FALSE,NA,NA,NA,"tarbase","tarbase",0.331314285714286,FALSE,"miR-450b-5p","miR-103-3p/107","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-107"
54536,"EXOC6","hsa-mir-32-3p","hsa-mir-1305",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.331314285714286,FALSE,"miR-32-3p","miR-1305","hsa-mir-32","hsa-mir-1305"
54545,"MTMR12","hsa-mir-9-3p","hsa-mir-182-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0,TRUE,"miR-9-3p","miR-182-5p","hsa-mir-9-1","hsa-mir-182,hsa-mir-96,hsa-mir-183"
54855,"TENT5C","hsa-mir-141-3p","hsa-mir-550a-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0,TRUE,"miR-141-3p/200a-3p","miR-550a-3-5p/550a-5p/1271-3p","hsa-mir-200c,hsa-mir-141","hsa-mir-550a-1,hsa-mir-550b-1"
55209,"SETD5","hsa-mir-942-5p","hsa-mir-939-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase",0.258509554140127,FALSE,"miR-942-5p","miR-939-5p/1343-5p","hsa-mir-942","hsa-mir-939,hsa-mir-1234"
55632,"G2E3","hsa-mir-33b-5p","hsa-mir-511-5p",0.002,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.217765258215962,FALSE,"miR-33-5p","miR-511-5p","hsa-mir-33b",NA
57167,"SALL4","hsa-let-7c-5p","hsa-mir-508-5p",0.0055,TRUE,NA,NA,NA,"tarbase","mirtarbase",0.304429594272076,FALSE,"let-7-5p/98-5p","miR-508-5p","hsa-mir-99a,hsa-let-7c","hsa-mir-506,hsa-mir-507,hsa-mir-508"
57185,"NIPAL3","hsa-mir-1976","hsa-mir-199b-5p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.193266666666667,FALSE,"miR-1976","miR-199-5p","hsa-mir-1976","hsa-mir-199b,hsa-mir-3154"
