"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
5324,"PLAG1","hsa-mir-193b-3p","hsa-mir-503-5p",0,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",9.17859257181718e-06,-1.4639642336565,0.100079659420526,-0.635059462179082,0.162875116313384,0.316676418775618,0,TRUE,"miR-193-3p","miR-503-5p","hsa-mir-193b,hsa-mir-365a","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
5366,"PMAIP1","hsa-mir-411-3p","hsa-mir-106a-5p",0.006,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.813967204405885,0.0971445903248991,0.949839369300647,-0.0339094322430871,0.474339161780231,0.164631056651461,0.0987813765182186,FALSE,"miR-411-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
5796,"PTPRK","hsa-mir-1179","hsa-mir-501-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.001545831405452,1.97288531688304,0.421040756241356,0.282217750343137,0.435100753101656,0.163457795614648,0,TRUE,"miR-1179","miR-501-3p/502-3p","hsa-mir-1179,hsa-mir-7-2,hsa-mir-3529","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
5865,"RAB3B","hsa-mir-452-3p","hsa-mir-410-3p",0,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.826786755979679,0.176169259020258,0.176058073217224,0.393341495138207,0.562216171564534,0.127333834387929,0,TRUE,"miR-452-3p","miR-410-3p","hsa-mir-224,hsa-mir-452","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
6319,"SCD","hsa-mir-199a-3p","hsa-mir-493-5p",0.004,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.232423553581931,-0.310492632775073,0.194909719851783,-0.420315166550829,0.364040753613194,-0.167633090333277,0.0769078014184397,FALSE,"miR-199-3p","miR-493-5p","hsa-mir-199a-1","hsa-mir-493,hsa-mir-337,hsa-mir-665"
6319,"SCD","hsa-mir-204-5p","hsa-mir-199a-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.183825571457913,-0.459925151227582,0.232423553581931,-0.310492632775073,0.364040753613194,-0.167633090333277,0,TRUE,"miR-204-5p/211-5p","miR-199-3p","hsa-mir-204","hsa-mir-199a-1"
6660,"SOX5","hsa-mir-195-5p","hsa-mir-193b-3p",0.0035,TRUE,NA,NA,NA,"tarbase","tarbase",0.0478918772822502,-0.650927480781569,9.17859257181718e-06,-1.4639642336565,0.251663996329247,0.276030559500648,0.0717015113350126,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-193-3p","hsa-mir-195,hsa-mir-497","hsa-mir-193b,hsa-mir-365a"
6752,"SSTR2","hsa-mir-3187-3p","hsa-mir-96-5p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12920656'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12920656'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28033222'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28033222'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28033222'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29163802'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30529752'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30529752'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7775631'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7775631'>PubMedLink</a>","mirtarbase","tarbase",0.382495703248607,1.04447516328983,0.151321344137644,-0.917610106783484,0.425405513950852,0.170599159964878,0.0659432432432432,FALSE,"miR-3187-3p","miR-96-5p/1271-5p","hsa-mir-4745,hsa-mir-3187","hsa-mir-182,hsa-mir-96,hsa-mir-183"
7153,"TOP2A","hsa-mir-942-5p","hsa-mir-7-5p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23533247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23533247'>PubMedLink</a>","tarbase","mirtarbase",0.572119025668203,-0.340441341094118,0.00076634985750306,1.1833336571532,0.370564910264621,0.205292440076675,0,TRUE,"miR-942-5p","miR-7-5p","hsa-mir-942","hsa-mir-7-1"
7182,"NR2C2","hsa-mir-504-5p","hsa-mir-497-3p",0.0045,TRUE,NA,NA,NA,"mirtarbase","tarbase",0.32410154131264,0.936098107502605,0.010156287484636,-1.64036004375493,0.735908369903303,0.0698312209996824,0.082802036199095,FALSE,NA,"miR-497-3p","hsa-mir-504","hsa-mir-195,hsa-mir-497"
