"","entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
"68",5324,"PLAG1","hsa-mir-424-5p","hsa-mir-106a-5p",0,TRUE,NA,NA,NA,"mirtarbase tarbase","tarbase",1.24632481172416e-14,-0.715721187297041,1.05152189196023e-06,0.756317725310223,0.00521047785034874,-0.190077029658485,0,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"69",5789,"PTPRD","hsa-mir-301a-3p","hsa-mir-130b-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29608257'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30093612'>PubMedLink</a>","tarbase","tarbase",0.00416841283713864,0.455851265587144,4.17941083587621e-09,0.920742963296617,7.04753889899335e-05,-0.266214996085937,0.0311089285714286,TRUE,"miR-130-3p/301-3p/454-3p","miR-130-3p/301-3p/454-3p","hsa-mir-301a","hsa-mir-301b,hsa-mir-130b"
"70",5865,"RAB3B","hsa-mir-21-3p","hsa-mir-155-5p",0,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.569127242928982,0.0516953779135763,0.253820855811093,0.119184525998842,0.0004012909163431,0.264589815506922,0,TRUE,"miR-21-3p/3591-3p","miR-155-5p","hsa-mir-21","hsa-mir-155"
"71",5865,"RAB3B","hsa-mir-33a-5p","hsa-mir-155-5p",0.001,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.846520066044945,-0.0251937490005652,0.253820855811093,0.119184525998842,0.0004012909163431,0.264589815506922,0.0496324786324786,TRUE,"miR-33-5p","miR-155-5p","hsa-mir-33a","hsa-mir-155"
"72",6374,"CXCL5","hsa-mir-511-5p","hsa-mir-195-5p",5e-04,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.913436312903379,-0.0216197507770906,5.19044718289116e-12,-0.740841287743519,3.87560384944385e-08,0.433818209175085,0.0311089285714286,TRUE,"miR-511-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p",NA,"hsa-mir-195,hsa-mir-497"
"73",6374,"CXCL5","hsa-mir-511-5p","hsa-mir-497-5p",0.001,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.913436312903379,-0.0216197507770906,1.15972184686761e-06,-0.568646993912793,3.87560384944385e-08,0.433818209175085,0.0496324786324786,TRUE,"miR-511-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p",NA,"hsa-mir-195,hsa-mir-497"
"74",6446,"SGK1","hsa-mir-497-5p","hsa-mir-19a-3p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28177128'>PubMedLink</a>","tarbase","mirtarbase tarbase",1.15972184686761e-06,-0.568646993912793,0.076198992242857,0.233934519467139,0.154394276287218,-0.086554054332944,0.110259493670886,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-19-3p","hsa-mir-195,hsa-mir-497","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"75",6648,"SOD2","hsa-mir-483-3p","hsa-mir-7-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29774090'>PubMedLink</a>","mirtarbase","mirtarbase",0.144000029103599,-0.320049525015478,1.63538843865527e-11,2.00692321993127,0.828569773661272,0.0125688809169177,0.0744487179487179,FALSE,NA,"miR-7-5p","hsa-mir-483","hsa-mir-7-1"
"76",6781,"STC1","hsa-mir-642a-5p","hsa-mir-432-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18492817'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.0861439306607557,0.423526611873761,0.00593414707918183,-0.488632824796724,0.159875785339295,0.0845993415498251,0.0311089285714286,TRUE,"miR-642a-5p","miR-432-5p","hsa-mir-642a,hsa-mir-642b","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"77",7020,"TFAP2A","hsa-mir-129-5p","hsa-mir-1226-3p",0.0035,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31814916'>PubMedLink</a>","tarbase","tarbase",7.84872048913144e-05,-0.61027321008451,9.82861232980003e-08,1.52655471209211,2.55451402153263e-14,0.527465749199976,0.0980281350482315,FALSE,"miR-129-5p","miR-1226-3p","hsa-mir-129-1","hsa-mir-1226"
"78",7422,"VEGFA","hsa-mir-296-5p","hsa-mir-146a-5p",0.0055,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10381125'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10468067'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10585594'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10816575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11232025'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11232025'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11957147'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12568850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12759248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12782015'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12942123'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12971625'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15581949'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15860258'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15917160'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16140938'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16267616'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17380299'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17630849'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19148513'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19819950'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20127022'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21363919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22057922'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22170435'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22170435'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22178239'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22711307'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22904162'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23176363'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23985752'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24845798'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25231075'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25981814'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27770434'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28969913'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28991928'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29024813'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29033580'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29133593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29155953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29404887'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29461590'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29920344'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30488858'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30863089'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31587503'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31677820'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31701462'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8481475'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8626126'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8697391'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9032563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9458078'>PubMedLink</a>","mirtarbase","tarbase",0.0276544043757283,-0.397289708802735,0.00324311126206447,0.381853541744321,0.376072491604287,0.0528508011962502,0.119025465838509,FALSE,"miR-296-5p","miR-146-5p","hsa-mir-296,hsa-mir-298","hsa-mir-146a"
"79",7431,"VIM","hsa-mir-320c","hsa-mir-548e-3p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10335941'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15010819'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2001155'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20077528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21491170'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23840707'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25168372'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25892250'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29442045'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31006800'>PubMedLink</a>","tarbase","tarbase",0.652384081602323,0.109520244354741,0.00304246637485535,1.19571444398509,0.254224428900089,-0.0595115087390332,0.104161434977578,FALSE,"miR-320","miR-548az-3p/548ar-3p/548a-3p/548e-3p/548f-3p","hsa-mir-320c-1","hsa-mir-548e"
"80",7474,"WNT5A","hsa-mir-135b-3p","hsa-mir-1226-3p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31198984'>PubMedLink</a>","tarbase","tarbase",8.53256118853517e-11,2.11493056741266,9.82861232980003e-08,1.52655471209211,0.407603573510857,-0.0499015787226989,0.128386054421769,FALSE,"miR-135b-3p","miR-1226-3p","hsa-mir-135b","hsa-mir-1226"
"81",7538,"ZFP36","hsa-let-7c-5p","hsa-mir-96-5p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",8.75566848552773e-12,-0.541169996627793,1.43970768235939e-24,1.86783708809495,0.0106493055893322,-0.13780252611641,0.148615165876777,FALSE,"let-7-5p/98-5p","miR-96-5p/1271-5p","hsa-mir-99a,hsa-let-7c","hsa-mir-182,hsa-mir-96,hsa-mir-183"
"82",7538,"ZFP36","hsa-mir-182-5p","hsa-mir-301b-3p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",0.00045008628495182,0.282408355276058,1.60043760117356e-10,1.99493279097935,0.0106493055893322,-0.13780252611641,0.104161434977578,FALSE,"miR-182-5p","miR-130-3p/301-3p/454-3p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-301b,hsa-mir-130b"
"83",7552,"ZNF711","hsa-mir-142-5p","hsa-mir-103a-2-5p",0.009,TRUE,NA,NA,NA,"mirtarbase","tarbase",0.0410716890094804,0.268014594681548,6.2094068998036e-05,1.10732246470606,0.0915876064085528,-0.10644630925505,0.148615165876777,FALSE,"miR-142-5p","miR-103a-2-5p","hsa-mir-142,hsa-mir-4736","hsa-mir-103a-2,hsa-mir-103b-2"
"84",7621,"ZNF70","hsa-mir-20b-5p","hsa-mir-30c-2-3p",0.008,TRUE,NA,NA,NA,"mirtarbase","mirtarbase",3.83772905319102e-08,0.809614695905551,0.134266487745864,-0.181497366327262,0.41946907257618,-0.0514722973877572,0.14091809908999,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-30c-3p/6788-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-30c-2"
"85",8091,"HMGA2","hsa-mir-194-5p","hsa-mir-33b-5p",0.0045,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29391048'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31632465'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.549202173674326,-0.0606924493088374,0.00016330112970644,0.771607650790299,2.01644223528479e-05,0.308205653849963,0.110259493670886,FALSE,"miR-194-5p","miR-33-5p","hsa-mir-215,hsa-mir-194-1","hsa-mir-33b"
"86",8091,"HMGA2","hsa-mir-511-5p","hsa-let-7c-5p",0.005,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29391048'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31632465'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.913436312903379,-0.0216197507770906,8.75566848552773e-12,-0.541169996627793,2.01644223528479e-05,0.308205653849963,0.115066050198151,FALSE,"miR-511-5p","let-7-5p/98-5p",NA,"hsa-mir-99a,hsa-let-7c"
