"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-146a-5p","hsa-mir-148a-3p",6772,"STAT1",7554,"ZNF8",1,0,0.1345,0.0155,0.001,0.0110565003513703
"hsa-mir-193b-5p","hsa-mir-33a-5p",4609,"MYC",7705,"ZNF146",1,0,0.0145,0.099,0.0035,0.0286956227201667
"hsa-mir-139-5p","hsa-mir-338-3p",3091,"HIF1A",7852,"CXCR4",1,0,0.0105,0.0465,0.0015,0.0151749614197531
"hsa-mir-212-3p","hsa-mir-940",4609,"MYC",7884,"SLBP",1,0,0.0725,0.0245,0.0015,0.0151749614197531
"hsa-mir-142-5p","hsa-mir-204-5p",7528,"YY1",7913,"DEK",1,0,0.026,0.4475,0.0015,0.0151749614197531
"hsa-mir-138-5p","hsa-mir-542-3p",5914,"RARA",8870,"IER3",1,5e-04,0.581,0.0935,0.005,0.0372335289663006
"hsa-mir-138-5p","hsa-mir-542-3p",4790,"NFKB1",8870,"IER3",1,0,0.581,0.0935,0.005,0.0372335289663006
"hsa-mir-138-5p","hsa-mir-542-3p",4609,"MYC",8870,"IER3",1,0,0.581,0.0935,0.005,0.0372335289663006
"hsa-mir-199b-3p","hsa-mir-370-3p",571,"BACH1",8878,"SQSTM1",1,0,0.022,0.401,0.0065,0.044791126489138
"hsa-mir-221-3p","hsa-mir-382-5p",10664,"CTCF",9584,"RBM39",-1,0,0.1645,0.063,0.005,0.0372335289663006
"hsa-mir-20b-5p","hsa-mir-223-3p",6772,"STAT1",9655,"SOCS5",1,0,0.702,0.2015,0.0035,0.0286956227201667
"hsa-mir-1-3p","hsa-mir-411-5p",3607,"FOXK2",9874,"TLK1",1,0,0.2255,0.019,0.006,0.042518872173678
"hsa-let-7f-5p","hsa-mir-21-5p",4090,"SMAD5",9988,"DMTF1",1,5e-04,0.0105,0.02,0.0025,0.022361284820921
"hsa-mir-153-3p","hsa-mir-221-5p",2308,"FOXO1",10018,"BCL2L11",1,0.002,0.0285,0.012,0.0055,0.0399140682656827
"hsa-mir-148a-3p","hsa-mir-182-5p",4090,"SMAD5",10051,"SMC4",1,0,0.013,0.034,0.0035,0.0286956227201667
"hsa-mir-182-5p","hsa-mir-503-5p",7003,"TEAD1",10150,"MBNL2",1,0.0025,0.0105,0.2425,0.003,0.0256439204607193
"hsa-mir-183-5p","hsa-mir-503-5p",7003,"TEAD1",10150,"MBNL2",1,0,0.022,0.2585,0.001,0.0110565003513703
"hsa-mir-130a-5p","hsa-mir-363-3p",10765,"KDM5B",10184,"LHFPL2",1,5e-04,0.024,0.457,0.0035,0.0286956227201667
"hsa-mir-21-3p","hsa-mir-493-3p",4801,"NFYB",10250,"SRRM1",1,0.001,0.09,0.53,0.0065,0.044791126489138
"hsa-mir-204-5p","hsa-mir-940",6689,"SPIB",10397,"NDRG1",1,0,0.12,0.015,0.004,0.0316822392267418
"hsa-mir-204-5p","hsa-mir-338-5p",6689,"SPIB",10397,"NDRG1",1,0,0.118,0.156,0.0055,0.0399140682656827
"hsa-mir-214-3p","hsa-mir-889-3p",171017,"ZNF384",10725,"NFAT5",1,0.004,0.4805,0.055,5e-04,0.00622562519784742
"hsa-mir-199a-3p","hsa-mir-889-3p",196528,"ARID2",10725,"NFAT5",1,0,0.021,0.0615,0,0
"hsa-mir-142-3p","hsa-mir-150-5p",7586,"ZKSCAN1",10743,"RAI1",1,0,0.2225,0.0955,0,0
"hsa-mir-424-5p","hsa-mir-503-5p",7003,"TEAD1",23002,"DAAM1",1,0,0.0165,0.113,0.0045,0.0345030701754386
"hsa-mir-21-5p","hsa-mir-3065-5p",4205,"MEF2A",23291,"FBXW11",1,0,0.029,0.059,0.0035,0.0286956227201667
"hsa-mir-301b-3p","hsa-mir-7-5p",4609,"MYC",23411,"SIRT1",1,0,0.062,0.326,0.0075,0.0495342540508773
"hsa-mir-542-3p","hsa-mir-9-5p",6670,"SP3",23607,"CD2AP",1,0.0015,0.078,0.111,0.003,0.0256439204607193
"hsa-mir-548b-3p","hsa-mir-944",571,"BACH1",23657,"SLC7A11",1,0,0.0725,0.4765,0.004,0.0316822392267418
"hsa-mir-21-5p","hsa-mir-675-3p",7543,"ZFX",25836,"NIPBL",1,0,0.0815,0.3775,0.006,0.042518872173678
"hsa-mir-654-3p","hsa-mir-708-5p",4899,"NRF1",25942,"SIN3A",1,0,0.0115,0.0105,0.0055,0.0399140682656827
"hsa-mir-301b-3p","hsa-mir-33b-5p",4609,"MYC",26959,"HBP1",1,0,0.256,0.2625,0.003,0.0256439204607193
"hsa-mir-221-3p","hsa-mir-424-5p",10664,"CTCF",27141,"CIDEB",1,0,0.0115,0.8095,5e-04,0.00622562519784742
"hsa-mir-148a-3p","hsa-mir-301b-3p",6925,"TCF4",27333,"GOLIM4",1,0,0.896,0.0325,0.0015,0.0151749614197531
"hsa-mir-146b-5p","hsa-mir-221-5p",3661,"IRF3",29086,"BABAM1",1,0,0.1415,0.092,0.0055,0.0399140682656827
"hsa-mir-195-3p","hsa-mir-548o-3p",4609,"MYC",51191,"HERC5",1,0,0.016,0.9415,0.005,0.0372335289663006
"hsa-mir-450b-5p","hsa-mir-7-5p",7003,"TEAD1",51232,"CRIM1",1,0,0.24,0.0165,0.006,0.042518872173678
"hsa-mir-204-5p","hsa-mir-7-5p",7421,"VDR",54541,"DDIT4",1,0,0.0585,0.027,0.001,0.0110565003513703
"hsa-mir-127-5p","hsa-mir-199a-5p",196528,"ARID2",54877,"ZCCHC2",1,5e-04,0.7265,0.0545,5e-04,0.00622562519784742
"hsa-mir-142-3p","hsa-mir-874-3p",639,"PRDM1",55366,"LGR4",1,0,0.22,0.0105,0.003,0.0256439204607193
"hsa-mir-21-5p","hsa-mir-508-5p",27107,"ZBTB11",55435,"AP1AR",1,0.0015,0.274,0.2985,5e-04,0.00622562519784742
"hsa-mir-203a-3p","hsa-mir-508-5p",4609,"MYC",56648,"EIF5A2",1,0.0035,0.6605,0.0685,0.0065,0.044791126489138
"hsa-mir-214-3p","hsa-mir-23c",171017,"ZNF384",57533,"TBC1D14",1,0.004,0.1925,0.308,0.007,0.0472393411683967
"hsa-mir-199a-5p","hsa-mir-432-5p",7543,"ZFX",57695,"USP37",1,5e-04,0.1195,0.1625,0.002,0.0188785697144228
"hsa-mir-199b-5p","hsa-mir-432-5p",7543,"ZFX",57695,"USP37",1,0,0.0635,0.121,5e-04,0.00622562519784742
"hsa-mir-148a-3p","hsa-mir-9-5p",405,"ARNT",79659,"DYNC2H1",1,0,0.2005,0.0495,0.0015,0.0151749614197531
"hsa-mir-199a-3p","hsa-mir-20b-5p",6671,"SP4",79960,"JADE1",1,0,0.0305,0.026,0.004,0.0316822392267418
"hsa-mir-138-5p","hsa-mir-338-5p",1054,"CEBPG",81539,"SLC38A1",1,0,0.011,0.1085,0,0
"hsa-let-7f-5p","hsa-mir-2110",1874,"E2F4",81620,"CDT1",1,0.0015,0.3345,0.856,0.0065,0.044791126489138
"hsa-mir-19a-3p","hsa-mir-221-3p",10765,"KDM5B",91748,"MIDEAS",1,0.0085,0.419,0.0115,0.0065,0.044791126489138
"hsa-mir-676-3p","hsa-mir-9-5p",10499,"NCOA2",124540,"MSI2",1,5e-04,0.431,0.011,0.007,0.0472393411683967
"hsa-mir-155-5p","hsa-mir-96-5p",9575,"CLOCK",157769,"FAM91A1",1,0.005,0.2165,0.2905,0.0045,0.0345030701754386
"hsa-mir-142-3p","hsa-mir-301b-3p",7543,"ZFX",165324,"UBXN2A",1,0.002,0.012,0.197,0,0
"hsa-mir-138-5p","hsa-mir-940",7764,"ZNF217",200424,"TET3",1,0,0.429,0.0785,0.0015,0.0151749614197531
"hsa-mir-33a-5p","hsa-mir-940",7764,"ZNF217",200424,"TET3",1,0,0.048,0.0495,0,0
"hsa-mir-33a-5p","hsa-mir-940",10320,"IKZF1",200424,"TET3",1,5e-04,0.048,0.0495,0,0
"hsa-mir-589-3p","hsa-mir-940",8202,"NCOA3",204851,"HIPK1",1,0.001,0.068,0.0215,5e-04,0.00622562519784742
"hsa-mir-155-5p","hsa-mir-205-5p",9935,"MAFB",221037,"JMJD1C",1,0,0.079,0.6025,0.006,0.042518872173678
"hsa-mir-155-5p","hsa-mir-205-5p",196528,"ARID2",221037,"JMJD1C",1,0,0.079,0.6025,0.006,0.042518872173678
"hsa-mir-188-3p","hsa-mir-193b-3p",2099,"ESR1",388677,"NOTCH2NLA",1,5e-04,0.104,0.014,0.0045,0.0345030701754386
