"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-148a-3p","hsa-mir-200b-3p",4211,"MEIS1",473,"RERE",1,0,0.018,0.0105,0.001,0.00827304068030337
"hsa-mir-141-3p","hsa-mir-29b-2-5p",4211,"MEIS1",473,"RERE",1,0.0025,0.2435,0.799,0.0095,0.0455110826114311
"hsa-mir-33a-5p","hsa-mir-33b-5p",6667,"SP1",488,"ATP2A2",1,0.0055,0.043,0.032,0,0
"hsa-mir-155-5p","hsa-mir-33a-5p",6667,"SP1",488,"ATP2A2",1,0,0.11,0.0485,0.0035,0.0219720958254721
"hsa-mir-196b-5p","hsa-mir-20b-5p",2099,"ESR1",493,"ATP2B4",1,0.0025,0.0385,0.0125,5e-04,0.00465053675036997
"hsa-mir-196b-5p","hsa-mir-9-5p",2099,"ESR1",493,"ATP2B4",1,0.005,0.0225,0.156,0,0
"hsa-mir-196b-5p","hsa-mir-301a-3p",2099,"ESR1",493,"ATP2B4",1,0.0055,0.0295,0.2555,0,0
"hsa-mir-503-5p","hsa-mir-7-1-3p",6774,"STAT3",596,"BCL2",1,0,0.0145,0.0155,0.005,0.0286567466635787
"hsa-mir-150-5p","hsa-mir-486-5p",6667,"SP1",596,"BCL2",1,0.003,0.021,0.211,0.0025,0.0170236293595652
"hsa-mir-30b-3p","hsa-mir-940",4609,"MYC",602,"BCL3",1,0.0085,0.3775,0.0535,0.0055,0.0307185093237792
"hsa-mir-339-5p","hsa-mir-362-3p",6774,"STAT3",604,"BCL6",1,0,0.0795,0.0125,0,0
"hsa-mir-19b-1-5p","hsa-mir-339-5p",6777,"STAT5B",604,"BCL6",1,0,0.3215,0.0385,0.001,0.00827304068030337
"hsa-mir-22-5p","hsa-mir-323a-3p",6774,"STAT3",604,"BCL6",1,0,0.012,0.0105,0.0035,0.0219720958254721
"hsa-mir-19b-3p","hsa-mir-26a-5p",6777,"STAT5B",604,"BCL6",1,0,0.0695,0.269,0.0065,0.0347114341973943
"hsa-mir-181a-5p","hsa-mir-92a-3p",6772,"STAT1",604,"BCL6",1,0.0015,0.031,0.274,5e-04,0.00465053675036997
"hsa-mir-19a-3p","hsa-mir-335-5p",6777,"STAT5B",604,"BCL6",1,0,0.0825,0.017,0.0015,0.011451979253032
"hsa-let-7e-5p","hsa-mir-92a-1-5p",6774,"STAT3",604,"BCL6",1,0.006,0.299,0.193,0.004,0.0242992328935256
"hsa-mir-19b-3p","hsa-mir-335-5p",6777,"STAT5B",604,"BCL6",1,0,0.0775,0.014,0.0075,0.0384991443683883
"hsa-mir-29b-3p","hsa-mir-335-5p",2309,"FOXO3",604,"BCL6",1,0,0.035,0.0165,0.0045,0.0265216200526919
"hsa-mir-20a-3p","hsa-mir-26a-5p",6774,"STAT3",604,"BCL6",1,0,0.081,0.3035,5e-04,0.00465053675036997
