"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-203a-3p","hsa-mir-9-5p",2627,"GATA6",4638,"MYLK",1,0,0.0245,0.0375,0,0
"hsa-let-7c-5p","hsa-mir-138-5p",4609,"MYC",4691,"NCL",1,0.0015,0.6165,0.2055,0.002,0.0439132510117256
"hsa-let-7c-5p","hsa-mir-138-5p",1874,"E2F4",4691,"NCL",1,0,0.6165,0.2055,0.002,0.0439132510117256
"hsa-mir-19a-3p","hsa-mir-301a-3p",3091,"HIF1A",5054,"SERPINE1",1,0.001,0.066,0.598,5e-04,0.0164666147859922
"hsa-mir-10a-5p","hsa-mir-320b",1385,"CREB1",5122,"PCSK1",1,0.0015,0.215,0.074,0.002,0.0439132510117256
"hsa-mir-1-3p","hsa-mir-204-5p",6667,"SP1",5327,"PLAT",1,0.0025,0.0125,0.2695,0.0015,0.0363567010309278
"hsa-mir-33a-5p","hsa-mir-33b-5p",10320,"IKZF1",5579,"PRKCB",1,0.006,0.011,0.1845,0,0
"hsa-mir-31-5p","hsa-mir-424-5p",6774,"STAT3",5783,"PTPN13",1,0,0.5105,0.0295,0.001,0.0274764316322555
"hsa-let-7c-5p","hsa-mir-182-5p",1874,"E2F4",5984,"RFC4",1,0,0.134,0.1675,0,0
"hsa-mir-1-3p","hsa-mir-155-5p",6667,"SP1",6095,"RORA",1,0.0015,0.0575,0.015,0.002,0.0439132510117256
"hsa-mir-106a-5p","hsa-mir-221-5p",4609,"MYC",6137,"RPL13",1,0.0025,0.0235,0.04,0.002,0.0439132510117256
"hsa-mir-106a-5p","hsa-mir-185-3p",4609,"MYC",6137,"RPL13",1,0.005,0.045,0.0775,0,0
"hsa-let-7c-5p","hsa-mir-539-5p",9189,"ZBED1",6509,"SLC1A4",1,0.004,0.178,0.4475,0.0015,0.0363567010309278
"hsa-mir-33a-5p","hsa-mir-96-5p",196,"AHR",6654,"SOS1",1,0,0.0795,0.0195,0.001,0.0274764316322555
"hsa-mir-149-5p","hsa-mir-204-5p",4212,"MEIS2",6711,"SPTBN1",1,0.001,0.1975,0.134,5e-04,0.0164666147859922
"hsa-mir-223-3p","hsa-mir-377-3p",6667,"SP1",6868,"ADAM17",1,0.005,0.868,0.2785,5e-04,0.0164666147859922
"hsa-mir-335-3p","hsa-mir-335-5p",1875,"E2F5",6885,"MAP3K7",1,0,0.039,0.739,0.002,0.0439132510117256
"hsa-mir-20b-5p","hsa-mir-9-5p",405,"ARNT",6925,"TCF4",1,0.0015,0.077,0.4855,5e-04,0.0164666147859922
"hsa-mir-20b-5p","hsa-mir-34c-5p",860,"RUNX2",6925,"TCF4",1,0,0.072,0.0345,0.001,0.0274764316322555
"hsa-mir-424-5p","hsa-mir-7-5p",405,"ARNT",6938,"TCF12",1,0.0085,0.085,0.6405,5e-04,0.0164666147859922
"hsa-mir-187-3p","hsa-mir-30a-3p",604,"BCL6",7171,"TPM4",-1,5e-04,0.0185,0.0675,0.0015,0.0363567010309278
"hsa-mir-106a-5p","hsa-mir-196b-5p",196,"AHR",7227,"TRPS1",1,5e-04,0.2435,0.8225,5e-04,0.0164666147859922
"hsa-mir-589-3p","hsa-mir-7-5p",367,"AR",7227,"TRPS1",1,0,0.444,0.2235,0.001,0.0274764316322555
"hsa-mir-19b-3p","hsa-mir-338-3p",5451,"POU2F1",7296,"TXNRD1",1,0,0.0135,0.287,5e-04,0.0164666147859922
"hsa-mir-29b-3p","hsa-mir-30c-5p",4801,"NFYB",7296,"TXNRD1",1,0,0.135,0.0375,5e-04,0.0164666147859922
"hsa-mir-338-3p","hsa-mir-424-5p",5451,"POU2F1",7296,"TXNRD1",1,0,0.226,0.0945,0.002,0.0439132510117256
"hsa-mir-29b-3p","hsa-mir-30c-5p",5451,"POU2F1",7296,"TXNRD1",1,0,0.135,0.0375,5e-04,0.0164666147859922
"hsa-mir-582-5p","hsa-mir-99a-5p",4779,"NFE2L1",7328,"UBE2H",1,0,0.0145,0.0195,0,0
"hsa-mir-363-3p","hsa-mir-625-5p",6667,"SP1",7358,"UGDH",1,0,0.473,0.037,0.001,0.0274764316322555
"hsa-mir-200b-3p","hsa-mir-9-5p",6925,"TCF4",7402,"UTRN",1,0,0.021,0.015,5e-04,0.0164666147859922
"hsa-mir-200b-3p","hsa-mir-9-5p",6667,"SP1",7402,"UTRN",1,5e-04,0.021,0.015,5e-04,0.0164666147859922
"hsa-mir-30a-5p","hsa-mir-369-3p",4609,"MYC",7422,"VEGFA",1,0.006,0.2515,0.0465,0.002,0.0439132510117256
"hsa-mir-155-5p","hsa-mir-320d",4088,"SMAD3",7538,"ZFP36",1,0,0.796,0.3175,5e-04,0.0164666147859922
"hsa-mir-182-5p","hsa-mir-224-3p",4790,"NFKB1",7980,"TFPI2",1,0.001,0.584,0.414,0.001,0.0274764316322555
"hsa-mir-20b-5p","hsa-mir-3065-3p",4205,"MEF2A",8202,"NCOA3",1,0.0025,0.0245,0.604,0.002,0.0439132510117256
"hsa-mir-203a-3p","hsa-mir-454-3p",7157,"TP53",8493,"PPM1D",1,5e-04,0.9655,0.0235,0,0
"hsa-mir-193b-3p","hsa-mir-381-3p",1869,"E2F1",8520,"HAT1",1,0,0.6,0.3635,0,0
"hsa-mir-200a-3p","hsa-mir-200b-3p",7543,"ZFX",8621,"CDK13",1,0.0065,0.027,0.379,0,0
"hsa-mir-141-3p","hsa-mir-378a-3p",4205,"MEF2A",8650,"NUMB",1,0,0.0135,0.3135,0,0
"hsa-mir-135b-5p","hsa-mir-378a-3p",4205,"MEF2A",8650,"NUMB",1,0,0.0295,0.3285,5e-04,0.0164666147859922
"hsa-mir-141-5p","hsa-mir-200b-3p",4780,"NFE2L2",8878,"SQSTM1",1,0,0.091,0.0565,0.002,0.0439132510117256
"hsa-mir-141-5p","hsa-mir-200b-3p",4779,"NFE2L1",8878,"SQSTM1",1,0.009,0.091,0.0565,0.002,0.0439132510117256
"hsa-mir-138-5p","hsa-mir-30c-5p",57215,"THAP11",9069,"CLDN12",-1,0,0.3905,0.771,0.002,0.0439132510117256
"hsa-mir-18a-5p","hsa-mir-744-3p",7543,"ZFX",9117,"SEC22C",1,0,0.082,0.5855,0.002,0.0439132510117256
"hsa-mir-20a-3p","hsa-mir-877-5p",1316,"KLF6",9208,"LRRFIP1",1,0.001,0.03,0.7435,5e-04,0.0164666147859922
"hsa-mir-10a-5p","hsa-mir-142-3p",2099,"ESR1",9429,"ABCG2",1,5e-04,0.158,0.4435,5e-04,0.0164666147859922
"hsa-mir-141-3p","hsa-mir-218-5p",196,"AHR",9448,"MAP4K4",1,0,0.014,0.0135,0.001,0.0274764316322555
"hsa-mir-9-5p","hsa-mir-96-5p",196,"AHR",9686,"VGLL4",1,0,0.105,0.1595,5e-04,0.0164666147859922
"hsa-mir-200a-3p","hsa-mir-214-3p",7003,"TEAD1",9821,"RB1CC1",1,0,0.011,0.812,0,0
"hsa-mir-200b-3p","hsa-mir-429",8202,"NCOA3",9931,"HELZ",1,0.0045,0.047,0.044,0.0015,0.0363567010309278
"hsa-mir-106a-5p","hsa-mir-29c-3p",3091,"HIF1A",10135,"NAMPT",1,0.0095,0.1385,0.015,0,0
"hsa-mir-106a-5p","hsa-mir-20b-5p",3091,"HIF1A",10135,"NAMPT",1,0.007,0.1945,0.029,0.002,0.0439132510117256
"hsa-mir-142-3p","hsa-mir-29b-3p",55810,"FOXJ2",10144,"FAM13A",1,5e-04,0.2735,0.2305,0.001,0.0274764316322555
"hsa-mir-214-3p","hsa-mir-758-3p",3516,"RBPJ",10507,"SEMA4D",1,0.002,0.664,0.0145,5e-04,0.0164666147859922
"hsa-mir-18a-3p","hsa-mir-410-3p",7027,"TFDP1",11100,"HNRNPUL1",1,0,0.1065,0.0635,0,0
"hsa-mir-19b-3p","hsa-mir-23a-5p",3662,"IRF4",22806,"IKZF3",1,5e-04,0.011,0.0665,0.002,0.0439132510117256
"hsa-mir-1226-3p","hsa-mir-411-3p",6772,"STAT1",22869,"ZNF510",1,0.0025,0.076,0.538,0.001,0.0274764316322555
"hsa-mir-129-5p","hsa-mir-96-5p",7003,"TEAD1",23002,"DAAM1",1,0.0035,0.274,0.0675,0,0
"hsa-mir-338-3p","hsa-mir-7-5p",7003,"TEAD1",23022,"PALLD",1,0.0065,0.013,0.035,0.0015,0.0363567010309278
"hsa-mir-130a-5p","hsa-mir-335-5p",7003,"TEAD1",23022,"PALLD",1,0.002,0.051,0.014,5e-04,0.0164666147859922
"hsa-mir-338-3p","hsa-mir-7-5p",6938,"TCF12",23022,"PALLD",1,0,0.013,0.035,0.0015,0.0363567010309278
"hsa-mir-212-3p","hsa-mir-424-5p",1997,"ELF1",23185,"LARP4B",1,0,0.116,0.049,0.001,0.0274764316322555
"hsa-mir-141-3p","hsa-mir-223-5p",8202,"NCOA3",23243,"ANKRD28",1,0,0.014,0.421,5e-04,0.0164666147859922
"hsa-mir-130a-3p","hsa-mir-625-5p",4097,"MAFG",23446,"SLC44A1",1,0.009,0.109,0.0975,0.002,0.0439132510117256
"hsa-mir-130a-3p","hsa-mir-24-2-5p",8202,"NCOA3",23446,"SLC44A1",1,0,0.0695,0.1115,0.001,0.0274764316322555
"hsa-mir-142-5p","hsa-mir-155-5p",1523,"CUX1",23499,"MACF1",1,0.001,0.0255,0.034,0,0
"hsa-mir-142-5p","hsa-mir-155-5p",6938,"TCF12",23499,"MACF1",1,0.002,0.0255,0.034,0,0
"hsa-mir-18a-5p","hsa-mir-432-5p",7543,"ZFX",23613,"ZMYND8",1,0,0.0905,0.058,0,0
"hsa-mir-18a-5p","hsa-mir-377-5p",7543,"ZFX",23613,"ZMYND8",1,0,0.078,0.021,5e-04,0.0164666147859922
"hsa-mir-378c","hsa-mir-486-3p",53335,"BCL11A",23613,"ZMYND8",1,0.003,0.657,0.118,0.001,0.0274764316322555
"hsa-let-7c-5p","hsa-mir-432-5p",7543,"ZFX",23613,"ZMYND8",1,0.001,0.064,0.0355,0.002,0.0439132510117256
"hsa-mir-182-5p","hsa-mir-224-3p",4779,"NFE2L1",23731,"TMEM245",1,0.0025,0.0705,0.101,0.002,0.0439132510117256
"hsa-mir-30c-5p","hsa-mir-589-3p",860,"RUNX2",26018,"LRIG1",1,0,0.1325,0.051,5e-04,0.0164666147859922
"hsa-mir-19a-3p","hsa-mir-502-5p",860,"RUNX2",26230,"TIAM2",1,0,0.0435,0.6655,0.001,0.0274764316322555
"hsa-mir-20a-5p","hsa-mir-502-5p",5090,"PBX3",26230,"TIAM2",1,0.0075,0.0695,0.6425,0,0
"hsa-mir-30a-3p","hsa-mir-877-5p",860,"RUNX2",26509,"MYOF",1,0.0025,0.1725,0.861,0.002,0.0439132510117256
"hsa-mir-18a-3p","hsa-mir-193b-3p",6925,"TCF4",27086,"FOXP1",1,0,0.0475,0.0175,0.001,0.0274764316322555
"hsa-mir-377-5p","hsa-mir-424-5p",7572,"ZNF24",29886,"SNX8",-1,0.0045,0.3895,0.8925,0.0015,0.0363567010309278
"hsa-mir-133a-3p","hsa-mir-133b",6667,"SP1",29956,"CERS2",1,5e-04,0.0385,0.158,0,0
"hsa-mir-424-5p","hsa-mir-500a-5p",5451,"POU2F1",50484,"RRM2B",1,0.0035,0.7315,0.041,0,0
"hsa-mir-200b-3p","hsa-mir-429",8202,"NCOA3",51366,"UBR5",1,0.0045,0.025,0.031,0.001,0.0274764316322555
"hsa-mir-135b-5p","hsa-mir-19b-3p",4205,"MEF2A",51719,"CAB39",1,0,0.0495,0.1255,5e-04,0.0164666147859922
"hsa-mir-141-3p","hsa-mir-301b-3p",1316,"KLF6",54206,"ERRFI1",1,0,0.0235,0.413,0.0015,0.0363567010309278
