miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-206,hsa-mir-301b-3p,6667,596,1,0.0,0.0535,0.035,0.0,True,0.0
hsa-mir-29b-3p,hsa-mir-3065-5p,6667,596,1,0.0,0.3385,0.0225,0.0005,True,0.01646661478599222
hsa-mir-1-3p,hsa-mir-155-5p,6667,6095,1,0.0015,0.0575,0.015,0.002,True,0.04391325101172564
hsa-mir-223-3p,hsa-mir-377-3p,6667,6868,1,0.005,0.868,0.2785,0.0005,True,0.01646661478599222
hsa-mir-33b-5p,hsa-mir-425-5p,6667,695,1,0.0065,0.5215,0.9145,0.0005,True,0.01646661478599222
hsa-mir-363-3p,hsa-mir-625-5p,6667,7358,1,0.0,0.473,0.037,0.001,True,0.02747643163225555
hsa-mir-200b-3p,hsa-mir-9-5p,6667,7402,1,0.0005,0.021,0.015,0.0005,True,0.01646661478599222
hsa-mir-31-3p,hsa-mir-410-3p,6667,983,1,0.0,0.0235,0.021,0.0,True,0.0
hsa-mir-378a-3p,hsa-mir-654-3p,6670,2107,-1,0.0,0.335,0.038,0.0,True,0.0
hsa-mir-223-3p,hsa-mir-511-5p,6670,3486,1,0.0,0.077,0.2955,0.0,True,0.0
hsa-mir-30a-3p,hsa-mir-30a-5p,6671,79595,1,0.0,0.0445,0.0355,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-589-3p,6772,1026,1,0.0,0.6135,0.5465,0.0,True,0.0
hsa-mir-1226-3p,hsa-mir-411-3p,6772,22869,1,0.0025,0.076,0.538,0.001,True,0.02747643163225555
hsa-mir-184,hsa-mir-615-3p,6772,4609,1,0.0,0.013,0.117,0.002,True,0.04391325101172564
hsa-mir-183-5p,hsa-mir-424-5p,6774,2353,1,0.002,0.4625,0.83,0.0015,True,0.036356701030927835
hsa-mir-301b-3p,hsa-mir-580-3p,6774,3091,1,0.0,0.0215,0.121,0.0015,True,0.036356701030927835
hsa-mir-31-5p,hsa-mir-424-5p,6774,5783,1,0.0,0.5105,0.0295,0.001,True,0.02747643163225555
hsa-mir-129-5p,hsa-mir-193b-3p,6925,201134,1,0.0,0.066,0.0455,0.0,True,0.0
hsa-mir-18a-3p,hsa-mir-193b-3p,6925,27086,1,0.0,0.0475,0.0175,0.001,True,0.02747643163225555
hsa-mir-142-3p,hsa-mir-29b-3p,6925,55074,1,0.0005,0.176,0.0615,0.0,True,0.0
hsa-mir-200b-3p,hsa-mir-9-5p,6925,7402,1,0.0,0.021,0.015,0.0005,True,0.01646661478599222
hsa-mir-200b-3p,hsa-mir-493-3p,6935,999,-1,0.0,0.0135,0.0205,0.0015,True,0.036356701030927835
hsa-mir-338-3p,hsa-mir-7-5p,6938,23022,1,0.0,0.013,0.035,0.0015,True,0.036356701030927835
hsa-mir-142-5p,hsa-mir-155-5p,6938,23499,1,0.002,0.0255,0.034,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-96-5p,7003,23002,1,0.0035,0.274,0.0675,0.0,True,0.0
hsa-mir-130a-5p,hsa-mir-335-5p,7003,23022,1,0.002,0.051,0.014,0.0005,True,0.01646661478599222
hsa-mir-338-3p,hsa-mir-7-5p,7003,23022,1,0.0065,0.013,0.035,0.0015,True,0.036356701030927835
hsa-mir-130a-3p,hsa-mir-301b-3p,7003,55714,1,0.0005,0.422,0.015,0.002,True,0.04391325101172564
hsa-mir-130a-3p,hsa-mir-135b-5p,7003,817,1,0.0,0.1005,0.029,0.001,True,0.02747643163225555
hsa-mir-142-3p,hsa-mir-580-3p,7003,831,1,0.003,0.6835,0.432,0.0015,True,0.036356701030927835
hsa-mir-338-3p,hsa-mir-7-5p,7003,84441,1,0.0065,0.108,0.453,0.0005,True,0.01646661478599222
hsa-mir-200a-3p,hsa-mir-214-3p,7003,9821,1,0.0,0.011,0.812,0.0,True,0.0
hsa-mir-18a-3p,hsa-mir-410-3p,7027,11100,1,0.0,0.1065,0.0635,0.0,True,0.0
hsa-mir-3065-5p,hsa-mir-378a-3p,7157,4609,-1,0.0075,0.405,0.766,0.0005,True,0.01646661478599222
hsa-mir-203a-3p,hsa-mir-92a-1-5p,7157,694,1,0.0005,0.091,0.163,0.002,True,0.04391325101172564
hsa-mir-203a-3p,hsa-mir-454-3p,7157,8493,1,0.0005,0.9655,0.0235,0.0,True,0.0
hsa-mir-1-3p,hsa-mir-218-5p,7157,995,1,0.003,0.3415,0.646,0.0005,True,0.01646661478599222
hsa-mir-206,hsa-mir-218-5p,7157,995,1,0.0005,0.043,0.668,0.001,True,0.02747643163225555
hsa-mir-338-3p,hsa-mir-582-5p,7182,55660,1,0.0,0.087,0.885,0.002,True,0.04391325101172564
hsa-mir-196a-5p,hsa-mir-19b-3p,7528,1739,1,0.0025,0.024,0.0685,0.002,True,0.04391325101172564
hsa-mir-301a-3p,hsa-mir-432-5p,7543,155435,1,0.0005,0.096,0.108,0.002,True,0.04391325101172564
hsa-let-7c-5p,hsa-mir-432-5p,7543,23613,1,0.001,0.064,0.0355,0.002,True,0.04391325101172564
hsa-mir-18a-5p,hsa-mir-377-5p,7543,23613,1,0.0,0.078,0.021,0.0005,True,0.01646661478599222
hsa-mir-18a-5p,hsa-mir-432-5p,7543,23613,1,0.0,0.0905,0.058,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-33a-5p,7543,84333,1,0.004,0.148,0.173,0.0015,True,0.036356701030927835
hsa-mir-200a-3p,hsa-mir-200b-3p,7543,8621,1,0.0065,0.027,0.379,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-744-3p,7543,9117,1,0.0,0.082,0.5855,0.002,True,0.04391325101172564
hsa-mir-377-5p,hsa-mir-424-5p,7572,29886,-1,0.0045,0.3895,0.8925,0.0015,True,0.036356701030927835
hsa-mir-141-3p,hsa-mir-223-5p,8202,23243,1,0.0,0.014,0.421,0.0005,True,0.01646661478599222
hsa-mir-130a-3p,hsa-mir-24-2-5p,8202,23446,1,0.0,0.0695,0.1115,0.001,True,0.02747643163225555
hsa-mir-200b-3p,hsa-mir-429,8202,51366,1,0.0045,0.025,0.031,0.001,True,0.02747643163225555
hsa-mir-335-5p,hsa-mir-429,8202,56204,1,0.003,0.486,0.0475,0.0005,True,0.01646661478599222
hsa-mir-200b-3p,hsa-mir-429,8202,9931,1,0.0045,0.047,0.044,0.0015,True,0.036356701030927835
hsa-mir-30c-5p,hsa-mir-589-3p,860,26018,1,0.0,0.1325,0.051,0.0005,True,0.01646661478599222
hsa-mir-19a-3p,hsa-mir-502-5p,860,26230,1,0.0,0.0435,0.6655,0.001,True,0.02747643163225555
hsa-mir-30a-3p,hsa-mir-877-5p,860,26509,1,0.0025,0.1725,0.861,0.002,True,0.04391325101172564
hsa-mir-30a-3p,hsa-mir-7-5p,860,2737,1,0.005,0.8905,0.164,0.002,True,0.04391325101172564
hsa-mir-224-3p,hsa-mir-320d,860,351,1,0.0045,0.0825,0.0995,0.0015,True,0.036356701030927835
hsa-mir-19a-3p,hsa-mir-301a-3p,860,4322,1,0.0,0.0425,0.508,0.0015,True,0.036356701030927835
hsa-mir-20b-5p,hsa-mir-34c-5p,860,6925,1,0.0,0.072,0.0345,0.001,True,0.02747643163225555
hsa-let-7c-5p,hsa-mir-539-5p,9189,6509,1,0.004,0.178,0.4475,0.0015,True,0.036356701030927835
hsa-mir-363-3p,hsa-mir-9-5p,9314,999,1,0.001,0.0785,0.2055,0.001,True,0.02747643163225555
hsa-mir-200b-3p,hsa-mir-493-3p,9839,999,-1,0.0,0.0135,0.0205,0.0015,True,0.036356701030927835
