miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-let-7b-5p,hsa-mir-940,2063,51542,-1,0.0005,0.2235,0.051,0.004,True,0.022728156096547065
hsa-mir-181a-5p,hsa-mir-9-5p,2099,2078,1,0.0015,0.1765,0.0535,0.0055,True,0.028730425643720442
hsa-mir-142-3p,hsa-mir-181a-5p,2099,3487,1,0.0005,0.035,0.0365,0.0035,True,0.020577342867896125
hsa-mir-130a-3p,hsa-mir-381-3p,2099,367,1,0.0095,0.013,0.0215,0.001,True,0.007828465063001146
hsa-let-7b-5p,hsa-mir-145-5p,2099,6670,1,0.0045,0.605,0.316,0.009,True,0.04098415408641332
hsa-mir-18a-5p,hsa-mir-92b-3p,2099,8850,1,0.009,0.0355,0.1565,0.002,True,0.013460700437003755
hsa-mir-15a-5p,hsa-mir-221-3p,2099,9687,1,0.0055,0.012,0.7735,0.0075,True,0.03589809809371649
hsa-mir-125a-5p,hsa-mir-30c-2-3p,2101,25953,1,0.004,0.0835,0.036,0.0035,True,0.020577342867896125
hsa-mir-200b-3p,hsa-mir-518a-5p,2113,8651,1,0.0,0.061,0.0125,0.008,True,0.03764616774970952
hsa-mir-181a-5p,hsa-mir-548j-5p,2308,285,1,0.0,0.0215,0.206,0.009,True,0.04098415408641332
hsa-mir-181a-5p,hsa-mir-9-5p,2308,285,1,0.0,0.0155,0.042,0.001,True,0.007828465063001146
hsa-mir-135b-5p,hsa-mir-15a-5p,2308,6197,1,0.0005,0.286,0.141,0.007,True,0.03415371572630123
hsa-mir-135b-5p,hsa-mir-17-5p,2308,6197,1,0.0005,0.2815,0.127,0.0,True,0.0
hsa-mir-135b-5p,hsa-mir-181b-5p,2308,6197,1,0.0,0.276,0.6175,0.0055,True,0.028730425643720442
hsa-mir-135b-5p,hsa-mir-20a-5p,2308,6197,1,0.0005,0.2875,0.4665,0.0,True,0.0
hsa-mir-142-5p,hsa-mir-4326,2309,10628,1,0.0,0.0535,0.9005,0.005,True,0.026815439697876305
hsa-mir-520a-5p,hsa-mir-520c-3p,2309,10628,1,0.0,0.1415,0.256,0.001,True,0.007828465063001146
hsa-mir-520c-3p,hsa-mir-525-5p,2309,10628,1,0.0,0.183,0.1625,0.003,True,0.01833518710001956
hsa-mir-548j-5p,hsa-mir-676-3p,2309,23411,1,0.0,0.5995,0.574,0.0,True,0.0
hsa-mir-3065-3p,hsa-mir-30a-5p,2309,5290,1,0.003,0.0525,0.0145,0.009,True,0.04098415408641332
hsa-mir-20a-5p,hsa-mir-7-5p,2353,8061,1,0.0,0.214,0.53,0.0005,True,0.0044329671220659185
hsa-mir-128-3p,hsa-mir-20a-5p,2355,8061,1,0.0,0.346,0.1975,0.0045,True,0.024807340374580926
hsa-mir-130b-3p,hsa-mir-20a-5p,2355,8061,1,0.0,0.0895,0.244,0.0035,True,0.020577342867896125
hsa-mir-15b-5p,hsa-mir-20a-5p,2355,8061,1,0.0,0.014,0.238,0.007,True,0.03415371572630123
hsa-mir-15b-5p,hsa-mir-625-5p,2355,8061,1,0.0,0.0165,0.402,0.006,True,0.03065545276142417
hsa-mir-17-5p,hsa-mir-625-5p,2355,8061,1,0.0,0.1495,0.397,0.001,True,0.007828465063001146
