"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-26b-3p","hsa-mir-486-5p",1385,"CREB1",596,"BCL2",1,0,0.015,0.024,0.001,0.0037963109535772
"hsa-mir-148a-3p","hsa-mir-92a-1-5p",2736,"GLI2",596,"BCL2",1,0,0.088,0.0105,0,0
"hsa-mir-146a-5p","hsa-mir-148a-3p",4790,"NFKB1",596,"BCL2",1,0.0015,0.0955,0.0845,0.0035,0.0109743199840832
"hsa-mir-129-5p","hsa-mir-143-5p",3659,"IRF1",667,"DST",-1,0,0.0335,0.9705,0.0045,0.0135177676723668
"hsa-mir-1301-3p","hsa-mir-320b",11016,"ATF7",677,"ZFP36L1",1,0,0.1815,0.0775,0,0
"hsa-mir-103a-2-5p","hsa-mir-940",11016,"ATF7",677,"ZFP36L1",1,0,0.4025,0.0195,0.005,0.014740642092323
"hsa-mir-142-5p","hsa-mir-940",11016,"ATF7",677,"ZFP36L1",1,0,0.278,0.0185,0.008,0.0216768298673653
"hsa-mir-31-5p","hsa-mir-940",11016,"ATF7",677,"ZFP36L1",1,0,0.6785,0.0185,0.0075,0.0205637965601803
"hsa-mir-320b","hsa-mir-940",11016,"ATF7",677,"ZFP36L1",1,0,0.0725,0.012,0,0
"hsa-mir-335-3p","hsa-mir-342-5p",639,"PRDM1",677,"ZFP36L1",1,0.009,0.249,0.2675,0.009,0.023840869252011
"hsa-mir-1301-3p","hsa-mir-142-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.19,0.304,5e-04,0.00206526839983525
"hsa-mir-1301-3p","hsa-mir-221-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.1475,0.136,0.0055,0.01593687781815
"hsa-mir-155-5p","hsa-mir-92b-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.129,0.017,0.0015,0.00537950932477974
"hsa-mir-335-3p","hsa-mir-33a-3p",11016,"ATF7",677,"ZFP36L1",1,0,0.3145,0.0415,0.0015,0.00537950932477974
"hsa-mir-221-5p","hsa-mir-550a-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.125,0.019,0.0075,0.0205637965601803
"hsa-mir-335-3p","hsa-mir-550a-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.335,0.023,0.001,0.0037963109535772
"hsa-mir-103a-2-5p","hsa-mir-1301-3p",11016,"ATF7",677,"ZFP36L1",1,0,0.444,0.181,0.0035,0.0109743199840832
"hsa-mir-320b","hsa-mir-627-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.063,0.205,0.0045,0.0135177676723668
"hsa-mir-31-5p","hsa-mir-550a-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.684,0.0255,0.0055,0.01593687781815
"hsa-mir-183-5p","hsa-mir-335-3p",1316,"KLF6",677,"ZFP36L1",1,0.0015,0.015,0.3475,0,0
