miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-19b-3p,hsa-mir-576-5p,1385,4763,1,0.0045,0.011,0.3235,0.0015,True,0.012953285586392123
hsa-mir-576-5p,hsa-mir-590-3p,1385,4763,1,0.0,0.4365,0.019,0.0,True,0.0
hsa-mir-576-5p,hsa-mir-9-5p,1385,4763,1,0.0,0.3945,0.0165,0.0025,True,0.019049150025278058
hsa-mir-129-5p,hsa-mir-130a-3p,1385,50484,1,0.0,0.8365,0.013,0.0005,True,0.005303897417850702
hsa-mir-19b-3p,hsa-mir-503-5p,1385,50484,1,0.0035,0.053,0.0575,0.0025,True,0.019049150025278058
hsa-let-7f-1-3p,hsa-mir-92a-1-5p,1385,5515,1,0.0025,0.012,0.0975,0.0015,True,0.012953285586392123
hsa-mir-181d-5p,hsa-mir-320d,1385,5515,1,0.0005,0.017,0.3025,0.0005,True,0.005303897417850702
hsa-let-7g-3p,hsa-mir-127-5p,1385,595,1,0.0,0.034,0.013,0.0005,True,0.005303897417850702
hsa-let-7g-3p,hsa-mir-1271-5p,1385,595,1,0.0,0.04,0.05,0.002,True,0.01614697512471124
hsa-let-7g-3p,hsa-mir-296-5p,1385,595,1,0.0,0.0475,0.0185,0.003,True,0.021789735248938284
hsa-mir-1271-5p,hsa-mir-628-5p,1385,595,1,0.0,0.0385,0.051,0.0035,True,0.02440194576153579
hsa-mir-132-5p,hsa-mir-376a-5p,1385,596,1,0.0,0.2355,0.6975,0.0035,True,0.02440194576153579
hsa-mir-20a-3p,hsa-mir-9-5p,1385,6574,1,0.0,0.014,0.011,0.0015,True,0.012953285586392123
hsa-let-7g-3p,hsa-mir-338-3p,1385,8013,1,0.0,0.0985,0.105,0.0075,True,0.04202729237347214
hsa-mir-26b-3p,hsa-mir-338-3p,1385,8013,1,0.0,0.744,0.1305,0.0065,True,0.038037650456222094
hsa-mir-30a-3p,hsa-mir-877-5p,1386,2335,1,0.0,0.0525,0.034,0.007,True,0.040059542455740664
hsa-mir-196b-5p,hsa-mir-628-5p,1386,5327,1,0.0,0.014,0.016,0.0,True,0.0
hsa-mir-1271-5p,hsa-mir-628-5p,1386,595,1,0.0,0.0385,0.051,0.0035,True,0.02440194576153579
hsa-mir-130b-3p,hsa-mir-20a-3p,1390,23228,1,0.0,0.066,0.193,0.0055,True,0.03380249509391646
hsa-mir-130b-3p,hsa-mir-550a-3p,1390,79683,1,0.0,0.0305,0.015,0.002,True,0.01614697512471124
hsa-mir-196b-5p,hsa-mir-362-5p,144455,7465,1,0.0,0.6655,0.05,0.008,True,0.0439557975802593
hsa-mir-130b-5p,hsa-mir-655-3p,144455,8289,1,0.0,0.2065,0.1555,0.0055,True,0.03380249509391646
hsa-mir-181d-5p,hsa-mir-212-3p,144455,8289,1,0.0005,0.0865,0.177,0.0,True,0.0
hsa-mir-484,hsa-mir-655-3p,144455,8289,1,0.0,0.5025,0.1625,0.0,True,0.0
hsa-mir-10a-3p,hsa-mir-3651,1523,23499,1,0.005,0.074,0.054,0.0065,True,0.038037650456222094
hsa-mir-224-5p,hsa-mir-877-5p,1523,23499,1,0.002,0.1335,0.206,0.0025,True,0.019049150025278058
hsa-mir-454-3p,hsa-mir-590-5p,1523,23499,1,0.0025,0.1015,0.143,0.0095,True,0.04951041689178967
hsa-mir-181c-5p,hsa-mir-29b-2-5p,1523,6711,1,0.006,0.0385,0.97,0.001,True,0.009403275492298694
hsa-mir-301a-3p,hsa-mir-642a-5p,1523,91663,1,0.0,0.0385,0.46,0.0065,True,0.038037650456222094
hsa-let-7c-5p,hsa-mir-1180-3p,1820,11176,1,0.0,0.0305,0.1715,0.0085,True,0.0458423612819538
hsa-let-7c-5p,hsa-mir-125b-2-3p,1820,11176,1,0.0,0.018,0.0165,0.0045,True,0.02926225595944342
hsa-let-7c-5p,hsa-mir-34c-5p,1820,11176,1,0.0,0.0205,0.2125,0.005,True,0.031594345308282895
hsa-let-7g-3p,hsa-mir-145-5p,1820,11176,1,0.0,0.142,0.108,0.0005,True,0.005303897417850702
hsa-mir-296-5p,hsa-mir-491-5p,1820,4335,1,0.006,0.274,0.126,0.0025,True,0.019049150025278058
hsa-mir-29b-1-5p,hsa-mir-491-5p,1820,6482,1,0.0005,0.9845,0.2895,0.002,True,0.01614697512471124
hsa-mir-342-3p,hsa-mir-484,1869,1031,1,0.0,0.0195,0.304,0.001,True,0.009403275492298694
hsa-mir-205-5p,hsa-mir-642a-5p,1869,1515,1,0.0,0.0545,0.7345,0.0,True,0.0
hsa-mir-342-3p,hsa-mir-452-3p,1869,4706,1,0.0,0.065,0.0525,0.0,True,0.0
hsa-mir-205-5p,hsa-mir-328-3p,1869,5329,1,0.0,0.0135,0.069,0.0,True,0.0
hsa-mir-130b-5p,hsa-mir-342-3p,1869,6670,-1,0.0,0.089,0.593,0.0015,True,0.012953285586392123
hsa-mir-1-3p,hsa-mir-378a-5p,1869,672,1,0.0,0.2245,0.6055,0.004,True,0.02688072678631145
hsa-mir-205-5p,hsa-mir-424-5p,1869,896,1,0.0,0.0355,0.4425,0.0085,True,0.0458423612819538
hsa-mir-149-5p,hsa-mir-3127-5p,1874,11054,1,0.0,0.2235,0.0125,0.005,True,0.031594345308282895
hsa-mir-149-5p,hsa-mir-377-5p,1874,11054,1,0.0,0.2145,0.4575,0.0075,True,0.04202729237347214
hsa-mir-149-5p,hsa-mir-197-3p,1874,3054,1,0.0,0.584,0.0125,0.001,True,0.009403275492298694
hsa-mir-326,hsa-mir-377-5p,1874,3054,1,0.0,0.049,0.022,0.0045,True,0.02926225595944342
hsa-mir-103a-2-5p,hsa-mir-484,1874,5743,1,0.0,0.0395,0.0225,0.004,True,0.02688072678631145
hsa-mir-30b-3p,hsa-mir-342-5p,1874,6734,1,0.0075,0.6315,0.077,0.0035,True,0.02440194576153579
hsa-mir-197-3p,hsa-mir-326,1874,71,1,0.0,0.0275,0.9,0.0085,True,0.0458423612819538
