"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-130b-3p","hsa-mir-181a-5p",6667,"SP1",1490,"CCN2",1,0,0.087,0.051,0.0055,0.0287304256437204
"hsa-mir-181b-5p","hsa-mir-2355-5p",6667,"SP1",1490,"CCN2",1,0.0035,0.0365,0.5975,0.008,0.0376461677497095
"hsa-mir-181b-5p","hsa-mir-25-3p",6667,"SP1",1490,"CCN2",1,0.0035,0.0355,0.1505,0.0055,0.0287304256437204
"hsa-mir-183-3p","hsa-mir-96-5p",6934,"TCF7L2",1499,"CTNNB1",1,0,0.012,0.169,0.004,0.0227281560965471
"hsa-mir-183-3p","hsa-mir-183-5p",6934,"TCF7L2",1499,"CTNNB1",1,0,0.0155,0.0405,0.005,0.0268154396978763
"hsa-mir-141-3p","hsa-mir-429",6667,"SP1",1545,"CYP1B1",1,0.0085,0.058,0.117,0,0
"hsa-mir-136-5p","hsa-mir-497-3p",3660,"IRF2",1654,"DDX3X",1,0,0.3735,0.071,0.007,0.0341537157263012
"hsa-mir-15b-3p","hsa-mir-3613-5p",7528,"YY1",1739,"DLG1",1,0.0015,0.0185,0.0105,0.003,0.0183351871000196
"hsa-let-7b-5p","hsa-mir-519a-3p",1875,"E2F5",1808,"DPYSL2",1,0.0065,0.295,0.151,5e-04,0.00443296712206591
"hsa-let-7b-5p","hsa-mir-519d-3p",1875,"E2F5",1808,"DPYSL2",1,0.0065,0.2345,0.215,0.0025,0.0159618135637754
"hsa-let-7b-5p","hsa-mir-520d-3p",1875,"E2F5",1808,"DPYSL2",1,0.0035,0.3625,0.228,5e-04,0.00443296712206591
"hsa-let-7b-5p","hsa-mir-520a-3p",1875,"E2F5",1808,"DPYSL2",1,0.003,0.3095,0.237,0.001,0.00782846506300114
"hsa-let-7b-5p","hsa-mir-519c-3p",1875,"E2F5",1808,"DPYSL2",1,0.0035,0.3605,0.2675,5e-04,0.00443296712206591
"hsa-mir-20b-3p","hsa-mir-2355-5p",4208,"MEF2C",1809,"DPYSL3",1,0,0.032,0.581,0.006,0.0306554527614242
"hsa-let-7b-5p","hsa-mir-31-5p",5089,"PBX2",1859,"DYRK1A",1,0,0.046,0.0505,5e-04,0.00443296712206591
"hsa-let-7b-5p","hsa-mir-522-3p",5089,"PBX2",1859,"DYRK1A",1,0,0.042,0.0525,0,0
"hsa-let-7b-5p","hsa-mir-31-3p",5089,"PBX2",1859,"DYRK1A",1,0,0.0415,0.0715,5e-04,0.00443296712206591
"hsa-let-7b-5p","hsa-mir-30a-3p",5089,"PBX2",1859,"DYRK1A",1,0,0.04,0.24,5e-04,0.00443296712206591
"hsa-mir-497-3p","hsa-mir-577",3091,"HIF1A",1871,"E2F3",1,5e-04,0.0335,0.713,0.0095,0.0426185562780775
"hsa-mir-299-5p","hsa-mir-92b-3p",3091,"HIF1A",1871,"E2F3",1,0.0045,0.02,0.311,0.0025,0.0159618135637754
"hsa-mir-299-3p","hsa-mir-92b-3p",3091,"HIF1A",1871,"E2F3",1,5e-04,0.2955,0.2975,0.001,0.00782846506300114
"hsa-mir-299-3p","hsa-mir-379-5p",3091,"HIF1A",1906,"EDN1",1,0,0.0115,0.1965,0.0015,0.0107739096163952
"hsa-mir-130a-3p","hsa-mir-940",3091,"HIF1A",1906,"EDN1",1,0,0.0175,0.16,0.0025,0.0159618135637754
"hsa-mir-130a-3p","hsa-mir-940",3725,"JUN",1906,"EDN1",1,0,0.0175,0.16,0.0025,0.0159618135637754
"hsa-mir-3065-3p","hsa-mir-582-3p",688,"KLF5",1999,"ELF3",1,0.0035,0.0975,0.2005,0.006,0.0306554527614242
"hsa-mir-181a-5p","hsa-mir-93-5p",7528,"YY1",2033,"EP300",1,0,0.0375,0.017,0.0045,0.0248073403745809
"hsa-mir-181b-5p","hsa-mir-93-5p",7528,"YY1",2033,"EP300",1,0,0.0205,0.015,0.0085,0.0393354775910957
"hsa-mir-136-5p","hsa-mir-485-3p",4801,"NFYB",2035,"EPB41",1,0,0.1215,0.237,0.005,0.0268154396978763
"hsa-mir-516b-5p","hsa-mir-92b-3p",1316,"KLF6",2059,"EPS8",1,0,0.943,0.071,0.0035,0.0205773428678961
"hsa-mir-130a-3p","hsa-mir-516b-5p",7003,"TEAD1",2059,"EPS8",1,0.003,0.032,0.9255,0.002,0.0134607004370037
"hsa-mir-518c-5p","hsa-mir-92b-3p",1316,"KLF6",2059,"EPS8",1,0.001,0.8735,0.096,0.008,0.0376461677497095
"hsa-mir-130a-3p","hsa-mir-518c-5p",7003,"TEAD1",2059,"EPS8",1,0.005,0.036,0.855,0.0015,0.0107739096163952
"hsa-mir-181a-5p","hsa-mir-9-5p",2099,"ESR1",2078,"ERG",1,0.0015,0.1765,0.0535,0.0055,0.0287304256437204
"hsa-mir-181a-5p","hsa-mir-9-5p",639,"PRDM1",2078,"ERG",1,0,0.1765,0.0535,0.0055,0.0287304256437204
"hsa-mir-181a-5p","hsa-mir-9-5p",6886,"TAL1",2078,"ERG",1,0,0.1765,0.0535,0.0055,0.0287304256437204
"hsa-mir-136-5p","hsa-mir-376c-3p",860,"RUNX2",2113,"ETS1",1,0,0.0425,0.049,0.008,0.0376461677497095
"hsa-mir-106a-5p","hsa-mir-497-3p",4212,"MEIS2",2115,"ETV1",1,0,0.0145,0.2385,0.0095,0.0426185562780775
"hsa-mir-20b-5p","hsa-mir-497-3p",4212,"MEIS2",2115,"ETV1",1,0,0.0245,0.245,0,0
"hsa-mir-181b-5p","hsa-mir-92b-3p",8202,"NCOA3",2186,"BPTF",1,0,0.087,0.6925,5e-04,0.00443296712206591
"hsa-mir-15b-3p","hsa-mir-654-3p",8202,"NCOA3",2186,"BPTF",1,0,0.479,0.3635,0.0025,0.0159618135637754
"hsa-mir-20b-5p","hsa-mir-654-3p",8202,"NCOA3",2186,"BPTF",1,0,0.012,0.156,0.005,0.0268154396978763
"hsa-mir-3662","hsa-mir-624-5p",8202,"NCOA3",2186,"BPTF",1,0.0045,0.0835,0.3,0.0055,0.0287304256437204
"hsa-mir-125a-5p","hsa-mir-592",4609,"MYC",2194,"FASN",1,0,0.027,0.0845,0.0085,0.0393354775910957
"hsa-mir-136-5p","hsa-mir-199a-5p",4801,"NFYB",2222,"FDFT1",1,0,0.2115,0.2405,0.004,0.0227281560965471
"hsa-mir-134-5p","hsa-mir-199a-5p",3607,"FOXK2",2222,"FDFT1",1,0.0025,0.042,0.231,0.0085,0.0393354775910957
"hsa-mir-130b-5p","hsa-mir-625-3p",7003,"TEAD1",2274,"FHL2",1,0,0.0895,0.013,0.0095,0.0426185562780775
"hsa-mir-625-3p","hsa-mir-766-3p",7003,"TEAD1",2274,"FHL2",1,0,0.0215,0.0485,0.008,0.0376461677497095
"hsa-mir-16-1-3p","hsa-mir-181a-5p",7003,"TEAD1",2274,"FHL2",1,0,0.671,0.0425,0.003,0.0183351871000196
"hsa-mir-135b-5p","hsa-mir-182-5p",4609,"MYC",2305,"FOXM1",1,0.006,0.0365,0.332,0.008,0.0376461677497095
"hsa-let-7b-5p","hsa-mir-34c-5p",6667,"SP1",2332,"FMR1",1,0,0.0125,0.144,0.004,0.0227281560965471
"hsa-mir-2355-3p","hsa-mir-3613-5p",1958,"EGR1",2335,"FN1",1,0,0.0115,0.224,0.0065,0.0324104879160967
