miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-429,hsa-mir-548b-3p,7702,9425,1,0.001,0.045,0.1605,0.0005,True,0.03359090909090909
hsa-mir-410-3p,hsa-mir-433-3p,7975,26137,1,0.0015,0.101,0.0395,0.0,True,0.0
hsa-mir-410-3p,hsa-mir-654-5p,7975,26137,1,0.0,0.0845,0.016,0.0005,True,0.03359090909090909
hsa-mir-432-5p,hsa-mir-433-3p,7975,26137,1,0.0,0.0275,0.101,0.0,True,0.0
hsa-mir-432-5p,hsa-mir-92b-3p,7975,26137,1,0.0015,0.0365,0.0145,0.0005,True,0.03359090909090909
hsa-mir-369-3p,hsa-mir-766-3p,7975,60468,1,0.0,0.0245,0.478,0.0,True,0.0
hsa-mir-222-3p,hsa-mir-654-3p,8202,204851,1,0.0055,0.5785,0.42,0.0005,True,0.03359090909090909
hsa-mir-200c-3p,hsa-mir-21-3p,8202,23224,1,0.0015,0.3565,0.0975,0.0005,True,0.03359090909090909
hsa-mir-2355-3p,hsa-mir-877-5p,8202,23224,1,0.0005,0.168,0.011,0.0,True,0.0
hsa-mir-1226-3p,hsa-mir-589-3p,8202,55074,1,0.0,0.0135,0.014,0.0005,True,0.03359090909090909
hsa-mir-378a-5p,hsa-mir-766-3p,8202,55074,1,0.0,0.477,0.0505,0.0,True,0.0
hsa-mir-130b-5p,hsa-mir-429,8202,9931,1,0.007,0.105,0.0545,0.0,True,0.0
hsa-mir-338-3p,hsa-mir-942-5p,860,7145,1,0.0,0.247,0.295,0.0,True,0.0
hsa-mir-142-3p,hsa-mir-203a-3p,9314,332,-1,0.003,0.0325,0.1845,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-203a-3p,9575,9620,1,0.0,0.067,0.3365,0.0005,True,0.03359090909090909
