"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-204-5p","hsa-mir-449a",6925,"TCF4",960,"CD44",1,0,0.1925,0.626,0.0095,0.0341758891705326
"hsa-let-7e-5p","hsa-mir-204-5p",1958,"EGR1",960,"CD44",1,0,0.214,0.2175,0,0
"hsa-mir-204-5p","hsa-mir-301a-3p",6925,"TCF4",960,"CD44",1,0,0.2065,0.249,0.0035,0.0159504604572259
"hsa-let-7e-5p","hsa-mir-488-5p",6925,"TCF4",960,"CD44",1,0,0.286,0.155,0.0025,0.0122642883540946
"hsa-mir-301a-3p","hsa-mir-488-5p",6925,"TCF4",960,"CD44",1,0,0.238,0.1655,0.0095,0.0341758891705326
"hsa-mir-181a-2-3p","hsa-mir-488-5p",1958,"EGR1",960,"CD44",1,0,0.031,0.166,0.0045,0.0193509604390578
"hsa-mir-183-5p","hsa-mir-96-3p",1958,"EGR1",960,"CD44",1,0,0.093,0.0385,0.008,0.0300356715027286
"hsa-let-7e-5p","hsa-mir-488-5p",1958,"EGR1",960,"CD44",1,0,0.286,0.155,0.0025,0.0122642883540946
"hsa-mir-181a-2-3p","hsa-mir-204-5p",1958,"EGR1",960,"CD44",1,0,0.049,0.1745,0,0
"hsa-mir-452-5p","hsa-mir-488-5p",6925,"TCF4",960,"CD44",1,5e-04,0.012,0.1175,0.009,0.0328166173832954
"hsa-mir-512-5p","hsa-mir-7-5p",4609,"MYC",967,"CD63",1,0,0.202,0.073,0.003,0.014138677137069
"hsa-mir-516a-5p","hsa-mir-7-5p",4609,"MYC",967,"CD63",1,0,0.1885,0.0785,0.0085,0.0314493031644532
"hsa-mir-204-5p","hsa-mir-320d",1871,"E2F3",990,"CDC6",1,0.001,0.603,0.026,0.0055,0.0225666206043856
"hsa-mir-122-5p","hsa-mir-760",1874,"E2F4",993,"CDC25A",1,0,0.055,0.012,0.0085,0.0314493031644532
"hsa-mir-1224-5p","hsa-mir-497-5p",1874,"E2F4",993,"CDC25A",1,0,0.0185,0.1875,0.001,0.00587513343226847
"hsa-mir-616-5p","hsa-mir-7-5p",5970,"RELA",1026,"CDKN1A",1,0,0.0145,0.038,0.0035,0.0159504604572259
"hsa-mir-141-5p","hsa-mir-486-3p",2305,"FOXM1",1026,"CDKN1A",1,0,0.158,0.4645,0,0
"hsa-mir-181d-5p","hsa-mir-377-5p",4609,"MYC",1050,"CEBPA",-1,0.0035,0.011,0.013,0.005,0.0209836339966524
"hsa-mir-181d-5p","hsa-mir-3065-5p",3662,"IRF4",1075,"CTSC",1,0.007,0.0215,0.0115,0.0055,0.0225666206043856
"hsa-let-7c-5p","hsa-mir-628-3p",4609,"MYC",1104,"RCC1",1,0,0.0125,0.069,0.0015,0.00818926765538431
"hsa-mir-335-5p","hsa-mir-628-3p",4609,"MYC",1104,"RCC1",1,0,0.0845,0.078,5e-04,0.00327524746727045
"hsa-mir-616-5p","hsa-mir-663a",4286,"MITF",1186,"CLCN7",1,5e-04,0.532,0.196,5e-04,0.00327524746727045
"hsa-mir-519d-3p","hsa-mir-873-5p",5465,"PPARA",1374,"CPT1A",-1,0,0.0765,0.013,0.0015,0.00818926765538431
"hsa-mir-520g-3p","hsa-mir-873-5p",5465,"PPARA",1374,"CPT1A",-1,0,0.023,0.0105,0.0055,0.0225666206043856
"hsa-mir-526b-3p","hsa-mir-9-5p",5465,"PPARA",1374,"CPT1A",-1,0,0.0305,0.672,0.0075,0.0285850490651443
"hsa-mir-520c-3p","hsa-mir-873-5p",5465,"PPARA",1374,"CPT1A",-1,0,0.0155,0.012,0.002,0.0102974354294059
"hsa-mir-205-5p","hsa-mir-548j-5p",639,"PRDM1",1385,"CREB1",1,0,0.016,0.014,0.0085,0.0314493031644532
