"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-33a-5p","hsa-mir-429",10320,"IKZF1",23085,"ERC1",1,0,0.0235,0.015,5e-04,0.0184264772214704
"hsa-mir-130b-5p","hsa-mir-30b-5p",860,"RUNX2",23362,"PSD3",1,0,0.357,0.025,5e-04,0.0184264772214704
"hsa-mir-16-1-3p","hsa-mir-19a-3p",7003,"TEAD1",23499,"MACF1",1,0,0.313,0.0655,0,0
"hsa-mir-19a-3p","hsa-mir-589-3p",4208,"MEF2C",23499,"MACF1",1,0,0.0425,0.5885,0,0
"hsa-mir-16-2-3p","hsa-mir-942-5p",4212,"MEIS2",23603,"CORO1C",1,0,0.061,0.1395,0.0015,0.0399330400782014
"hsa-mir-19a-3p","hsa-mir-335-3p",7003,"TEAD1",23731,"TMEM245",1,0,0.017,0.041,0,0
"hsa-mir-18a-3p","hsa-mir-20a-3p",9935,"MAFB",26137,"ZBTB20",1,5e-04,0.087,0.0405,0,0
"hsa-mir-19a-3p","hsa-mir-33a-3p",6925,"TCF4",27086,"FOXP1",1,0,0.208,0.976,0.0015,0.0399330400782014
"hsa-mir-18a-5p","hsa-mir-769-3p",6774,"STAT3",29126,"CD274",1,0.0015,0.013,0.6695,0.0015,0.0399330400782014
"hsa-mir-224-5p","hsa-mir-424-5p",571,"BACH1",50807,"ASAP1",1,0,0.2955,0.189,0.001,0.0302379718726869
"hsa-mir-224-5p","hsa-mir-424-5p",3516,"RBPJ",50807,"ASAP1",1,0.0025,0.2955,0.189,0.001,0.0302379718726869
"hsa-mir-224-5p","hsa-mir-424-5p",405,"ARNT",50807,"ASAP1",1,0,0.2955,0.189,0.001,0.0302379718726869
"hsa-mir-224-5p","hsa-mir-424-5p",2113,"ETS1",50807,"ASAP1",1,0,0.2955,0.189,0.001,0.0302379718726869
"hsa-mir-92a-1-5p","hsa-mir-940",6938,"TCF12",51621,"KLF13",1,0.0015,0.091,0.0295,0.001,0.0302379718726869
"hsa-mir-20a-3p","hsa-mir-29b-1-5p",3660,"IRF2",54778,"RNF111",1,5e-04,0.048,0.1465,0.002,0.0477376570260006
"hsa-mir-224-5p","hsa-mir-625-3p",7003,"TEAD1",57142,"RTN4",1,0.0085,0.5145,0.148,0.002,0.0477376570260006
"hsa-mir-16-1-3p","hsa-mir-203a-3p",7003,"TEAD1",79026,"AHNAK",1,0,0.054,0.12,5e-04,0.0184264772214704
"hsa-mir-16-1-3p","hsa-mir-877-5p",7003,"TEAD1",79026,"AHNAK",1,0,0.0325,0.2795,0.0015,0.0399330400782014
"hsa-mir-18a-3p","hsa-mir-301a-3p",9935,"MAFB",80315,"CPEB4",1,5e-04,0.019,0.0915,0.001,0.0302379718726869
"hsa-mir-188-5p","hsa-mir-30b-5p",4086,"SMAD1",85461,"TANC1",1,0,0.0305,0.0595,0,0
"hsa-mir-221-5p","hsa-mir-485-5p",6773,"STAT2",94240,"EPSTI1",1,0.0015,0.471,0.0305,5e-04,0.0184264772214704
"hsa-mir-19a-3p","hsa-mir-577",7003,"TEAD1",158471,"PRUNE2",1,5e-04,0.0115,0.7895,0.002,0.0477376570260006
"hsa-mir-196a-5p","hsa-mir-503-5p",7003,"TEAD1",158471,"PRUNE2",1,0,0.1115,0.032,0.001,0.0302379718726869
