entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
5476,CTSA,hsa-mir-760,hsa-mir-769-3p,0.0095,FALSE,NA,NA,NA,mirtarbase,tarbase,0.3492577639751553,FALSE
5618,PRLR,hsa-mir-183-5p,hsa-mir-182-5p,0.0055,FALSE,NA,NA,NA,tarbase,tarbase,0.3288333333333333,FALSE
5922,RASA2,hsa-mir-18b-5p,hsa-mir-320b,0.009,FALSE,NA,NA,NA,tarbase,tarbase,0.3436838709677419,FALSE
6095,RORA,hsa-mir-193b-5p,hsa-mir-30b-5p,0.0075,TRUE,NA,NA,NA,tarbase,tarbase,0.3414807692307692,FALSE
6241,RRM2,hsa-mir-664a-5p,hsa-mir-582-5p,0,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0,TRUE
6310,ATXN1,hsa-mir-148a-5p,hsa-mir-148a-3p,0,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/30733641'>PubMedLink</a>,tarbase,tarbase,0,TRUE
6310,ATXN1,hsa-mir-17-5p,hsa-mir-296-5p,0.0075,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/30733641'>PubMedLink</a>,mirtarbase tarbase,tarbase,0.3414807692307692,FALSE
6310,ATXN1,hsa-mir-625-5p,hsa-mir-148a-3p,0,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/30733641'>PubMedLink</a>,tarbase,tarbase,0,TRUE
6319,SCD,hsa-mir-3136-5p,hsa-mir-940,0.004,FALSE,NA,NA,NA,mirtarbase,tarbase,0.30160509554140125,FALSE
6541,SLC7A1,hsa-mir-505-5p,hsa-mir-181d-5p,0.001,FALSE,NA,NA,NA,tarbase,mirtarbase,0.1879047619047619,FALSE
6645,SNTB2,hsa-mir-30b-3p,hsa-mir-182-5p,0.0025,FALSE,NA,NA,NA,tarbase,tarbase,0.26424107142857145,FALSE
6648,SOD2,hsa-mir-181c-3p,hsa-mir-2116-3p,0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>",mirtarbase,mirtarbase,0.3418916967509026,FALSE
6648,SOD2,hsa-mir-183-5p,hsa-mir-331-3p,0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>",tarbase,tarbase,0.3368536585365854,FALSE
6648,SOD2,hsa-mir-183-5p,hsa-mir-331-5p,0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>",tarbase,mirtarbase,0.32344262295081966,FALSE
6648,SOD2,hsa-mir-28-3p,hsa-mir-2116-3p,0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>",tarbase,mirtarbase,0.30160509554140125,FALSE
