entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
4154,MBNL1,hsa-mir-7-1-3p,hsa-mir-92b-3p,0.001,FALSE,NA,tarbase,mirtarbase tarbase,0.0037967444849004,TRUE
4170,MCL1,hsa-mir-873-5p,hsa-mir-494-3p,0.0065,FALSE,NA,tarbase,tarbase,0.01827912326159378,TRUE
4238,MFAP3,hsa-mir-7-5p,hsa-mir-96-5p,0.0065,FALSE,NA,tarbase,tarbase,0.01827912326159378,TRUE
4286,MITF,hsa-mir-182-5p,hsa-mir-200c-3p,0,TRUE,NA,mirtarbase tarbase,tarbase,0,TRUE
4297,KMT2A,hsa-mir-486-3p,hsa-mir-219a-5p,0.0025,TRUE,NA,tarbase,tarbase,0.00830200755565268,TRUE
4297,KMT2A,hsa-mir-942-5p,hsa-mir-219a-5p,0.004,TRUE,NA,tarbase,tarbase,0.01227348257558273,TRUE
4585,MUC4,hsa-mir-3614-3p,hsa-mir-219a-1-3p,0.0045,FALSE,NA,mirtarbase,mirtarbase,0.01352976594301221,TRUE
4609,MYC,hsa-mir-1248,hsa-mir-29a-3p,0.002,TRUE,NA,mirtarbase tarbase,mirtarbase,0.00687181806434939,TRUE
4609,MYC,hsa-mir-1248,hsa-mir-29b-3p,0.003,TRUE,NA,mirtarbase tarbase,mirtarbase tarbase,0.00965844356327753,TRUE
4763,NF1,hsa-mir-873-5p,hsa-mir-486-5p,0.003,FALSE,NA,tarbase,tarbase,0.00965844356327753,TRUE
4771,NF2,hsa-mir-452-3p,hsa-mir-92b-3p,5e-4,FALSE,NA,tarbase,mirtarbase,0.00205864591801184,TRUE
4939,OAS2,hsa-mir-106a-5p,hsa-mir-1224-5p,0.0045,FALSE,NA,tarbase,tarbase,0.01352976594301221,TRUE
4939,OAS2,hsa-mir-1224-5p,hsa-mir-335-5p,0.005,FALSE,NA,tarbase,mirtarbase tarbase,0.01475610432852386,TRUE
4939,OAS2,hsa-mir-219a-1-3p,hsa-mir-1224-5p,0.0025,FALSE,NA,tarbase,tarbase,0.00830200755565268,TRUE
4973,OLR1,hsa-mir-651-5p,hsa-mir-616-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
4983,OPHN1,hsa-mir-1269a,hsa-mir-548o-3p,0.003,FALSE,NA,mirtarbase,mirtarbase,0.00965844356327753,TRUE
4983,OPHN1,hsa-mir-1269a,hsa-mir-92a-1-5p,0.001,FALSE,NA,mirtarbase,mirtarbase,0.0037967444849004,TRUE
5010,CLDN11,hsa-mir-377-3p,hsa-mir-154-3p,0.001,FALSE,NA,tarbase,tarbase,0.0037967444849004,TRUE
5324,PLAG1,hsa-mir-1269a,hsa-mir-29c-3p,0.005,TRUE,NA,tarbase,mirtarbase tarbase,0.01475610432852386,TRUE
5451,POU2F1,hsa-mir-497-3p,hsa-mir-224-5p,0.004,TRUE,NA,mirtarbase tarbase,tarbase,0.01227348257558273,TRUE
5795,PTPRJ,hsa-mir-133a-3p,hsa-mir-367-3p,0.0095,FALSE,NA,tarbase,tarbase,0.0248931782907541,TRUE
5813,PURA,hsa-mir-616-5p,hsa-mir-188-3p,0.006,TRUE,NA,tarbase,mirtarbase,0.01713305412371134,TRUE
5915,RARB,hsa-mir-195-5p,hsa-mir-424-5p,5e-4,TRUE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
6132,RPL8,hsa-mir-138-5p,hsa-mir-3065-3p,0.0015,FALSE,NA,tarbase,tarbase,0.005383963824115,TRUE
6182,MRPL12,hsa-mir-1226-3p,hsa-mir-125b-2-3p,0.001,FALSE,NA,tarbase,mirtarbase,0.0037967444849004,TRUE
6319,SCD,hsa-mir-224-5p,hsa-mir-196b-5p,0.003,FALSE,NA,tarbase,tarbase,0.00965844356327753,TRUE
6367,CCL22,hsa-mir-1271-5p,hsa-mir-149-3p,0.0055,FALSE,NA,mirtarbase,mirtarbase,0.01596242632612966,TRUE
6513,SLC2A1,hsa-mir-1538,hsa-mir-1291,0.002,FALSE,NA,mirtarbase,mirtarbase tarbase,0.00687181806434939,TRUE
6648,SOD2,hsa-mir-299-5p,hsa-mir-204-5p,0.0025,FALSE,NA,tarbase,mirtarbase tarbase,0.00830200755565268,TRUE
6648,SOD2,hsa-mir-577,hsa-mir-204-5p,0.0045,FALSE,NA,mirtarbase,mirtarbase tarbase,0.01352976594301221,TRUE
6672,SP100,hsa-mir-18b-5p,hsa-mir-335-3p,0.003,TRUE,NA,mirtarbase,tarbase,0.00965844356327753,TRUE
6720,SREBF1,hsa-mir-342-5p,hsa-mir-495-3p,0.007,TRUE,NA,mirtarbase tarbase,mirtarbase,0.0194253287413901,TRUE
6838,SURF6,hsa-mir-493-3p,hsa-mir-940,0.001,FALSE,NA,tarbase,tarbase,0.0037967444849004,TRUE
6867,TACC1,hsa-mir-20b-5p,hsa-mir-96-5p,0.002,FALSE,NA,tarbase,tarbase,0.00687181806434939,TRUE
6867,TACC1,hsa-mir-548j-5p,hsa-mir-500a-5p,0.007,FALSE,NA,tarbase,mirtarbase tarbase,0.0194253287413901,TRUE
7037,TFRC,hsa-mir-124-3p,hsa-mir-615-3p,0.004,FALSE,NA,tarbase,tarbase,0.01227348257558273,TRUE
7037,TFRC,hsa-mir-615-3p,hsa-mir-7-5p,0.0015,FALSE,NA,tarbase,mirtarbase,0.005383963824115,TRUE
7070,THY1,hsa-mir-33b-3p,hsa-mir-139-3p,0.004,FALSE,NA,mirtarbase,mirtarbase,0.01227348257558273,TRUE
7094,TLN1,hsa-mir-182-5p,hsa-mir-1271-5p,0.005,FALSE,NA,tarbase,tarbase,0.01475610432852386,TRUE
7094,TLN1,hsa-mir-182-5p,hsa-mir-370-3p,5e-4,FALSE,NA,tarbase,tarbase,0.00205864591801184,TRUE
7094,TLN1,hsa-mir-182-5p,hsa-mir-432-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
7128,TNFAIP3,hsa-mir-940,hsa-mir-519a-5p,0.006,FALSE,NA,tarbase,mirtarbase,0.01713305412371134,TRUE
7158,TP53BP1,hsa-mir-29b-3p,hsa-mir-96-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
7158,TP53BP1,hsa-mir-96-5p,hsa-mir-29a-3p,0.004,FALSE,NA,tarbase,tarbase,0.01227348257558273,TRUE
7421,VDR,hsa-mir-302c-3p,hsa-mir-122-5p,0,TRUE,NA,tarbase,mirtarbase,0,TRUE
7428,VHL,hsa-mir-1248,hsa-mir-767-5p,0.003,FALSE,NA,mirtarbase,mirtarbase,0.00965844356327753,TRUE
7428,VHL,hsa-mir-301b-3p,hsa-mir-767-5p,0,FALSE,NA,tarbase,mirtarbase,0,TRUE
7764,ZNF217,hsa-mir-192-3p,hsa-mir-577,0,TRUE,NA,tarbase,tarbase,0,TRUE
