"TF","ACC","BLCA","BRCA","CESC","COAD","DLBC","ESCA","HNSC","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OV","PAAD","PCPG","PRAD","SARC","SKCM","STAD","TGCT","THCA","THYM","UCEC","UVM"
"STAT1",0,0.0111972437553833,0.0109529025191676,0.0666666666666667,0,0,0,0.015625,0,0,0.00726117540276832,0.0105263157894737,0.0148148148148148,0,0,0,0.0666666666666667,0,0.0215596330275229,0,0.00629235237173282,0.00806451612903226,0.0153846153846154,0.00788643533123028,0.0238095238095238,0
"E2F1",0,0.016365202411714,0.0076670317634173,0,0,0,0,0.00520833333333333,0,0,0.0145223508055366,0.0105263157894737,0,0,0,0.0344827586206897,0,0,0.0211009174311927,0,0.00484027105517909,0.00448028673835125,0.00769230769230769,0.0299684542586751,0,0
"E2F4",0,0,0.00876232201533406,0,0,0,0,0.015625,0,0,0.022237349670978,0,0.0222222222222222,0,0,0,0,0,0.000458715596330275,0,0.00193610842207164,0.0161290322580645,0.00769230769230769,0.083596214511041,0,0
"HIF1A",0,0.0327304048234281,0.0558598028477547,0,0.0886075949367089,0,0.0625,0.0677083333333333,0,0.024390243902439,0.0732924892216928,0.0526315789473684,0.103703703703704,0.0975609756097561,0,0,0,0.0535714285714286,0.0165137614678899,0,0.00242013552758954,0.00537634408602151,0.0461538461538462,0.102523659305994,0.0476190476190476,0
"MYC",0,0.0749354005167959,0.0328587075575027,0.2,0.0126582278481013,0,0,0.0416666666666667,0,0.0975609756097561,0.0844111640571818,0.147368421052632,0.037037037037037,0.121951219512195,0.142857142857143,0.0689655172413793,0,0,0.0284403669724771,0.5,0.0150048402710552,0.116487455197133,0.1,0.0441640378548896,0.0476190476190476,0
"ELF1",0,0.0189491817398794,0.0175246440306681,0.0666666666666667,0,0,0,0.015625,0.142857142857143,0,0.0090764692534604,0.0210526315789474,0.0296296296296296,0,0,0,0.0666666666666667,0.0357142857142857,0.0114678899082569,0,0.00677637947725073,0.000896057347670251,0,0,0,0
"NCOA2",0,0.00861326442721792,0.0186199342825849,0,0,0,0,0,0,0,0.00340367597004765,0,0.0148148148148148,0.024390243902439,0,0,0,0,0.026605504587156,0,0.000484027105517909,0.010752688172043,0.00769230769230769,0.00473186119873817,0,0
"STAT3",0,0.0241171403962102,0.0076670317634173,0,0.0759493670886076,0,0.0625,0.015625,0,0,0.0181529385069208,0.0105263157894737,0.0222222222222222,0.024390243902439,0,0,0,0.0535714285714286,0.0467889908256881,0,0.021297192642788,0.0161290322580645,0.00769230769230769,0.0110410094637224,0,0
"AR",0,0.00516795865633075,0.0240963855421687,0,0.0253164556962025,0,0.125,0.0208333333333333,0,0.024390243902439,0.00975720444746993,0.0315789473684211,0.00740740740740741,0,0,0.0344827586206897,0,0.0178571428571429,0.0302752293577982,0,0.0183930300096805,0.0017921146953405,0,0.0488958990536278,0.0238095238095238,0
"ARID2",0,0.037037037037037,0.0120481927710843,0,0,0,0,0.0104166666666667,0,0.024390243902439,0.0090764692534604,0.0105263157894737,0,0,0,0,0,0,0.0169724770642202,0,0.0295256534365924,0,0.0461538461538462,0.00630914826498423,0,0
"ESR1",0,0.0180878552971576,0.0262869660460022,0.133333333333333,0.0379746835443038,0,0.0625,0.0260416666666667,0,0,0.00476514635806671,0.0210526315789474,0.0444444444444444,0.024390243902439,0,0,0,0.0535714285714286,0.0165137614678899,0,0.0130687318489835,0.0232974910394265,0.0384615384615385,0.00946372239747634,0.0238095238095238,0
"ELK4",0,0.00516795865633075,0.00438116100766703,0,0,0,0,0,0,0,0.0122532334921715,0.0105263157894737,0,0,0,0,0,0,0.000458715596330275,0,0.015972894482091,0.017921146953405,0,0,0,0
"MEF2A",0,0.066322136089578,0.0262869660460022,0,0.0379746835443038,0,0.0625,0.0520833333333333,0.285714285714286,0.048780487804878,0.0165645563875652,0.0105263157894737,0.0148148148148148,0,0.142857142857143,0,0,0.0357142857142857,0.102293577981651,0,0.0968054211035818,0.0403225806451613,0.0153846153846154,0.026813880126183,0,0
