"miRNA1","miRNA2","TF1","hgnc_symbol_tf1","TF2","hgnc_symbol_tf2","Target","hgnc_symbol_target","ModeOfRegulation1","ModeOfRegulation2","TwoVar_mirna1_tf1","TwoVar_mirna1_target","TwoVar_mirna2_tf2","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-130b-3p","hsa-mir-301a-3p",6774,"STAT3",4790,"NFKB1",3091,"HIF1A",1,1,0,0.1035,0.0075,0.032,0.001,0.0467660828561805
"hsa-mir-130b-3p","hsa-mir-301a-3p",4609,"MYC",4790,"NFKB1",3091,"HIF1A",1,1,0,0.1035,0.0075,0.032,0.001,0.0467660828561805
"hsa-mir-139-5p","hsa-mir-96-5p",2353,"FOS",4790,"NFKB1",3569,"IL6",1,1,0.005,0.04,0,0.1175,0,0
"hsa-mir-296-3p","hsa-mir-31-5p",6776,"STAT5A",6774,"STAT3",3572,"IL6ST",1,1,0,0.016,0.0095,0.097,0,0
"hsa-mir-10b-3p","hsa-mir-20b-3p",3662,"IRF4",4094,"MAF",3695,"ITGB7",1,1,0,0.0185,0.006,0.212,0,0
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",2099,"ESR1",3726,"JUNB",1,1,0,0.036,0,0.032,0,0
"hsa-mir-9-3p","hsa-mir-9-5p",2099,"ESR1",4790,"NFKB1",3726,"JUNB",1,1,0,0.036,0,0.032,0,0
"hsa-mir-106a-5p","hsa-mir-17-5p",6774,"STAT3",2099,"ESR1",3726,"JUNB",1,1,0,0.181,0,0.2765,0.001,0.0467660828561805
"hsa-mir-106a-5p","hsa-mir-17-5p",2099,"ESR1",6774,"STAT3",3726,"JUNB",1,1,0,0.181,0,0.2765,0.001,0.0467660828561805
"hsa-mir-9-3p","hsa-mir-9-5p",2113,"ETS1",4790,"NFKB1",4318,"MMP9",1,1,0,0.013,0,0.0195,5e-04,0.029853472371533
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",2113,"ETS1",4318,"MMP9",1,1,0,0.013,0,0.0195,5e-04,0.029853472371533
"hsa-mir-129-5p","hsa-mir-219a-1-3p",2113,"ETS1",2099,"ESR1",4846,"NOS3",1,1,0,0.541,0,0.182,0,0
"hsa-mir-18a-5p","hsa-mir-18b-5p",3091,"HIF1A",2099,"ESR1",4846,"NOS3",1,1,5e-04,0.053,0.0025,0.094,0,0
"hsa-mir-129-5p","hsa-mir-219a-1-3p",2099,"ESR1",2113,"ETS1",4846,"NOS3",1,1,0,0.541,0,0.182,0,0
"hsa-mir-17-5p","hsa-mir-1910-5p",2099,"ESR1",3091,"HIF1A",4846,"NOS3",1,1,0,0.0725,0.0055,0.7,0,0
"hsa-mir-17-5p","hsa-mir-1910-5p",3091,"HIF1A",2099,"ESR1",4846,"NOS3",1,1,0.0035,0.0725,0.0065,0.7,0,0
"hsa-let-7c-5p","hsa-mir-296-3p",6774,"STAT3",6776,"STAT5A",5551,"PRF1",1,1,0,0.341,0.0015,0.025,0,0
"hsa-mir-19a-3p","hsa-mir-20a-5p",3091,"HIF1A",2034,"EPAS1",8553,"BHLHE40",1,1,0.001,0.016,0,0.0485,0.001,0.0467660828561805
"hsa-mir-19a-3p","hsa-mir-20a-5p",3091,"HIF1A",2627,"GATA6",8553,"BHLHE40",1,1,0.001,0.016,5e-04,0.0485,0.001,0.0467660828561805
"hsa-mir-200a-3p","hsa-mir-224-5p",2627,"GATA6",3164,"NR4A1",8553,"BHLHE40",1,1,0.001,0.0875,0.009,0.022,5e-04,0.029853472371533
"hsa-mir-17-5p","hsa-mir-20a-5p",2099,"ESR1",6774,"STAT3",9021,"SOCS3",1,1,0,0.0105,0.004,0.1615,0.001,0.0467660828561805
"hsa-mir-17-5p","hsa-mir-20a-5p",6774,"STAT3",2099,"ESR1",9021,"SOCS3",1,1,5e-04,0.0105,0.0025,0.1615,0.001,0.0467660828561805
"hsa-mir-182-5p","hsa-mir-183-5p",6773,"STAT2",3660,"IRF2",9636,"ISG15",1,1,0.0055,0.1195,5e-04,0.0145,0,0
"hsa-mir-106a-5p","hsa-mir-19a-3p",10320,"IKZF1",6689,"SPIB",25816,"TNFAIP8",1,1,0.009,0.129,0.0085,0.2925,0,0
"hsa-mir-33a-3p","hsa-mir-362-5p",8648,"NCOA1",7003,"TEAD1",50807,"ASAP1",1,1,0.009,0.2685,0.001,0.117,0,0
"hsa-mir-141-3p","hsa-mir-3065-5p",6938,"TCF12",2625,"GATA3",64778,"FNDC3B",1,1,0.0095,0.0135,0.002,0.0145,0,0
