"miRNA1","miRNA2","TF1","hgnc_symbol_tf1","TF2","hgnc_symbol_tf2","Target","hgnc_symbol_target","ModeOfRegulation1","ModeOfRegulation2","TwoVar_mirna1_tf1","TwoVar_mirna1_target","TwoVar_mirna2_tf2","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-135b-5p","hsa-mir-629-3p",4208,"MEF2C",4772,"NFATC1",4739,"NEDD9",1,1,0,0.523,5e-04,0.055,0.002,0.0429985193959135
"hsa-mir-135b-5p","hsa-mir-629-3p",4205,"MEF2A",4772,"NFATC1",4739,"NEDD9",1,1,0,0.523,5e-04,0.055,0.002,0.0429985193959135
"hsa-mir-1180-3p","hsa-mir-335-3p",2113,"ETS1",2099,"ESR1",4846,"NOS3",1,1,0,0.0645,0,0.3845,0,0
"hsa-mir-196a-5p","hsa-mir-19a-3p",2308,"FOXO1",2099,"ESR1",4846,"NOS3",1,1,0.004,0.3265,0,0.2465,5e-04,0.01666480489671
"hsa-mir-10a-3p","hsa-mir-18a-5p",2308,"FOXO1",2099,"ESR1",4846,"NOS3",1,1,0.001,0.057,0,0.067,0,0
"hsa-mir-1180-3p","hsa-mir-942-5p",2308,"FOXO1",2113,"ETS1",4846,"NOS3",1,1,0.001,0.037,0,0.1385,0.001,0.0272943609022556
"hsa-mir-301a-3p","hsa-mir-570-3p",2113,"ETS1",2099,"ESR1",4846,"NOS3",1,1,0,0.2395,0.0025,0.183,0.0015,0.0357689402233414
"hsa-mir-18a-5p","hsa-mir-196a-5p",2308,"FOXO1",2099,"ESR1",4846,"NOS3",1,1,0.002,0.0735,0,0.3105,0,0
"hsa-mir-10a-3p","hsa-mir-18a-5p",2099,"ESR1",2308,"FOXO1",4846,"NOS3",1,1,0,0.057,0.007,0.067,0,0
"hsa-mir-18a-5p","hsa-mir-196a-5p",2099,"ESR1",2308,"FOXO1",4846,"NOS3",1,1,0,0.0735,0.0065,0.3105,0,0
"hsa-mir-196b-5p","hsa-mir-429",3091,"HIF1A",6667,"SP1",5045,"FURIN",1,1,0,0.035,0.003,0.3725,5e-04,0.01666480489671
"hsa-mir-335-3p","hsa-mir-338-5p",2099,"ESR1",5090,"PBX3",5087,"PBX1",1,1,0,0.0315,0.003,0.2175,0,0
"hsa-mir-224-5p","hsa-mir-592",55810,"FOXJ2",2309,"FOXO3",5290,"PIK3CA",1,1,0.004,0.0305,0,0.093,0,0
"hsa-mir-18a-5p","hsa-mir-19a-3p",2355,"FOSL2",3091,"HIF1A",5329,"PLAUR",1,1,0.0065,0.063,0,0.125,0.0025,0.0494077216223573
"hsa-mir-16-2-3p","hsa-mir-429",2113,"ETS1",3091,"HIF1A",5743,"PTGS2",1,1,0,0.04,0.0085,0.0195,0.0025,0.0494077216223573
"hsa-mir-18a-5p","hsa-mir-203a-3p",1385,"CREB1",6774,"STAT3",5743,"PTGS2",1,1,0,0.03,0.001,0.5245,0.001,0.0272943609022556
"hsa-mir-18a-5p","hsa-mir-301a-3p",6774,"STAT3",3091,"HIF1A",5743,"PTGS2",1,1,0.002,0.0515,0.001,0.0105,0,0
"hsa-mir-30c-1-3p","hsa-mir-577",4212,"MEIS2",7003,"TEAD1",6453,"ITSN1",1,1,0.0035,0.037,0,0.0155,0.0015,0.0357689402233414
"hsa-mir-301b-3p","hsa-mir-942-5p",4772,"NFATC1",2099,"ESR1",6595,"SMARCA2",1,1,0,0.107,5e-04,0.0215,0.002,0.0429985193959135
"hsa-mir-196b-5p","hsa-mir-33a-5p",10320,"IKZF1",5452,"POU2F2",6793,"STK10",1,1,5e-04,0.1395,5e-04,0.184,0.0025,0.0494077216223573
"hsa-mir-196b-5p","hsa-mir-33a-5p",5452,"POU2F2",10320,"IKZF1",6793,"STK10",1,1,0,0.1395,0,0.184,0.0025,0.0494077216223573
"hsa-mir-31-5p","hsa-mir-625-3p",2115,"ETV1",6667,"SP1",7402,"UTRN",1,1,0.0015,0.0865,0.001,0.098,0,0
"hsa-mir-31-3p","hsa-mir-625-3p",2115,"ETV1",6667,"SP1",7402,"UTRN",1,1,5e-04,0.0205,0,0.0975,5e-04,0.01666480489671
"hsa-mir-31-3p","hsa-mir-625-3p",6667,"SP1",2115,"ETV1",7402,"UTRN",1,1,0.005,0.0205,0.0035,0.0975,5e-04,0.01666480489671
"hsa-mir-135b-5p","hsa-mir-20a-3p",4208,"MEF2C",4150,"MAZ",8289,"ARID1A",1,1,0,0.0505,0,0.5085,0.0015,0.0357689402233414
"hsa-mir-429","hsa-mir-7-5p",3091,"HIF1A",7376,"NR1H2",8553,"BHLHE40",1,1,0.003,0.3515,0,0.1105,0.001,0.0272943609022556
"hsa-mir-429","hsa-mir-7-5p",3091,"HIF1A",405,"ARNT",8553,"BHLHE40",1,1,0.003,0.3515,0,0.1105,0.001,0.0272943609022556
"hsa-mir-429","hsa-mir-7-5p",3091,"HIF1A",2034,"EPAS1",8553,"BHLHE40",1,1,0.003,0.3515,0,0.1105,0.001,0.0272943609022556
"hsa-mir-18a-5p","hsa-mir-19a-3p",4205,"MEF2A",3516,"RBPJ",8650,"NUMB",1,1,0,0.0245,0,0.1675,5e-04,0.01666480489671
"hsa-mir-1275","hsa-mir-30b-5p",4094,"MAF",3662,"IRF4",9267,"CYTH1",1,1,5e-04,0.0385,0,0.9075,0.002,0.0429985193959135
"hsa-mir-1275","hsa-mir-30b-5p",3662,"IRF4",4094,"MAF",9267,"CYTH1",1,1,0,0.0385,0,0.9075,0.002,0.0429985193959135
"hsa-mir-339-5p","hsa-mir-7-5p",5079,"PAX5",7376,"NR1H2",9612,"NCOR2",1,1,5e-04,0.5205,0,0.115,0,0
"hsa-mir-301a-3p","hsa-mir-577",7003,"TEAD1",6925,"TCF4",22998,"LIMCH1",1,1,0.001,0.065,0,0.1305,0.002,0.0429985193959135
"hsa-mir-301a-3p","hsa-mir-577",6925,"TCF4",7003,"TEAD1",22998,"LIMCH1",1,1,0,0.065,0,0.1305,0.002,0.0429985193959135
"hsa-mir-18a-3p","hsa-mir-18a-5p",10765,"KDM5B",9935,"MAFB",23002,"DAAM1",1,1,5e-04,0.065,0,0.018,0.001,0.0272943609022556
"hsa-mir-18a-3p","hsa-mir-18a-5p",9935,"MAFB",10765,"KDM5B",23002,"DAAM1",1,1,0,0.065,0,0.018,0.001,0.0272943609022556
"hsa-let-7g-3p","hsa-mir-18b-5p",60468,"BACH2",10765,"KDM5B",23002,"DAAM1",1,1,0,0.129,0.0015,0.0755,0.001,0.0272943609022556
"hsa-mir-224-5p","hsa-mir-625-3p",4205,"MEF2A",7003,"TEAD1",23034,"SAMD4A",1,1,0,0.0145,0,0.0145,0,0
"hsa-mir-33a-5p","hsa-mir-942-5p",10320,"IKZF1",405,"ARNT",23085,"ERC1",1,1,0,0.014,0.003,0.355,0.0015,0.0357689402233414
"hsa-mir-33a-5p","hsa-mir-942-5p",10320,"IKZF1",6664,"SOX11",23085,"ERC1",1,1,0,0.014,0,0.355,0.0015,0.0357689402233414
"hsa-let-7c-5p","hsa-mir-30b-5p",4094,"MAF",5090,"PBX3",23150,"FRMD4B",1,1,0,0.9225,0.005,0.0225,5e-04,0.01666480489671
"hsa-let-7c-5p","hsa-mir-30b-5p",5090,"PBX3",4094,"MAF",23150,"FRMD4B",1,1,0,0.9225,0,0.0225,5e-04,0.01666480489671
"hsa-mir-92a-1-5p","hsa-mir-940",4205,"MEF2A",687,"KLF9",23328,"SASH1",1,1,0.001,0.013,0.001,0.178,0.0015,0.0357689402233414
"hsa-mir-92a-1-5p","hsa-mir-940",687,"KLF9",4205,"MEF2A",23328,"SASH1",1,1,0,0.013,0.001,0.178,0.0015,0.0357689402233414
"hsa-mir-577","hsa-mir-92a-1-5p",7003,"TEAD1",4205,"MEF2A",23328,"SASH1",1,1,0,0.161,5e-04,0.019,0.0025,0.0494077216223573
"hsa-mir-10a-3p","hsa-mir-203a-3p",860,"RUNX2",5090,"PBX3",26230,"TIAM2",1,1,0.0045,0.5035,0,0.0395,0,0
"hsa-mir-10a-3p","hsa-mir-203a-3p",5090,"PBX3",860,"RUNX2",26230,"TIAM2",1,1,0.001,0.5035,0.006,0.0395,0,0
"hsa-mir-16-2-3p","hsa-mir-19a-3p",4205,"MEF2A",3516,"RBPJ",50650,"ARHGEF3",1,1,0.001,0.6265,5e-04,0.016,0,0
"hsa-let-7g-3p","hsa-mir-19a-3p",60468,"BACH2",4205,"MEF2A",50650,"ARHGEF3",1,1,0,0.33,0,0.014,5e-04,0.01666480489671
"hsa-mir-144-3p","hsa-mir-219a-5p",8648,"NCOA1",2113,"ETS1",50807,"ASAP1",1,1,5e-04,0.02,0.002,0.274,0.001,0.0272943609022556
"hsa-mir-203a-3p","hsa-mir-491-3p",4205,"MEF2A",860,"RUNX2",56243,"KIAA1217",1,1,0.007,0.035,0.0085,0.6895,0.0015,0.0357689402233414
"hsa-mir-142-3p","hsa-mir-362-5p",7003,"TEAD1",4205,"MEF2A",90627,"STARD13",1,1,0.0025,0.0115,0,0.063,0.002,0.0429985193959135
"hsa-mir-33a-3p","hsa-mir-503-5p",7003,"TEAD1",6938,"TCF12",117583,"PARD3B",1,1,0.002,0.0165,0.008,0.7505,0.0015,0.0357689402233414
