"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12"
4233,"MET","hsa-mir-26b-3p","hsa-mir-194-3p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16189274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23379953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23379953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23745832'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29135973'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29135973'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29484431'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29876933'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31338678'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31338678'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8289471'>PubMedLink</a>","tarbase","tarbase","hsa-mir-194-3p","hsa-mir-26b-3p",4233,11.341286558846,11.2823986618776,"12.1183679482447","12.5113978008512","12.5108778393198","""""","""""","""""","""""",""""""
4277,"MICB","hsa-mir-30b-3p","hsa-mir-30b-5p",0.009,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-30b-5p","hsa-mir-30b-3p",4277,16.7377660354123,17.027842278453,"16.2279429195327","17.3970602627742","16.1097959596836","15.7415235593071","17.0656615709631","18.8039369924915","17.9028190691355",""""""
4613,"MYCN","hsa-mir-331-5p","hsa-mir-19a-3p",0.0095,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31748534'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8062825'>PubMedLink</a>","mirtarbase","mirtarbase tarbase","hsa-mir-19a-3p","hsa-mir-331-5p",4613,9.95035575342776,10.7182174891311,"9.73858866715797","10.8729797627811","10.6140684232259","""""","""""","""""","""""",""""""
4627,"MYH9","hsa-let-7c-5p","hsa-mir-758-3p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-758-3p","hsa-let-7c-5p",4627,21.285368444763,20.4449904473149,"20.834980376023","20.4216441382479","""""","""""","""""","""""","""""",""""""
4627,"MYH9","hsa-mir-1296-5p","hsa-mir-758-3p",0.0065,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-758-3p","hsa-mir-1296-5p",4627,20.9202701671931,20.4216441382479,"""""","""""","""""","""""","""""","""""","""""",""""""
4659,"PPP1R12A","hsa-mir-30b-5p","hsa-mir-183-5p",0.008,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-183-5p","hsa-mir-30b-5p",4659,15.7609299674189,15.9693136984041,"16.3699908632828","16.1970015035496","16.0954618369417","""""","""""","""""","""""",""""""
4853,"NOTCH2","hsa-mir-125b-2-3p","hsa-let-7c-5p",0.006,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22695918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22891276'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28941602'>PubMedLink</a>","tarbase","mirtarbase","hsa-let-7c-5p","hsa-mir-125b-2-3p",4853,16.9776735707275,15.5309790464111,"15.7122280066677","15.956039346176","16.3717176890763","15.2902693894724","17.2466067667176","15.2356187609724","""""",""""""
4853,"NOTCH2","hsa-mir-654-3p","hsa-mir-1271-5p",0.007,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22695918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22891276'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28941602'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-1271-5p","hsa-mir-654-3p",4853,16.3876518128061,16.138277539562,"15.0633745991839","16.4999141615024","""""","""""","""""","""""","""""",""""""
5411,"PNN","hsa-mir-150-3p","hsa-mir-320b",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-320b","hsa-mir-150-3p",5411,19.7691081601176,18.8380243581952,"18.450913940489","18.7247750664467","18.603394611058","19.4709266935744","""""","""""","""""",""""""
5476,"CTSA","hsa-mir-760","hsa-mir-769-3p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-769-3p","hsa-mir-760",5476,19.0795506798653,19.7057757457821,"20.243608670366","19.0098453368728","18.7220844021376","18.8084086851536","""""","""""","""""",""""""
