"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19"
1523,"CUX1","hsa-mir-188-3p","hsa-mir-1270",0.0085,TRUE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/16948818'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23303631'>PubMedLink</a>","tarbase","tarbase",0.81044931969021,0.0265426656573371,"hsa-mir-1270","hsa-mir-188-3p",1523,17.3184845059431,17.9978920370464,"18.4033094699813","18.0501936617082","17.6075415579531","17.4006520277516","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1831,"TSC22D3","hsa-mir-18a-5p","hsa-mir-18b-5p",0.002,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30458288'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gREAD/30458288'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.328162254424069,-0.106242081424113,"hsa-mir-18b-5p","hsa-mir-18a-5p",1831,17.1108834883312,17.626058191292,"16.8634301420819","15.9429529060216","18.1487896334968","16.6556821061512","17.4384872452944","18.1400956490813","15.1032296211221","18.065728461005","16.4345364911703","""""","""""","""""","""""","""""",""""""
2004,"ELK3","hsa-mir-552-3p","hsa-mir-1301-3p",0.0075,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28394712'>PubMedLink</a>","tarbase","tarbase",0.798454674797428,-0.0285009577258961,"hsa-mir-1301-3p","hsa-mir-552-3p",2004,16.3369627377459,16.9944742153679,"16.9532281667771","16.2752435607","16.0821002310082","17.2899581876931","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2308,"FOXO1","hsa-mir-135b-5p","hsa-mir-33a-3p",0.005,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22180177'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29341479'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30071508'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30613961'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31030593'>PubMedLink</a>","mirtarbase","tarbase",0.444781120720006,-0.0857100937559013,"hsa-mir-33a-3p","hsa-mir-135b-5p",2308,16.2034852592682,16.2325643871942,"16.3088841459495","16.4506280505567","15.8143588429831","16.3600378203062","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2908,"NR3C1","hsa-mir-29b-3p","hsa-mir-301b-3p",0.0035,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17167179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24622770'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/3342039'>PubMedLink</a>","tarbase","tarbase",0.0463143949137207,-0.229861808488768,"hsa-mir-301b-3p","hsa-mir-29b-3p",2908,15.1493796379483,14.6618198704133,"15.3403294210849","15.9364810015646","12.6324013057041","12.3573763861999","15.3636478934015","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3303,"HSPA1A","hsa-mir-146a-5p","hsa-mir-196b-5p",0.0025,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/28591704'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/17594690'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27473057'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.716663892389592,-0.0394290110940977,"hsa-mir-196b-5p","hsa-mir-146a-5p",3303,16.6765041530152,20.7111241864954,"16.8289602380749","17.190214669372","17.6062572016145","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3400,"ID4","hsa-mir-577","hsa-mir-215-5p",0.006,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/28150434'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gREAD/29199273'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/15569977'>PubMedLink</a>","tarbase","mirtarbase",0.703291275756488,-0.0435109355330234,"hsa-mir-215-5p","hsa-mir-577",3400,14.5523683752521,15.4999222834627,"17.1866368638055","14.7675398019983","17.1173643671743","16.062848504138","14.8259550526013","15.7378679294024","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3423,"IDS","hsa-mir-376a-5p","hsa-mir-18b-5p",0.0015,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30458288'>PubMedLink</a>",NA,"tarbase","tarbase",0.666575704222886,-0.0479287025919784,"hsa-mir-18b-5p","hsa-mir-376a-5p",3423,17.422644561197,16.8950059360981,"16.849346444953","18.0619261930996","16.7157812793468","16.0610261510055","17.4302123761123","17.0504024523769","17.5226362225414","16.8403310408483","""""","""""","""""","""""","""""","""""",""""""
3559,"IL2RA","hsa-mir-1237-3p","hsa-mir-188-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.995582328002502,-0.00067892068024332,"hsa-mir-188-5p","hsa-mir-1237-3p",3559,14.0790234553871,14.0944532742504,"14.6435640489134","13.2907340413882","14.5397225285367","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3570,"IL6R","hsa-mir-34b-3p","hsa-mir-1307-3p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26091352'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31668584'>PubMedLink</a>","mirtarbase","mirtarbase",0.0389034760968127,-0.234627305808979,"hsa-mir-1307-3p","hsa-mir-34b-3p",3570,15.8517748832253,14.3511747648224,"14.4294187053779","14.9887794821584","15.944123458183","15.6967999601904","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
