"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40"
10150,"MBNL2","hsa-mir-183-5p","hsa-mir-33a-5p",0.0055,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31401160'>PubMedLink</a>",NA,"tarbase","tarbase",0.574819290146162,0.0694263331403713,0.899115456865563,-0.0265006015525863,0.772245867997984,-0.0295396153406301,"hsa-mir-33a-5p","hsa-mir-183-5p",10150,18.232978910901,18.9515373356411,"19.4869884215653","20.0203191760794","19.8674681204732","19.3877927224035","19.2832294815459","18.9018772656331","19.7770524028636","19.1030896030573","20.0435406063513","19.9273124977124","18.9597865377504","19.0692877504728","19.6878638690512","20.3002066255101","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10150,"MBNL2","hsa-mir-33a-5p","hsa-mir-616-5p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31401160'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.899115456865563,-0.0265006015525863,0.495030539879393,0.247843371924462,0.772245867997984,-0.0295396153406301,"hsa-mir-616-5p","hsa-mir-33a-5p",10150,19.1305845031982,18.7744778864296,"18.9515373356411","20.0203191760794","20.0435406063513","19.9273124977124","20.2706658613626","18.9597865377504","19.7174451277753","19.6878638690512","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10150,"MBNL2","hsa-mir-33a-5p","hsa-mir-96-5p",0.003,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31401160'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.899115456865563,-0.0265006015525863,0.151923927204803,0.303901529773666,0.772245867997984,-0.0295396153406301,"hsa-mir-96-5p","hsa-mir-33a-5p",10150,18.9515373356411,19.4869884215653,"20.0203191760794","19.8674681204732","19.3877927224035","19.2832294815459","18.9018772656331","19.7770524028636","19.1030896030573","20.0435406063513","19.9273124977124","18.9597865377504","19.0692877504728","19.7174451277753","19.6878638690512","20.3002066255101","19.1709339595864","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10152,"ABI2","hsa-mir-193b-3p","hsa-mir-3127-5p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30464518'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.914150223202021,-0.0183899108239521,0.281269310269274,0.29999594690153,0.958089706880687,0.00595503135260267,"hsa-mir-3127-5p","hsa-mir-193b-3p",10152,15.2091025502467,15.1095194271886,"16.2294029746603","16.3229996195975","15.9185171815416","15.0536824722631","15.8506273691476","16.3143977342697","15.6586967997767","15.911473757063","16.5636244201169","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10152,"ABI2","hsa-mir-193b-3p","hsa-mir-532-3p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30464518'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.914150223202021,-0.0183899108239521,0.812388885842357,-0.0465769541710914,0.958089706880687,0.00595503135260267,"hsa-mir-532-3p","hsa-mir-193b-3p",10152,16.8518787509001,15.8860702872977,"15.7754272912989","16.2294029746603","16.3229996195975","15.6735372320868","15.6586967997767","16.5636244201169","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10184,"LHFPL2","hsa-mir-183-5p","hsa-mir-224-5p",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.574819290146162,0.0694263331403713,0.0002219630824822,0.764037999987612,0.971486788443166,0.00386349645727059,"hsa-mir-224-5p","hsa-mir-183-5p",10184,16.994771721202,18.1761059594056,"17.6623521985583","18.7025184294416","16.9257352780351","18.0936990629468","18.1130612033081","18.7092651249811","17.5847819410122","17.1289703831805","17.7766836405778","17.2305918960765","16.6267915176172","17.7298049988395","18.9896373689785","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10184,"LHFPL2","hsa-mir-224-5p","hsa-mir-425-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.0002219630824822,0.764037999987612,0.779996097741154,0.0419578542384339,0.971486788443166,0.00386349645727059,"hsa-mir-425-5p","hsa-mir-224-5p",10184,17.0078982564963,18.0026443531224,"18.1761059594056","18.7025184294416","16.9257352780351","17.8931260737465","17.1289703831805","17.7429017739008","17.7766836405778","17.2305918960765","17.283514303651","17.7298049988395","17.8848185654949","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10391,"CORO2B","hsa-mir-215-5p","hsa-mir-192-5p",0.002,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28035762'>PubMedLink</a>",NA,"mirtarbase tarbase","mirtarbase tarbase",0.450941209449217,-0.203105183867025,0.0803958209042905,-0.221037594709915,0.284708385658768,-0.128856879553704,"hsa-mir-192-5p","hsa-mir-215-5p",10391,12.4432081496848,10.9553707451895,"13.7950789283796","13.352692408751","15.2199636199879","11.1842522514954","14.6247930514103","15.0038309143049","13.0960381182655","13.2978582266502","11.388329576641","12.3707923003097","14.6231909137975","13.2840114799288","14.3568767119015","16.3295214281632","15.4047466989431","12.5084299172368","11.100577116341","12.3312482983982","12.9627089274208","14.0948261225244","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10395,"DLC1","hsa-mir-130b-3p","hsa-mir-429",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16862168'>PubMedLink</a>","mirtarbase","mirtarbase",0.220313478922527,0.258365789803364,0.87706802253632,0.0242341317434676,0.420347947144769,-0.0898451044913402,"hsa-mir-429","hsa-mir-130b-3p",10395,13.6429767108855,15.6923106280051,"15.0164441291717","17.1904807850677","15.9880610601797","12.9770015616723","17.8787851758943","15.7595160969838","16.9203504331482","14.3674483848706","17.8376960200019","17.0018581710823","15.9609628549283","16.3830392618651","16.3607499465135","14.6973232414798","17.4329804603754","18.571598342185","15.1191548818924","15.0705342767633","15.7207480385477","16.4371619895022","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10628,"TXNIP","hsa-mir-106a-5p","hsa-mir-20b-5p",0.0015,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28035762'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/28325828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29934340'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.540073673841997,-0.128986623206974,0.17355875913484,-0.278819620450661,0.17573735454803,-0.129047481139731,"hsa-mir-20b-5p","hsa-mir-106a-5p",10628,21.4303122928724,21.4876186349735,"21.9763840038837","21.5699940815237","22.1968167979762","18.0368563642976","21.882984362594","22.8852924029318","20.0312911188123","21.1740178174764","22.0493801057062","21.3055859918205","20.6869289654761","21.2583604838308","21.0347335423167","22.1976498378369","21.4954841765525","20.4503183917812","19.9808013532045","20.5722613422374","21.6887150923174","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
