"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22"
1303,"COL12A1","hsa-let-7i-3p","hsa-mir-543",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-543","hsa-let-7i-3p",1303,14.4310213105088,15.0419901220478,"14.1323201227655","13.6826732063373","16.6435474218847","14.1793880447495","13.1530321533135","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1303,"COL12A1","hsa-mir-9-5p","hsa-mir-92b-3p",0.0095,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-92b-3p","hsa-mir-9-5p",1303,14.1497375610231,14.1528663774546,"14.7944035090476","15.0240493082882","15.3125501188203","10.7075773910503","15.2723201793244","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1595,"CYP51A1","hsa-mir-15b-3p","hsa-mir-582-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-582-5p","hsa-mir-15b-3p",1595,12.9553807154585,16.6404606281192,"13.34310106436","16.0442796991036","13.1464394604142","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1601,"DAB2","hsa-mir-134-5p","hsa-mir-935",0.0095,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-935","hsa-mir-134-5p",1601,20.2673011644852,18.5567212833312,"19.5630779337433","19.3873106497749","20.3455213261606","16.1959299092776","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1642,"DDB1","hsa-mir-149-5p","hsa-mir-142-5p",0,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-142-5p","hsa-mir-149-5p",1642,18.6854541098252,19.0518234226503,"20.1607208391942","19.2681399935884","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1871,"E2F3","hsa-mir-1305","hsa-mir-376a-3p",0,TRUE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-376a-3p","hsa-mir-1305",1871,15.7800626867011,16.7081958208234,"15.9437281804333","17.2280810072621","16.4514716027166","16.1006618000742","15.8710232172047","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1983,"EIF5","hsa-mir-130b-3p","hsa-mir-33b-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-33b-5p","hsa-mir-130b-3p",1983,19.0760037698195,18.9699218551262,"18.2551621238631","18.438419032411","18.2787203820686","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1995,"ELAVL3","hsa-mir-582-5p","hsa-mir-511-5p",0,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-511-5p","hsa-mir-582-5p",1995,9.5215541018584,6.76401802744019,"9.04944394113671","8.88766552671696","7.78296327090386","6.60336710947148","9.52453004532327","8.61356661601042","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1997,"ELF1","hsa-mir-218-5p","hsa-mir-542-3p",0.002,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-542-3p","hsa-mir-218-5p",1997,16.583288062795,15.4572155703359,"16.1008578037414","16.1228422263479","16.1853681501343","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2317,"FLNB","hsa-mir-107","hsa-mir-1-3p",0.006,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-1-3p","hsa-mir-107",2317,16.4151181610857,15.8827095978476,"17.0655519862847","18.8412050130301","16.5480877006509","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
