"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39"
861,"RUNX1","hsa-mir-34b-5p","hsa-mir-642a-5p",0.0045,TRUE,NA,"tarbase","mirtarbase","hsa-mir-642a-5p","hsa-mir-34b-5p",861,15.9680550907382,15.7685354378518,"15.2285011358601","15.5940807859124","14.3310145837079","15.8737218874016","15.7639940941831","15.6971649708134","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
861,"RUNX1","hsa-mir-642a-5p","hsa-mir-106a-5p",0.001,TRUE,NA,"mirtarbase","mirtarbase tarbase","hsa-mir-106a-5p","hsa-mir-642a-5p",861,13.9079537529463,14.5521362373734,"14.3310145837079","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
867,"CBL","hsa-mir-7-5p","hsa-mir-224-5p",5e-04,FALSE,NA,"tarbase","tarbase","hsa-mir-224-5p","hsa-mir-7-5p",867,16.2183514419938,16.6161787215955,"17.1173376557578","15.9572310155345","17.6766277480322","16.7605777387855","16.5972033921665","18.334193960545","16.2007598884625","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-204-5p","hsa-mir-497-5p",0.0025,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/14670177'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-497-5p","hsa-mir-204-5p",894,19.8391528110154,18.4856270712355,"17.485067975167","18.9264790680452","20.9389631718372","17.8756291168666","19.3980027555378","19.857779330177","19.3542266962394","21.0725639318404","20.7612041176875","19.1875775315447","19.6997308301098","20.9255070821723","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
901,"CCNG2","hsa-mir-183-3p","hsa-mir-1305",0.003,FALSE,NA,"tarbase","tarbase","hsa-mir-1305","hsa-mir-183-3p",901,16.4968552838694,14.4940269136742,"14.3197712831172","15.7578572381003","14.153424199599","16.3900040768316","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
908,"CCT6A","hsa-mir-130b-3p","hsa-mir-766-3p",0,FALSE,NA,"mirtarbase tarbase","tarbase","hsa-mir-766-3p","hsa-mir-130b-3p",908,20.4201085819344,21.8573336809925,"20.6689903971023","21.4797511032735","19.8675614780357","20.442726788845","20.7444994019315","20.5651674090493","20.9350104331545","21.7111796065967","20.2667847870362","20.1099007241014","20.0983090020793","21.9579120846614","22.1662133582195","21.9561292811697","22.0277753433744","20.2989698347373","20.5864942448879","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
920,"CD4","hsa-mir-204-5p","hsa-mir-485-5p",0.009,FALSE,NA,"tarbase","mirtarbase","hsa-mir-485-5p","hsa-mir-204-5p",920,18.455082330268,18.3403846054716,"18.3583740658391","17.5180239134317","19.2554146536237","17.8681984459916","18.2806728325732","19.3783122791641","16.9440679381517","18.770967515458","17.9237054172022","17.6749810357984","17.6230389763191","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-506-3p","hsa-mir-211-5p",0.0085,FALSE,NA,"mirtarbase","mirtarbase","hsa-mir-211-5p","hsa-mir-506-3p",1021,14.6896643934119,13.9574371442642,"13.9960954685414","15.9568135631162","14.4546873240655","14.7267351184046","14.6022812848129","14.8727892242531","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1303,"COL12A1","hsa-mir-299-3p","hsa-mir-376a-3p",0,FALSE,NA,"tarbase","tarbase","hsa-mir-376a-3p","hsa-mir-299-3p",1303,13.5011032189344,13.2865472472524,"13.747302169475","15.6259632797738","18.7441484945193","13.1133191048025","15.9727748164285","13.8677105327655","15.6190214315351","12.8827793177849","13.5747936805073","11.7879387255851","13.4659470525661","17.1519419832698","11.8185925968728","11.5211488918349","14.409938201638","12.4264744655605","12.0579704112791","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1303,"COL12A1","hsa-mir-299-3p","hsa-mir-655-3p",0.004,FALSE,NA,"tarbase","tarbase","hsa-mir-655-3p","hsa-mir-299-3p",1303,13.5011032189344,13.747302169475,"15.6259632797738","18.7441484945193","13.1133191048025","19.8470869989885","13.2132317574452","15.9727748164285","13.8677105327655","12.8827793177849","13.5747936805073","11.7879387255851","13.4659470525661","17.1519419832698","11.8185925968728","11.2291534600363","11.5211488918349","14.409938201638","12.4264744655605","12.0579704112791","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
