"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21"
1938,"EEF2","hsa-mir-155-5p","hsa-mir-642a-5p",0.002,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-642a-5p","hsa-mir-155-5p",1938,25.4090709167452,24.7220349192083,"24.4961043076317","24.5944579114077","26.3407470221612","24.8501526698141","25.0933403389102","24.2436816143297","24.6158706222424","24.9761185556143","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1958,"EGR1","hsa-mir-424-5p","hsa-mir-32-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-32-5p","hsa-mir-424-5p",1958,16.9151750490806,16.3449980819536,"17.6740423644316","16.6453487253701","17.5370179405471","16.7089546239666","16.8961181517737","17.5393547118153","18.5543829786299","15.6634342031048","17.0442265719399","14.8078046041217","""""","""""","""""","""""","""""","""""",""""""
1997,"ELF1","hsa-mir-30a-3p","hsa-mir-328-3p",0.0035,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-328-3p","hsa-mir-30a-3p",1997,16.4227186588482,16.9729889981113,"17.8075278426671","17.2255853379626","16.6121339916126","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2005,"ELK4","hsa-mir-221-5p","hsa-mir-1270",0.007,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-1270","hsa-mir-221-5p",2005,15.1522634942198,15.5748541620162,"16.1501204996845","14.7622789340284","15.4179165713449","15.6988749866383","15.9887821191278","15.5261601264348","16.444005466625","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2005,"ELK4","hsa-mir-221-5p","hsa-mir-140-5p",0.0025,TRUE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/29808799'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gUVM/30291212'>PubMedLink</a>",NA,"tarbase","tarbase","hsa-mir-140-5p","hsa-mir-221-5p",2005,15.8584302454916,15.1522634942198,"15.9900837000273","16.1501204996845","15.6988749866383","16.6741393020165","16.3872626107586","15.5261601264348","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2182,"ACSL4","hsa-mir-1304-5p","hsa-mir-20b-5p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-20b-5p","hsa-mir-1304-5p",2182,15.0836193540765,15.8011533649771,"14.9757680857444","15.8581567251895","16.779193810657","14.536100367216","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2232,"FDXR","hsa-mir-149-5p","hsa-mir-2355-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-2355-5p","hsa-mir-149-5p",2232,17.4604654218795,16.3593700586236,"17.9911235750074","18.3098298536594","17.5502096226285","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2649,"NR6A1","hsa-mir-10a-5p","hsa-mir-188-3p",0.003,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-188-3p","hsa-mir-10a-5p",2649,11.1285440367311,12.3428760660757,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3178,"HNRNPA1","hsa-mir-636","hsa-mir-9-3p",5e-04,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-9-3p","hsa-mir-636",3178,21.4409435199731,21.8626424702247,"21.7868231785207","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3554,"IL1R1","hsa-mir-192-5p","hsa-mir-19b-3p",0.009,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-19b-3p","hsa-mir-192-5p",3554,15.1426400519837,15.6112376223666,"16.6904190479266","16.9041251292279","16.0442547324599","17.076080739968","13.3932074332517","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
