"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46"
4784,"NFIX","hsa-mir-323a-5p","hsa-mir-483-5p",0.0085,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.324641205976841,0.711189661889447,0.011306338959483,0.897342440224026,0.726303740224404,-0.0699072440701174,"hsa-mir-483-5p","hsa-mir-323a-5p",4784,15.1898735735882,16.1686027820513,"16.9009270674296","16.7680498375411","16.2154559129902","17.4859537791739","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4853,"NOTCH2","hsa-mir-873-5p","hsa-mir-9-5p",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.00277600686250839,3.64438129616594,0.47561984644044,0.166983841098921,0.155888824159509,-0.295902938223424,"hsa-mir-9-5p","hsa-mir-873-5p",4853,13.916431898971,11.5296427021877,"12.287780552363","13.1321972309063","13.6389683460006","15.501892190156","11.2809337294402","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4884,"NPTX1","hsa-mir-210-3p","hsa-mir-455-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.279633000636637,0.329146913369594,0.0241532905803785,-0.702152926957944,0.286921030659241,-0.217068107561182,"hsa-mir-455-3p","hsa-mir-210-3p",4884,12.6732336762327,12.3684296937194,"19.8592821741154","13.1321747304522","14.3854316749652","12.6083119190209","15.9377398337985","21.5280163945548","14.8431157286767","11.3063888762144","14.2656970038112","12.7437199829266","14.7395443166078","14.0375953284678","14.8852919833168","11.8179699617703","11.6966210917081","14.519312695462","13.0035837304202","16.8526868141552","14.2761947346596","16.8974737027782","10.487930777723","12.6458928961136","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5074,"PAWR","hsa-mir-362-5p","hsa-mir-188-5p",0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gPCPG/26073258'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.9646035537708,-0.0187657724523841,0.820338596418814,-0.124792039378594,0.385899319512475,-0.184473049929903,"hsa-mir-188-5p","hsa-mir-362-5p",5074,13.1297355820989,12.6347648622402,"12.3300093282906","12.8112503743033","14.1458989218217","15.4237099800406","13.6315535470237","12.834906835017","13.2652319065018","13.2133845424669","14.339565430288","15.7652337635482","14.8837334627656","15.2122376649275","13.5888077181792","11.7967460294655","13.5606853776812","11.9602380820229","13.9119986000006","12.5836324997317","11.4914155737336","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5217,"PFN2","hsa-mir-1-3p","hsa-mir-138-5p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.410500257941461,-0.317109730281849,0.00305635781057354,1.57230705262798,0.659314033512262,0.0850942976129005,"hsa-mir-138-5p","hsa-mir-1-3p",5217,18.428461670084,19.2640795841699,"19.1327261737769","19.2174753370886","19.7422599658023","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5324,"PLAG1","hsa-mir-193b-3p","hsa-mir-503-5p",0,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",9.17859257181718e-06,-1.4639642336565,0.100079659420526,-0.635059462179082,0.162875116313384,0.316676418775618,"hsa-mir-503-5p","hsa-mir-193b-3p",5324,14.9378662839894,14.4511546483258,"15.3837911240462","9.3547199396633","12.8843810387162","13.7393279520247","14.4524854833173","15.7007762353189","10.5593945526718","14.909687172049","15.0812271736135","15.9590823189164","16.0357400532881","15.6250996233497","14.5172341496129","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5366,"PMAIP1","hsa-mir-411-3p","hsa-mir-106a-5p",0.006,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.813967204405885,0.0971445903248991,0.949839369300647,-0.0339094322430871,0.474339161780231,0.164631056651461,"hsa-mir-106a-5p","hsa-mir-411-3p",5366,13.628107495429,11.1582146100914,"13.1699626157906","11.7736527285054","16.3684113365946","11.855113515407","14.4112212021978","13.7440519659191","10.4942564104532","13.0704436706806","13.9639613866464","14.2060366826843","13.0735185224073","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5796,"PTPRK","hsa-mir-1179","hsa-mir-501-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.001545831405452,1.97288531688304,0.421040756241356,0.282217750343137,0.435100753101656,0.163457795614648,"hsa-mir-501-3p","hsa-mir-1179",5796,13.9211090637466,16.8352158705587,"18.2490009346305","16.4449435229651","12.8270909255651","16.4419780207779","17.6275822760641","18.2881082785585","15.9581969016824","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5865,"RAB3B","hsa-mir-452-3p","hsa-mir-410-3p",0,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.826786755979679,0.176169259020258,0.176058073217224,0.393341495138207,0.562216171564534,0.127333834387929,"hsa-mir-410-3p","hsa-mir-452-3p",5865,11.5614277108339,14.062234230801,"8.16765172281928","10.0613410873711","16.4238853873895","12.9555117615204","12.4146219175763","16.2746823665578","11.0510701404143","17.2925377051075","12.4513277668272","14.0888787101228","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6319,"SCD","hsa-mir-199a-3p","hsa-mir-493-5p",0.004,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.232423553581931,-0.310492632775073,0.194909719851783,-0.420315166550829,0.364040753613194,-0.167633090333277,"hsa-mir-493-5p","hsa-mir-199a-3p",6319,18.7542299626648,16.9798383787446,"17.9300317531437","18.0575070025319","17.4183928918861","17.3056210452019","19.834059830309","16.7679671702674","20.5480359577458","16.6483718234405","21.8483889883498","18.0853587065458","17.5942421088532","17.2203327251929","18.5913276709361","21.8832046681656","17.6351720601398","17.5206546551363","21.0698980183741","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
