"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11"
23468,"CBX5","hsa-mir-141-5p","hsa-mir-429",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27385214'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28230864'>PubMedLink</a>","tarbase","tarbase",0.0281554655593838,0.839111241242355,0.00733555780841485,0.616446502992409,0.37920216939118,0.114085728552255,"hsa-mir-429","hsa-mir-141-5p",23468,18.7590573187288,18.464513409781,"""""","""""","""""","""""","""""","""""",""""""
23468,"CBX5","hsa-mir-200c-3p","hsa-mir-429",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27385214'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28230864'>PubMedLink</a>","tarbase","tarbase",0.0258118595158852,0.463929104973786,0.00733555780841485,0.616446502992409,0.37920216939118,0.114085728552255,"hsa-mir-429","hsa-mir-200c-3p",23468,18.3022894289033,18.464513409781,"""""","""""","""""","""""","""""","""""",""""""
27250,"PDCD4","hsa-mir-485-3p","hsa-mir-493-5p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22213145'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23417858'>PubMedLink</a>","tarbase","tarbase",0.139346290356422,0.502307707115809,0.369190942646022,0.263191445784126,0.93693310514096,0.00985391309889929,"hsa-mir-493-5p","hsa-mir-485-3p",27250,18.3971338263497,20.0936762449601,"20.3775580065426","18.2275668388973","""""","""""","""""","""""",""""""
53616,"ADAM22","hsa-mir-493-5p","hsa-mir-543",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.369190942646022,0.263191445784126,0.138705142996499,0.667437689853678,0.112089111208394,0.250026708632009,"hsa-mir-543","hsa-mir-493-5p",53616,13.7341299392654,13.4251914249243,"14.7256808968938","13.7943093293997","""""","""""","""""","""""",""""""
54928,"BPNT2","hsa-mir-33a-5p","hsa-mir-139-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.447491136144913,-0.181308057125082,0.00185470694674311,-0.606128351485674,0.677839944458712,-0.0516579744611617,"hsa-mir-139-5p","hsa-mir-33a-5p",54928,18.3081186082255,18.3990714901993,"""""","""""","""""","""""","""""","""""",""""""
55870,"ASH1L","hsa-mir-582-3p","hsa-mir-139-5p",0.004,TRUE,NA,NA,NA,"tarbase","tarbase",0.223889083658049,-0.24184396948326,0.00185470694674311,-0.606128351485674,0.58660520119095,0.0712932670403017,"hsa-mir-139-5p","hsa-mir-582-3p",55870,18.0142406217222,17.2728902487104,"18.469630436068","18.1167848088653","18.585925331348","""""","""""","""""",""""""
79832,"QSER1","hsa-mir-148a-3p","hsa-mir-221-5p",0.0015,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.102174704612462,-0.21723235571998,0.0974981285092568,1.0569878721258,0.649339392060742,0.0609004507062473,"hsa-mir-221-5p","hsa-mir-148a-3p",79832,16.4547288882451,17.1419043899977,"16.8694769350613","16.6030074590229","16.7441026553203","""""","""""","""""",""""""
84668,"FAM126A","hsa-mir-192-5p","hsa-mir-215-5p",5e-04,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.157967403548531,-0.19618679903471,0.768495116684465,-0.0625900578394906,0.383609169640651,-0.122073218779354,"hsa-mir-215-5p","hsa-mir-192-5p",84668,15.0009417311532,13.8525682640887,"13.9385750003695","14.5176284063832","14.1675042235844","13.2161551805792","14.1700617038146","""""",""""""
93134,"ZNF561","hsa-mir-196b-5p","hsa-mir-196a-5p",0,TRUE,NA,NA,NA,"tarbase","tarbase",0.00676057129691608,0.783918424892433,0.0164293854966801,1.33664549308257,0.774785432367832,0.0374580203723469,"hsa-mir-196a-5p","hsa-mir-196b-5p",93134,17.420631639712,16.9357475531568,"17.6272389184621","16.8798724080618","""""","""""","""""","""""",""""""
124540,"MSI2","hsa-mir-221-5p","hsa-mir-155-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30034243'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.0974981285092568,1.0569878721258,0.39315082294049,0.172749540782749,0.2701085171574,0.149091137910571,"hsa-mir-155-5p","hsa-mir-221-5p",124540,17.1762519882363,17.2662458676759,"16.2643625541751","17.1466029046488","17.23950388097","""""","""""","""""",""""""
144108,"SPTY2D1","hsa-mir-33a-5p","hsa-mir-629-3p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.447491136144913,-0.181308057125082,0.32988758925381,0.354910105792312,0.95612321899002,-0.00716981107963103,"hsa-mir-629-3p","hsa-mir-33a-5p",144108,17.2527864711126,17.6651298826764,"17.3360927521222","""""","""""","""""","""""","""""",""""""
221035,"REEP3","hsa-mir-32-3p","hsa-mir-548j-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.976677754901523,0.0144037289993261,0.0771155731727196,-0.877754002589558,0.74183980949011,-0.0414602062842922,"hsa-mir-548j-5p","hsa-mir-32-3p",221035,18.5173681688022,18.6986439770441,"18.9571212992984","18.2131700046361","""""","""""","""""","""""",""""""
375035,"SFT2D2","hsa-mir-139-5p","hsa-mir-582-3p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",0.00185470694674311,-0.606128351485674,0.223889083658049,-0.24184396948326,0.748063276770407,0.0411649672849237,"hsa-mir-582-3p","hsa-mir-139-5p",375035,19.3969253674004,17.7718318368382,"18.7233523082133","18.7369818552197","18.738928742027","""""","""""","""""",""""""
440590,"ZYG11A","hsa-mir-30b-3p","hsa-mir-3130-5p",0.0075,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.588443578378248,-0.173293644650505,0.682026389147025,-0.140733106090352,0.00116318438784372,-0.739117412528804,"hsa-mir-3130-5p","hsa-mir-30b-3p",440590,9.23455934968164,9.55802830912212,"9.25288152770651","9.32193602014173","""""","""""","""""","""""",""""""
