"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16"
596,"BCL2","hsa-mir-424-5p","hsa-mir-376c-3p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10101681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11351249'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12017273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12025227'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12025227'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12796377'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12810203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12810203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12941126'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14519627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14519627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14710230'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15188008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15357873'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15756350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15826766'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15985079'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16643620'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17541305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19380190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19539330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19539330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20037166'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20208132'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22398398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22591748'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23469687'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25833690'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26406868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27483435'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27554585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27573448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27573448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27779645'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27834342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27834342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28449664'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28464919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29731840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31031856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8621251'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9042262'>PubMedLink</a>","tarbase","mirtarbase",0.786462490125794,0.0321708126732386,9.27534058043212e-07,-1.36051571296785,0.246541891257945,0.0944136976953861,"hsa-mir-376c-3p","hsa-mir-424-5p",596,18.8050020951795,17.6631518962507,"17.7150016279021","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
599,"BCL2L2","hsa-mir-2355-3p","hsa-mir-204-5p",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29070041'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.581713791791983,-0.15283555154994,1.66648719744921e-17,-1.27818300980535,0.267607201654221,0.0873972238746897,"hsa-mir-204-5p","hsa-mir-2355-3p",599,18.9160871444961,19.366762029822,"19.7621131761826","19.9954019459613","19.5909149599834","19.9587300879942","19.2904551045191","""""","""""","""""","""""","""""","""""",""""""
767,"CA8","hsa-mir-424-5p","hsa-mir-410-3p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31715371'>PubMedLink</a>","mirtarbase","mirtarbase",0.786462490125794,0.0321708126732386,0.00744753338200867,-0.593472842491182,0.0043916751322567,-0.249182126311252,"hsa-mir-410-3p","hsa-mir-424-5p",767,17.6741624551591,11.0058017018223,"11.3526945503287","14.1405913454934","15.3269346030811","11.5579031174825","""""","""""","""""","""""","""""","""""","""""",""""""
966,"CD59","hsa-mir-136-5p","hsa-mir-501-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",4.3022546554082e-08,-1.02490185085411,0.544589630375091,-0.111731717816035,0.43018865364349,0.0576495964299308,"hsa-mir-501-5p","hsa-mir-136-5p",966,23.1999090263666,21.8183039214534,"22.5468294328706","22.9085327814495","23.1228516172861","22.5373155883009","""""","""""","""""","""""","""""","""""","""""",""""""
1374,"CPT1A","hsa-mir-20b-5p","hsa-mir-214-5p",0.009,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>",NA,NA,"mirtarbase","mirtarbase",0.15270823885516,-0.208113811789293,2.92636802979646e-10,-1.30935364225621,0.48230501029446,0.0541082378913619,"hsa-mir-214-5p","hsa-mir-20b-5p",1374,20.4873539174242,21.0441738264741,"20.7522569153726","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1454,"CSNK1E","hsa-mir-3065-3p","hsa-mir-34a-5p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29795381'>PubMedLink</a>","tarbase","tarbase",2.34653486639016e-13,-1.23836793812995,0.440730082467716,0.102563025348855,0.307902307125919,0.0815551266410193,"hsa-mir-34a-5p","hsa-mir-3065-3p",1454,19.7642908621687,19.1498012652396,"18.9791572405566","18.7438555955469","19.4132178703681","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1795,"DOCK3","hsa-mir-34a-5p","hsa-mir-181c-3p",0.005,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.440730082467716,0.102563025348855,0.0114801545217115,-0.395506600326172,0.027721625992209,0.205971251213079,"hsa-mir-181c-3p","hsa-mir-34a-5p",1795,15.7538600364223,15.1519367953398,"15.1372380380651","12.6782226979006","15.8863254124453","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1889,"ECE1","hsa-mir-2110","hsa-mir-34a-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15139053'>PubMedLink</a>","mirtarbase","tarbase",0.650292740503043,0.161651888894656,0.440730082467716,0.102563025348855,0.438222355867716,0.0606325362009436,"hsa-mir-34a-5p","hsa-mir-2110",1889,19.4795372669491,19.8228725989149,"19.8485284218981","19.7575527113883","19.4727388986531","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1936,"EEF1D","hsa-mir-204-5p","hsa-mir-34a-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",1.66648719744921e-17,-1.27818300980535,0.440730082467716,0.102563025348855,0.606672710479724,0.0414845187200217,"hsa-mir-34a-5p","hsa-mir-204-5p",1936,18.2774692278763,18.5072687038286,"19.7289909937351","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1938,"EEF2","hsa-mir-204-5p","hsa-mir-2355-3p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15108329'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15108329'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15108329'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15108329'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15108329'>PubMedLink</a>","tarbase","tarbase",1.66648719744921e-17,-1.27818300980535,0.581713791791983,-0.15283555154994,0.251378944754021,0.0805551400762345,"hsa-mir-2355-3p","hsa-mir-204-5p",1938,25.0122947109219,24.8286806111041,"25.1545027096369","24.8422178921741","25.0320606664217","24.8200061208481","24.6055502867719","""""","""""","""""","""""","""""","""""",""""""
