"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16"
767,"CA8","hsa-mir-410-3p","hsa-mir-1-3p",0.001,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-1-3p","hsa-mir-410-3p",767,17.6445440337608,12.7896788309786,"12.3460877591733","14.6094760068187","15.6090187386935","15.1874170998452","""""","""""","""""","""""","""""","""""","""""",""""""
835,"CASP2","hsa-mir-452-5p","hsa-mir-708-5p",0.005,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-708-5p","hsa-mir-452-5p",835,18.1072467196892,18.2815977511358,"18.626772595488","18.1991419023503","18.7169613270953","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-195-5p","hsa-mir-497-5p",0.006,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase","hsa-mir-497-5p","hsa-mir-195-5p",894,19.5659708883528,18.583884433971,"18.5987246837471","20.6405501817153","19.9730153068635","21.038680558754","19.7269452090944","20.7298523819185","19.7439514655107","16.7039354479469","""""","""""","""""",""""""
952,"CD38","hsa-mir-17-5p","hsa-mir-20a-5p",0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22223660'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23959973'>PubMedLink</a>","tarbase","tarbase","hsa-mir-20a-5p","hsa-mir-17-5p",952,11.28636924815,13.8785774040664,"11.7388868419232","13.9402279528857","15.6113249826745","12.5891367443422","14.3463436333612","15.1786213233287","14.0440092661785","14.3763412336605","9.68161374805001","14.3307327472127","13.812751942127",""""""
952,"CD38","hsa-mir-19b-1-5p","hsa-mir-20a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22223660'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23959973'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-20a-5p","hsa-mir-19b-1-5p",952,13.8785774040664,15.6113249826745,"12.5891367443422","15.1786213233287","14.3763412336605","9.68161374805001","14.3307327472127","13.812751942127","""""","""""","""""","""""","""""",""""""
990,"CDC6","hsa-mir-769-3p","hsa-mir-339-5p",0.004,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-339-5p","hsa-mir-769-3p",990,18.286491484166,18.0864204092966,"17.2815466501836","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1000,"CDH2","hsa-mir-1-3p","hsa-mir-411-5p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29237910'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29237910'>PubMedLink</a>","mirtarbase tarbase","mirtarbase","hsa-mir-411-5p","hsa-mir-1-3p",1000,17.2921748827907,18.117303788501,"18.2272863902565","16.1816563594294","16.7583468771732","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-29b-1-5p","hsa-mir-3130-5p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18497076'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-3130-5p","hsa-mir-29b-1-5p",1021,17.0197823994605,18.0894564690183,"17.7646646659309","16.671077429097","17.799270490395","18.6400898045533","""""","""""","""""","""""","""""","""""","""""",""""""
1027,"CDKN1B","hsa-mir-152-3p","hsa-mir-1226-3p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11389092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12405911'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16809439'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21454826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23029392'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24035998'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26963853'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29509243'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-mir-1226-3p","hsa-mir-152-3p",1027,19.8131913152074,19.1311770214742,"19.7937730654526","19.6010817181349","19.5385092177203","20.0005230858631","""""","""""","""""","""""","""""","""""","""""",""""""
1362,"CPD","hsa-mir-676-3p","hsa-mir-34b-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-34b-3p","hsa-mir-676-3p",1362,18.7694994525014,17.6977764541964,"18.9369210817977","17.436216277607","19.1712677856137","18.4096969020439","19.3044008718954","""""","""""","""""","""""","""""","""""",""""""
1373,"CPS1","hsa-mir-29a-5p","hsa-mir-29a-3p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/34468255'>PubMedLink</a>",NA,NA,"tarbase","tarbase","hsa-mir-29a-3p","hsa-mir-29a-5p",1373,12.2282693802803,13.7974571760297,"13.8796425976326","12.0390512988968","13.2418556080565","12.3866683576089","13.5024138296586","14.2128676018454","14.0121498179246","13.9548492985923","""""","""""","""""",""""""
