source,target,ModeOfRegulation,edgeType
mir-29a-3p,mir-29a-3p/mir-29b-3p,"",direct
mir-520c-3p,mir-520c-3p/mir-526b-3p,"",direct
mir-142-5p,mir-142-5p/mir-629-3p,"",direct
mir-142-5p,mir-142-5p/mir-29c-3p,"",direct
mir-142-5p,mir-142-5p/mir-29a-3p,"",direct
mir-520a-3p,mir-520a-3p/mir-526b-3p,"",direct
mir-142-5p,mir-142-5p/mir-29a-3p,"",direct
mir-29a-3p,mir-29a-3p/mir-29b-3p,"",direct
mir-142-5p,mir-142-5p/mir-29c-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-29c-3p,"",direct
mir-142-5p,mir-142-5p/mir-29b-3p,"",direct
mir-519d-3p,mir-519d-3p/mir-526b-3p,"",direct
mir-3680-3p,mir-3680-3p/mir-7-5p,"",direct
mir-490-3p,mir-490-3p/mir-92b-3p,"",direct
mir-455-3p,mir-455-3p/mir-766-3p,"",direct
mir-130b-3p,mir-130b-3p/mir-424-5p,"",direct
mir-223-5p,mir-223-5p/mir-512-5p,"",direct
mir-34c-3p,mir-34c-3p/mir-548j-5p,"",direct
mir-124-3p,mir-124-3p/mir-124-5p,"",direct
mir-302b-5p,mir-302b-5p/mir-302c-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-629-3p,"",direct
mir-25-5p,mir-25-5p/mir-29b-3p,"",direct
mir-135b-5p,mir-135b-5p/mir-301a-3p,"",direct
mir-378a-5p,mir-378a-5p/mir-629-5p,"",direct
mir-302c-3p,mir-302c-3p/mir-372-3p,"",direct
mir-124-3p,mir-124-3p/mir-494-3p,"",direct
mir-183-5p,mir-183-5p/mir-96-5p,"",direct
mir-130b-3p,mir-130b-3p/mir-96-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-373-3p,"",direct
mir-29c-3p,mir-29c-3p/mir-373-3p,"",direct
mir-378a-3p,mir-378a-3p/mir-766-3p,"",direct
mir-135b-5p,mir-135b-5p/mir-195-3p,"",direct
mir-183-5p,mir-183-5p/mir-96-5p,"",direct
mir-130b-5p,mir-130b-5p/mir-96-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-520c-3p,"",direct
mir-424-5p,mir-424-5p/mir-527,"",direct
mir-424-5p,mir-424-5p/mir-520d-5p,"",direct
mir-182-5p,mir-182-5p/mir-25-5p,"",direct
mir-182-5p,mir-182-5p/mir-96-5p,"",direct
mir-378a-3p,mir-378a-3p/mir-493-5p,"",direct
mir-124-3p,mir-124-3p/mir-124-5p,"",direct
mir-195-5p,mir-195-5p/mir-3691-5p,"",direct
mir-124-3p,mir-124-3p/mir-373-5p,"",direct
mir-135b-5p,mir-135b-5p/mir-301a-3p,"",direct
mir-1305,mir-1305/mir-196a-5p,"",direct
mir-181a-2-3p,mir-181a-2-3p/mir-3065-5p,"",direct
mir-1305,mir-1305/mir-205-5p,"",direct
mir-122-5p,mir-122-5p/mir-1305,"",direct
mir-122-5p,mir-122-5p/mir-205-5p,"",direct
mir-183-5p,mir-183-5p/mir-7-1-3p,"",direct
mir-29a-3p,mir-29a-3p/mir-29b-3p,"",direct
mir-29a-3p,mir-29a-3p/mir-29b-3p,"",direct
mir-301b-3p,mir-301b-3p/mir-92b-3p,"",direct
mir-301a-3p,mir-301a-3p/mir-92b-3p,"",direct
