source,target,ModeOfRegulation,edgeType
mir-299-5p,mir-299-5p/mir-7-5p,"",direct
mir-31-5p,mir-31-5p/mir-369-3p,"",direct
mir-299-5p,mir-299-5p/mir-329-3p,"",direct
mir-127-5p,mir-127-5p/mir-31-5p,"",direct
mir-107,mir-107/mir-7-5p,"",direct
mir-124-3p,mir-124-3p/mir-31-5p,"",direct
mir-127-5p,mir-127-5p/mir-299-5p,"",direct
mir-124-3p,mir-124-3p/mir-299-5p,"",direct
mir-124-3p,mir-124-3p/mir-1296-5p,"",direct
mir-31-5p,mir-31-5p/mir-323a-3p,"",direct
mir-1296-5p,mir-1296-5p/mir-410-3p,"",direct
mir-107,mir-107/mir-1296-5p,"",direct
mir-299-5p,mir-299-5p/mir-369-3p,"",direct
mir-124-3p,mir-124-3p/mir-410-3p,"",direct
mir-299-5p,mir-299-5p/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-7-5p,"",direct
mir-31-5p,mir-31-5p/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-323a-3p,"",direct
mir-1296-5p,mir-1296-5p/mir-299-5p,"",direct
mir-124-3p,mir-124-3p/mir-329-3p,"",direct
mir-124-3p,mir-124-3p/mir-31-5p,"",direct
mir-107,mir-107/mir-299-5p,"",direct
mir-107,mir-107/mir-377-3p,"",direct
mir-107,mir-107/mir-124-3p,"",direct
mir-1296-5p,mir-1296-5p/mir-7-5p,"",direct
mir-107,mir-107/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-127-5p,"",direct
mir-410-3p,mir-410-3p/mir-7-5p,"",direct
mir-107,mir-107/mir-124-3p,"",direct
mir-1296-5p,mir-1296-5p/mir-24-3p,"",direct
mir-145-5p,mir-145-5p/mir-329-3p,"",direct
mir-369-3p,mir-369-3p/mir-7-5p,"",direct
mir-377-5p,mir-377-5p/mir-766-3p,"",direct
mir-369-3p,mir-369-3p/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-126-5p,"",direct
mir-1296-5p,mir-1296-5p/mir-31-5p,"",direct
mir-126-5p,mir-126-5p/mir-1296-5p,"",direct
mir-126-5p,mir-126-5p/mir-145-5p,"",direct
mir-1296-5p,mir-1296-5p/mir-145-5p,"",direct
mir-145-5p,mir-145-5p/mir-29b-3p,"",direct
mir-323a-3p,mir-323a-3p/mir-377-5p,"",direct
mir-377-5p,mir-377-5p/mir-940,"",direct
mir-33b-5p,mir-33b-5p/mir-940,"",direct
mir-135b-5p,mir-135b-5p/mir-377-5p,"",direct
mir-185-3p,mir-185-3p/mir-330-5p,"",direct
mir-323a-3p,mir-323a-3p/mir-940,"",direct
mir-185-3p,mir-185-3p/mir-323a-3p,"",direct
mir-185-3p,mir-185-3p/mir-940,"",direct
mir-323a-3p,mir-323a-3p/mir-330-5p,"",direct
mir-330-5p,mir-330-5p/mir-378a-3p,"",direct
mir-330-5p,mir-330-5p/mir-33b-5p,"",direct
mir-185-5p,mir-185-5p/mir-330-5p,"",direct
mir-105-5p,mir-105-5p/mir-1296-5p,"",direct
mir-150-5p,mir-150-5p/mir-330-3p,"",direct
mir-150-5p,mir-150-5p/mir-330-3p,"",direct
mir-185-5p,mir-185-5p/mir-330-3p,"",direct
let-7e-5p,let-7e-5p/mir-330-3p,"",direct
mir-124-3p,mir-124-3p/mir-138-5p,"",direct
mir-138-5p,mir-138-5p/mir-329-3p,"",direct
mir-105-5p,mir-105-5p/mir-329-3p,"",direct
mir-105-5p,mir-105-5p/mir-124-3p,"",direct
mir-138-5p,mir-138-5p/mir-495-3p,"",direct
mir-1-3p,mir-1-3p/mir-138-5p,"",direct
mir-145-5p,mir-145-5p/mir-376c-3p,"",direct
mir-331-3p,mir-331-3p/mir-744-3p,"",direct
mir-145-5p,mir-145-5p/mir-299-5p,"",direct
mir-134-5p,mir-134-5p/mir-150-5p,"",direct
mir-1228-3p,mir-1228-3p/mir-331-3p,"",direct
mir-143-3p,mir-143-3p/mir-331-3p,"",direct
mir-1292-5p,mir-1292-5p/mir-654-3p,"",direct
mir-299-5p,mir-299-5p/mir-331-3p,"",direct
mir-132-3p,mir-132-3p/mir-212-3p,"",direct
mir-331-3p,mir-331-3p/mir-654-3p,"",direct
mir-144-5p,mir-144-5p/mir-223-3p,"",direct
let-7f-1-3p,let-7f-1-3p/mir-331-3p,"",direct
mir-654-3p,mir-654-3p/mir-744-3p,"",direct
mir-1296-5p,mir-1296-5p/mir-145-5p,"",direct
mir-1228-3p,mir-1228-3p/mir-218-5p,"",direct
mir-3943,mir-3943/mir-541-3p,"",direct
mir-107,mir-107/mir-508-3p,"",direct
mir-125a-3p,mir-125a-3p/mir-18a-5p,"",direct
mir-218-5p,mir-218-5p/mir-485-5p,"",direct
mir-138-5p,mir-138-5p/mir-377-5p,"",direct
mir-29c-3p,mir-29c-3p/mir-376a-3p,"",direct
mir-199b-5p,mir-199b-5p/mir-494-3p,"",direct
mir-107,mir-107/mir-31-5p,"",direct
mir-101-3p,mir-101-3p/mir-31-5p,"",direct
mir-126-5p,mir-126-5p/mir-31-5p,"",direct
mir-107,mir-107/mir-126-5p,"",direct
mir-132-3p,mir-132-3p/mir-212-3p,"",direct
mir-107,mir-107/mir-33a-3p,"",direct
mir-377-3p,mir-377-3p/mir-383-5p,"",direct
mir-330-3p,mir-330-3p/mir-383-5p,"",direct
mir-107,mir-107/mir-383-5p,"",direct
mir-31-5p,mir-31-5p/mir-383-5p,"",direct
mir-107,mir-107/mir-31-5p,"",direct
mir-16-2-3p,mir-16-2-3p/mir-18a-5p,"",direct
mir-299-5p,mir-299-5p/mir-494-3p,"",direct
mir-29b-2-5p,mir-29b-2-5p/mir-29b-3p,"",direct
mir-218-5p,mir-218-5p/mir-27b-3p,"",direct
mir-185-5p,mir-185-5p/mir-940,"",direct
mir-185-5p,mir-185-5p/mir-218-5p,"",direct
mir-218-5p,mir-218-5p/mir-940,"",direct
mir-218-5p,mir-218-5p/mir-330-3p,"",direct
mir-1228-3p,mir-1228-3p/mir-330-3p,"",direct
mir-27b-3p,mir-27b-3p/mir-940,"",direct
mir-330-3p,mir-330-3p/mir-940,"",direct
mir-107,mir-107/mir-377-3p,"",direct
mir-101-3p,mir-101-3p/mir-410-3p,"",direct
mir-31-5p,mir-31-5p/mir-410-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-31-5p,"",direct
mir-149-5p,mir-149-5p/mir-31-5p,"",direct
mir-377-5p,mir-377-5p/mir-766-3p,"",direct
mir-299-5p,mir-299-5p/mir-410-3p,"",direct
mir-1-3p,mir-1-3p/mir-410-3p,"",direct
let-7e-5p,let-7e-5p/mir-410-3p,"",direct
mir-149-5p,mir-149-5p/mir-410-3p,"",direct
mir-127-5p,mir-127-5p/mir-410-3p,"",direct
mir-133a-3p,mir-133a-3p/mir-410-3p,"",direct
mir-133a-3p,mir-133a-3p/mir-369-3p,"",direct
mir-127-5p,mir-127-5p/mir-1296-5p,"",direct
mir-127-5p,mir-127-5p/mir-133a-3p,"",direct
mir-127-5p,mir-127-5p/mir-149-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-149-5p,"",direct
mir-21-5p,mir-21-5p/mir-3622a-3p,"",direct
mir-185-5p,mir-185-5p/mir-377-5p,"",direct
mir-185-5p,mir-185-5p/mir-323a-3p,"",direct
mir-330-5p,mir-330-5p/mir-377-5p,"",direct
mir-185-3p,mir-185-3p/mir-330-5p,"",direct
mir-1228-3p,mir-1228-3p/mir-185-5p,"",direct
mir-24-3p,mir-24-3p/mir-323a-3p,"",direct
mir-323a-3p,mir-323a-3p/mir-330-5p,"",direct
mir-24-3p,mir-24-3p/mir-377-5p,"",direct
mir-200a-3p,mir-200a-3p/mir-671-5p,"",direct
