"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
1000,"CDH2","hsa-mir-1-3p","hsa-mir-411-5p",0.053,0.3365,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/29237910'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29237910'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase  "
1021,"CDK6","hsa-mir-29b-1-5p","hsa-mir-3130-5p",0.144,0.745,0.0065,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/18497076'>PubMedLink</a>"," tarbase ","mirtarbase  "
1027,"CDKN1B","hsa-mir-152-3p","hsa-mir-1226-3p",0.8765,0.0145,0.007,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11389092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12405911'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16809439'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21454826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23029392'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24035998'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26963853'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29509243'>PubMedLink</a>","mirtarbase tarbase "," tarbase "
1362,"CPD","hsa-mir-676-3p","hsa-mir-34b-3p",0.387,0.2485,0,FALSE,"NA","NA","NA"," tarbase "," tarbase "
1373,"CPS1","hsa-mir-29a-5p","hsa-mir-29a-3p",0.1695,0.1525,0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/34468255'>PubMedLink</a>","NA","NA"," tarbase "," tarbase "
1462,"VCAN","hsa-mir-335-3p","hsa-mir-3187-3p",0.0795,0.7535,0.007,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/14519645'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30394708'>PubMedLink</a>","mirtarbase  "," tarbase "
1604,"CD55","hsa-mir-410-3p","hsa-mir-382-5p",0.1995,0.3075,0.004,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/29631630'>PubMedLink</a>","mirtarbase  "," tarbase "
1657,"DMXL1","hsa-mir-421","hsa-mir-219a-1-3p",0.3385,0.2495,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase "
1666,"DECR1","hsa-mir-654-3p","hsa-mir-424-5p",0.2365,0.5725,0.007,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/29631687'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
1718,"DHCR24","hsa-mir-378a-5p","hsa-mir-96-5p",0.0465,0.211,0.007,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/28112250'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29137496'>PubMedLink</a>"," tarbase "," tarbase "
1729,"DIAPH1","hsa-mir-17-5p","hsa-mir-424-5p",0.922,0.03,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
1783,"DYNC1LI2","hsa-mir-20b-5p","hsa-mir-877-3p",0.25,0.127,0.0085,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
1783,"DYNC1LI2","hsa-mir-363-3p","hsa-mir-877-3p",0.22,0.1455,0.002,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
1827,"RCAN1","hsa-mir-17-5p","hsa-mir-491-3p",0.023,0.188,0.0055,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/20008143'>PubMedLink</a>"," tarbase "," tarbase "
1829,"DSG2","hsa-mir-494-3p","hsa-mir-381-3p",0.3345,0.149,0.0065,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
1832,"DSP","hsa-mir-17-5p","hsa-mir-708-5p",0.4975,0.199,0.006,FALSE,"NA","NA","NA"," tarbase "," tarbase "
1846,"DUSP4","hsa-mir-149-3p","hsa-mir-30c-2-3p",0.135,0.6205,0.0095,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
1869,"E2F1","hsa-mir-1226-3p","hsa-mir-18a-3p",0.4615,0.415,0.0055,TRUE,"NA","NA","NA"," tarbase "," tarbase "
2030,"SLC29A1","hsa-mir-195-5p","hsa-let-7b-5p",0.0455,0.0175,0.0015,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
2034,"EPAS1","hsa-mir-106a-5p","hsa-mir-326",0.345,0.022,0.0085,TRUE,"NA","NA","NA"," tarbase "," tarbase "
2145,"EZH1","hsa-mir-1276","hsa-mir-378a-3p",0.074,0.531,0.0075,FALSE,"NA","NA","NA"," tarbase "," tarbase "
2145,"EZH1","hsa-mir-149-5p","hsa-mir-1276",0.2625,0.046,0.002,FALSE,"NA","NA","NA"," tarbase "," tarbase "
2195,"FAT1","hsa-let-7b-5p","hsa-mir-98-5p",0.079,0.377,0.0075,FALSE,"NA","NA","NA"," tarbase "," tarbase "
