"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
3480,"IGF1R","hsa-mir-377-3p","hsa-mir-379-3p",0.045,0.06,0.009,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15241731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21045685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22019903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22407999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25110710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26131713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26312764'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27185872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>","mirtarbase  "," tarbase "
3480,"IGF1R","hsa-mir-377-3p","hsa-mir-409-3p",0.0375,0.0595,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15241731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21045685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22019903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22407999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25110710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26131713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26312764'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27185872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>","mirtarbase  "," tarbase "
3480,"IGF1R","hsa-mir-539-5p","hsa-mir-377-3p",0.1115,0.055,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15241731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21045685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22019903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22407999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25110710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26131713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26312764'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27185872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
3480,"IGF1R","hsa-mir-545-5p","hsa-mir-106a-5p",0.1945,0.5595,0.0045,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15241731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21045685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22019903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22407999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25110710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26131713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26312764'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27185872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>"," tarbase "," tarbase "
3667,"IRS1","hsa-mir-106a-5p","hsa-mir-141-3p",0.262,0.0405,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12414625'>PubMedLink</a>"," tarbase "," tarbase "
3745,"KCNB1","hsa-let-7a-2-3p","hsa-mir-301b-3p",0.5075,0.591,5e-04,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
3875,"KRT18","hsa-mir-195-5p","hsa-mir-424-5p",0.6755,0.0145,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase "
4035,"LRP1","hsa-mir-494-3p","hsa-mir-154-3p",0.011,0.0155,0.0055,FALSE,"NA","NA","NA"," tarbase "," tarbase "
4131,"MAP1B","hsa-mir-379-3p","hsa-mir-769-3p",0.253,0.581,0.0065,FALSE,"NA","NA","NA"," tarbase "," tarbase "
4144,"MAT2A","hsa-mir-497-5p","hsa-mir-1224-5p",0.4205,0.1035,0.007,FALSE,"NA","NA","NA"," tarbase "," tarbase "
