"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
2247,"FGF2","hsa-mir-155-5p","hsa-mir-203a-3p",0.115,0.013,0.0095,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11196179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15860258'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18006148'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20127022'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23419500'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28285568'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30031900'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31533968'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7553656'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8685603'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase ",13.683795209693,12.0894988540171,0.253820855811093,0.119184525998842,0.272559648343949,0.092878576693725,5.73667576452658e-10,-0.391560161787388
2247,"FGF2","hsa-mir-203a-3p","hsa-let-7a-3p",0.019,0.0985,0.0055,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11196179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15860258'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18006148'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20127022'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23419500'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28285568'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30031900'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31533968'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7553656'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8685603'>PubMedLink</a>","mirtarbase tarbase "," tarbase ",13.8033199687353,12.2661031070108,0.272559648343949,0.092878576693725,0.645581487076779,-0.0544523575921995,5.73667576452658e-10,-0.391560161787388
2296,"FOXC1","hsa-mir-185-3p","hsa-mir-639",0.606,0.1885,0.007,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/21400511'>PubMedLink</a>"," tarbase ","mirtarbase  ",16.376576625076,14.8232395787464,7.20570071568661e-08,1.16761435521403,0.15229582217953,0.470733349252547,0.49760254135992,0.0425210279865115
2619,"GAS1","hsa-mir-130b-5p","hsa-mir-184",0.1915,0.1,0.0025,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gUCEC/30899377'>PubMedLink</a>","NA"," tarbase ","mirtarbase  ",15.6560672925124,13.728664353808,5.4564257582115e-10,0.99371766061256,0.498946968277332,-0.178295438138086,5.9375616600165e-11,-0.38541244544564
2627,"GATA6","hsa-mir-203a-3p","hsa-mir-744-3p",0.0365,0.0155,0.0085,TRUE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",14.5985256274805,12.7683731412774,0.272559648343949,0.092878576693725,0.00717827504472375,0.378790947622992,3.98873951737116e-09,-0.364035354134894
2747,"GLUD2","hsa-mir-885-5p","hsa-mir-96-5p",0.4105,0.0595,0,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",13.6887442687451,12.6579412992375,0.0762201187611934,0.369136929099723,1.43970768235939e-24,1.86783708809495,0.359460238642372,-0.0626829457987339
2903,"GRIN2A","hsa-mir-3928-3p","hsa-mir-192-3p",0.0185,0.23,0.004,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",9.55653284095358,7.72882970299544,0.0012684865098985,0.829115104157193,0.00128010224438463,0.752026099675921,4.03365003158311e-08,-0.603177178152202
3037,"HAS2","hsa-mir-502-5p","hsa-mir-23c",0.7125,0.919,0.0055,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",13.0605197121168,11.8378348976362,0.252041610033037,-0.260837587941904,0.000273360530583092,-0.908376678755823,0.199488101888027,-0.0881188010690293
3159,"HMGA1","hsa-let-7c-5p","hsa-mir-589-3p",0.09,0.7685,0.008,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/27001612'>PubMedLink</a>","mirtarbase  "," tarbase ",21.9930274066743,20.8435985932036,8.75566848552773e-12,-0.541169996627793,0.00175953933501003,0.758561591183277,0.00145302434963288,0.179051275207454
3213,"HOXB3","hsa-mir-10b-5p","hsa-mir-301a-3p",0.8705,0.092,0.0095,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/27447302'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase ",18.0707708305098,16.4972680501232,4.98703201647845e-13,-0.469555983668325,0.00416841283713864,0.455851265587144,0.385837915559557,0.0525679145230057
3480,"IGF1R","hsa-mir-20a-5p","hsa-mir-34a-3p",0.0235,0.218,5e-04,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/10459850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12866376'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12866376'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21442237'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21846689'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23402816'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26193427'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30187960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30426831'>PubMedLink</a>"," tarbase ","mirtarbase tarbase ",17.6205548882655,16.5164871176991,0.69187386477649,-0.0396625294436684,0.0187855320749828,0.683869936914058,0.208781950073851,-0.0748631233471669
3488,"IGFBP5","hsa-mir-1224-5p","hsa-mir-18a-3p",0.08,0.204,0.0015,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",20.6687846488728,19.6134019752215,0.00188062012812553,0.974121592390597,1.31334455981801e-11,1.9142057249321,0.000193792687223376,-0.200695268816629
3488,"IGFBP5","hsa-mir-130b-3p","hsa-mir-193b-3p",0.518,0.0275,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase ",20.8239066584142,19.4992730153352,4.17941083587621e-09,0.920742963296617,0.861668928388321,-0.0202849737355235,0.000193792687223376,-0.200695268816629
3488,"IGFBP5","hsa-mir-616-3p","hsa-mir-193a-3p",0.0805,0.1365,0.0015,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase ",20.6238209735535,18.8893615764996,5.11039254192379e-06,1.41716883143373,0.284973653742988,-0.158446441480845,0.000193792687223376,-0.200695268816629
