"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
22823,"MTF2","hsa-mir-10a-5p","hsa-let-7b-5p",0.5545,0.245,0.007,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
22823,"MTF2","hsa-mir-181b-5p","hsa-mir-335-3p",0.0955,0.0155,0.0015,FALSE,"NA","NA","NA"," tarbase "," tarbase "
22824,"HSPA4L","hsa-mir-143-3p","hsa-mir-320b",0.7575,0.054,0.0075,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
22824,"HSPA4L","hsa-mir-20b-5p","hsa-mir-378a-5p",0.264,0.1355,0.004,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
22847,"ZNF507","hsa-mir-582-5p","hsa-let-7b-5p",0.1625,0.2705,0.0015,TRUE,"NA","NA","NA"," tarbase ","mirtarbase  "
22875,"ENPP4","hsa-mir-424-5p","hsa-mir-140-5p",0.1765,0.0125,0.006,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/29808799'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gUVM/30291212'>PubMedLink</a>","NA"," tarbase "," tarbase "
23049,"SMG1","hsa-let-7b-5p","hsa-mir-3065-3p",0.1985,0.168,0.0045,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
23318,"TUT4","hsa-let-7b-5p","hsa-mir-203a-3p",0.0125,0.7625,0.008,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase  "
23362,"PSD3","hsa-mir-143-3p","hsa-let-7b-5p",0.068,0.02,0.0025,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
23362,"PSD3","hsa-mir-143-3p","hsa-mir-143-5p",0.0665,0.03,0,FALSE,"NA","NA","NA"," tarbase "," tarbase "
23362,"PSD3","hsa-mir-143-5p","hsa-mir-432-5p",0.0175,0.736,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase "
23499,"MACF1","hsa-mir-335-5p","hsa-mir-383-5p",0.1005,0.0765,0.003,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
25805,"BAMBI","hsa-mir-15a-5p","hsa-mir-301a-3p",0.052,0.206,5e-04,FALSE,"NA","NA","NA"," tarbase "," tarbase "
25976,"TIPARP","hsa-mir-550a-3p","hsa-mir-382-5p",0.0575,0.2805,0.0015,FALSE,"NA","NA","NA"," tarbase "," tarbase "
26040,"SETBP1","hsa-mir-320c","hsa-mir-320b",0.0135,0.0125,0.0075,TRUE,"NA","NA","NA"," tarbase "," tarbase "
26099,"SZRD1","hsa-mir-195-5p","hsa-mir-9-5p",0.024,0.762,0.002,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
26207,"PITPNC1","hsa-mir-140-3p","hsa-mir-335-5p",0.038,0.054,0.0045,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase "
26207,"PITPNC1","hsa-mir-374a-5p","hsa-mir-140-3p",0.195,0.049,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
26523,"AGO1","hsa-mir-34c-5p","hsa-let-7b-5p",0.733,0.018,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
